"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 31, 1997","3.76","4.17","4.17","3.76","6.60K","-9.83%"
"Apr 25, 1997","3.39","3.39","3.39","3.39","3.30K","-9.84%"
"Apr 28, 1997","3.06","3.06","3.18","3.06","19.80K","-9.73%"
"Apr 29, 1997","2.76","2.76","2.76","2.76","3.30K","-9.80%"
"May 26, 1997","2.48","2.48","2.48","2.48","9.90K","-10.14%"
"May 28, 1997","2.24","2.24","2.24","2.24","3.30K","-9.68%"
"Jun 02, 1997","2.06","2.27","2.27","2.06","16.50K","-8.04%"
"Jun 03, 1997","2.06","2.06","2.06","2.06","3.30K","0.00%"
"Jun 05, 1997","1.86","1.86","1.86","1.86","6.60K","-9.71%"
"Jun 06, 1997","1.94","1.94","1.94","1.94","3.30K","4.30%"
"Jun 09, 1997","1.82","1.82","1.82","1.82","6.60K","-6.19%"
"Jun 10, 1997","1.67","1.67","1.67","1.67","6.60K","-8.24%"
"Jun 12, 1997","1.57","1.67","1.67","1.52","9.90K","-5.99%"
"Jun 16, 1997","1.42","1.42","1.42","1.42","9.90K","-9.55%"
"Jun 17, 1997","1.31","1.31","1.31","1.31","3.30K","-7.75%"
"Jun 18, 1997","1.42","1.42","1.42","1.42","3.30K","8.40%"
"Jun 19, 1997","1.52","1.52","1.52","1.52","3.30K","7.04%"
"Jun 20, 1997","1.55","1.55","1.55","1.55","3.30K","1.97%"
"Jun 23, 1997","1.58","1.58","1.58","1.58","3.30K","1.94%"
"Jun 24, 1997","1.42","1.61","1.61","1.42","33.00K","-10.13%"
"Jun 25, 1997","1.49","1.42","1.55","1.30","217.80K","4.93%"
"Jun 26, 1997","1.43","1.53","1.64","1.36","59.40K","-4.03%"
"Jun 27, 1997","1.30","1.42","1.42","1.30","33.00K","-9.09%"
"Jun 30, 1997","1.42","1.42","1.43","1.42","13.20K","9.23%"
"Jul 01, 1997","1.37","1.37","1.37","1.37","3.30K","-3.52%"
"Jul 02, 1997","1.51","1.51","1.51","1.51","6.60K","10.22%"
"Jul 03, 1997","1.55","1.55","1.55","1.55","3.30K","2.65%"
"Jul 04, 1997","1.53","1.51","1.55","1.51","9.90K","-1.29%"
"Jul 07, 1997","1.45","1.46","1.46","1.45","19.80K","-5.23%"
"Jul 08, 1997","1.34","1.36","1.36","1.34","9.90K","-7.59%"
"Jul 09, 1997","1.21","1.21","1.21","1.21","9.90K","-9.70%"
"Jul 10, 1997","1.22","1.23","1.23","1.21","33.00K","0.83%"
"Jul 11, 1997","1.17","1.30","1.30","1.17","23.10K","-4.10%"
"Jul 14, 1997","1.06","1.06","1.06","1.06","36.30K","-9.40%"
"Jul 15, 1997","1.03","1.06","1.16","1.01","429.00K","-2.83%"
"Jul 16, 1997","1.11","1.11","1.13","1.03","99.00K","7.77%"
"Jul 17, 1997","1.11","1.20","1.21","1.03","422.40K","0.00%"
"Jul 18, 1997","1.09","1.10","1.13","1.05","108.90K","-1.80%"
"Jul 21, 1997","1.20","1.13","1.20","1.11","963.60K","10.09%"
"Jul 22, 1997","1.31","1.31","1.31","1.27","402.60K","9.17%"
"Jul 23, 1997","1.36","1.36","1.36","1.36","257.40K","3.82%"
"Jul 24, 1997","1.36","1.36","1.36","1.36","396.00K","0.00%"
"Jul 25, 1997","1.36","1.36","1.36","1.36","633.60K","0.00%"
"Jul 28, 1997","1.48","1.48","1.48","1.48","26.40K","8.82%"
"Jul 29, 1997","1.58","1.62","1.63","1.48","1.16M","6.76%"
"Jul 30, 1997","1.64","1.56","1.68","1.56","716.10K","3.80%"
"Jul 31, 1997","1.69","1.68","1.69","1.68","349.80K","3.05%"
"Aug 01, 1997","1.69","1.69","1.69","1.69","267.30K","0.00%"
"Aug 04, 1997","1.86","1.86","1.86","1.86","62.70K","10.06%"
"Aug 05, 1997","2.04","2.03","2.04","1.95","1.06M","9.68%"
"Aug 06, 1997","1.89","2.09","2.11","1.88","1.37M","-7.35%"
"Aug 07, 1997","1.85","1.93","1.94","1.85","283.80K","-2.12%"
"Aug 08, 1997","1.70","1.82","1.82","1.67","458.70K","-8.11%"
"Aug 11, 1997","1.79","1.77","1.86","1.77","927.30K","5.29%"
"Aug 12, 1997","1.76","1.78","1.84","1.76","498.30K","-1.68%"
"Aug 13, 1997","1.73","1.77","1.78","1.73","92.40K","-1.70%"
"Aug 14, 1997","1.66","1.71","1.73","1.58","415.80K","-4.05%"
"Aug 19, 1997","1.79","1.82","1.82","1.77","521.40K","7.83%"
"Aug 20, 1997","1.74","1.75","1.75","1.69","283.80K","-2.79%"
"Aug 21, 1997","1.69","1.74","1.74","1.69","95.70K","-2.87%"
"Aug 22, 1997","1.72","1.65","1.73","1.65","82.50K","1.78%"
"Aug 26, 1997","1.71","1.71","1.71","1.71","16.50K","-0.58%"
"Aug 28, 1997","1.59","1.68","1.68","1.59","29.70K","-7.02%"
"Aug 29, 1997","1.59","1.60","1.60","1.48","75.90K","0.00%"
"Sep 01, 1997","1.53","1.55","1.55","1.51","36.30K","-3.77%"
"Sep 02, 1997","1.50","1.50","1.52","1.50","46.20K","-1.96%"
"Sep 03, 1997","1.55","1.55","1.59","1.54","89.10K","3.33%"
"Sep 04, 1997","1.55","1.55","1.55","1.55","6.60K","0.00%"
"Sep 05, 1997","1.52","1.53","1.56","1.52","39.60K","-1.94%"
"Sep 08, 1997","1.53","1.52","1.53","1.52","36.30K","0.66%"
"Sep 09, 1997","1.50","1.50","1.50","1.50","3.30K","-1.96%"
"Sep 10, 1997","1.52","1.52","1.52","1.50","16.50K","1.33%"
"Sep 11, 1997","1.51","1.51","1.51","1.51","3.30K","-0.66%"
"Sep 12, 1997","1.45","1.50","1.50","1.43","85.80K","-3.97%"
"Sep 15, 1997","1.42","1.42","1.42","1.42","33.00K","-2.07%"
"Sep 16, 1997","1.36","1.39","1.39","1.36","33.00K","-4.23%"
"Sep 17, 1997","1.35","1.33","1.42","1.33","105.60K","-0.74%"
"Sep 18, 1997","1.42","1.42","1.42","1.42","23.10K","5.19%"
"Sep 19, 1997","1.28","1.30","1.30","1.28","42.90K","-9.86%"
"Sep 22, 1997","1.21","1.21","1.21","1.20","52.80K","-5.47%"
"Sep 23, 1997","1.21","1.21","1.21","1.21","6.60K","0.00%"
"Sep 24, 1997","1.21","1.33","1.33","1.21","145.20K","0.00%"
"Sep 25, 1997","1.21","1.20","1.21","1.20","99.00K","0.00%"
"Sep 26, 1997","1.28","1.31","1.33","1.28","359.70K","5.79%"
"Sep 29, 1997","1.33","1.36","1.36","1.30","234.30K","3.91%"
"Sep 30, 1997","1.28","1.27","1.28","1.27","16.50K","-3.76%"
"Oct 01, 1997","1.22","1.21","1.23","1.18","33.00K","-4.69%"
"Oct 03, 1997","1.13","1.20","1.20","1.13","33.00K","-7.38%"
"Oct 07, 1997","1.14","1.15","1.15","1.14","122.10K","0.88%"
"Oct 08, 1997","1.23","1.17","1.26","1.12","66.00K","7.89%"
"Oct 09, 1997","1.23","1.25","1.25","1.21","313.50K","0.00%"
"Oct 10, 1997","1.17","1.17","1.17","1.15","85.80K","-4.88%"
"Oct 13, 1997","1.19","1.20","1.21","1.18","52.80K","1.71%"
"Oct 14, 1997","1.13","1.14","1.14","1.09","23.10K","-5.04%"
"Oct 15, 1997","1.12","1.14","1.14","1.12","9.90K","-0.88%"
