Date,Price,Open,High,Low,Vol.,Change %
"May 05, 1995",7,7.5,7.5,7,-,-40.43%
"May 08, 1995",7.33,7.33,7.33,7.33,-,4.71%
"May 09, 1995",7.83,7.5,8,7.5,-,6.82%
"May 10, 1995",8,8,8,8,-,2.17%
"May 12, 1995",7.83,7.75,8,7.67,-,-2.13%
"May 15, 1995",8.08,7.83,8.17,7.83,-,3.19%
"May 16, 1995",8,8,8.2,8,-,-0.99%
"May 17, 1995",8.07,8,8.07,8,-,0.87%
"May 18, 1995",8.2,8.67,8.67,8.13,-,1.61%
"May 19, 1995",8.33,8.27,8.33,8.27,-,1.59%
"May 22, 1995",8.33,8.13,8.33,8.13,-,0.00%
"May 23, 1995",8.27,8.2,8.27,8.2,-,-0.72%
"May 24, 1995",8.07,8.33,8.33,8.07,-,-2.42%
"May 25, 1995",8.07,8.13,8.13,7.93,-,0.00%
"May 26, 1995",8,8.07,8.2,8,-,-0.87%
"May 29, 1995",7.87,8.07,8.07,7.87,-,-1.63%
"May 30, 1995",7.8,7.8,7.8,7.67,-,-0.89%
"May 31, 1995",8.07,7.93,8.07,7.93,-,3.46%
"Jun 01, 1995",7.93,8.07,8.13,7.93,-,-1.73%
"Jun 02, 1995",7.93,8,8.07,7.93,-,0.00%
"Jun 05, 1995",7.8,8,8,7.8,-,-1.64%
"Jun 06, 1995",7.87,7.8,7.87,7.73,-,0.90%
"Jun 07, 1995",7.93,7.93,8.07,7.87,-,0.76%
"Jun 08, 1995",7.87,7.87,7.93,7.8,-,-0.76%
"Jun 09, 1995",7.8,7.8,7.87,7.8,-,-0.89%
"Jun 12, 1995",7.93,7.8,7.93,7.67,-,1.67%
"Jun 13, 1995",7.87,7.93,8.07,7.87,-,-0.76%
"Jun 14, 1995",7.8,7.87,7.87,7.8,-,-0.89%
"Jun 15, 1995",7.73,7.73,7.8,7.67,-,-0.90%
"Jun 16, 1995",7.87,7.73,7.87,7.73,-,1.81%
"Jun 19, 1995",7.73,7.8,7.8,7.73,-,-1.78%
"Jun 20, 1995",7.8,7.73,7.8,7.73,-,0.91%
"Jun 21, 1995",7.73,7.8,7.8,7.73,-,-0.90%
"Jun 22, 1995",7.67,7.67,7.73,7.6,-,-0.78%
"Jun 23, 1995",8.07,7.67,8.2,7.67,-,5.22%
"Jun 26, 1995",7.53,7.8,7.8,7.33,-,-6.69%
"Jun 27, 1995",7.53,7.67,7.73,7.4,-,0.00%
"Jun 28, 1995",7.6,7.67,7.67,7.4,-,0.93%
"Jun 29, 1995",7.6,7.67,7.67,7.6,-,0.00%
"Jun 30, 1995",8.07,7.67,8.07,7.53,-,6.18%
"Jul 03, 1995",7.67,7.33,7.73,7.33,-,-4.96%
"Jul 04, 1995",7.53,7.47,7.53,7,-,-1.83%
"Jul 05, 1995",7.53,7,7.67,7,-,0.00%
"Jul 06, 1995",7.33,7,7.47,7,-,-2.66%
"Jul 07, 1995",7.33,7.33,7.53,7.27,-,0.00%
"Jul 10, 1995",7.2,7.33,7.47,7.13,-,-1.77%
"Jul 11, 1995",7,7.27,7.27,7,-,-2.78%
"Jul 12, 1995",7.33,7.13,7.33,7.07,-,4.71%
"Jul 13, 1995",7.4,7.33,7.47,7.33,-,0.95%
"Jul 14, 1995",7.33,7.53,7.53,7.33,118.50K,-0.95%
"Jul 17, 1995",7.73,7.6,7.73,7.53,16.50K,5.46%
"Jul 18, 1995",7.67,7.73,7.8,7.67,19.50K,-0.78%
"Jul 19, 1995",7.67,7.6,7.67,7.6,19.50K,0.00%
"Jul 20, 1995",7.6,7.73,7.8,7.6,49.50K,-0.91%
"Jul 21, 1995",7.47,7.6,7.6,7.47,19.50K,-1.71%
"Jul 25, 1995",7.4,7.47,7.6,7.33,42.00K,-0.94%
"Jul 26, 1995",7.53,7.67,7.8,7.53,606.00K,1.76%
"Jul 27, 1995",7.6,7.67,7.67,7.53,261.00K,0.93%
"Jul 28, 1995",7.53,7.53,7.73,7.47,150.00K,-0.92%
"Jul 31, 1995",7.33,7.67,7.67,7.27,9.00K,-2.66%
"Aug 01, 1995",7.67,7.4,7.67,7.4,154.50K,4.64%
"Aug 02, 1995",7.53,7.53,7.67,7.53,18.00K,-1.83%
"Aug 03, 1995",7.47,7.6,7.67,7.47,498.00K,-0.80%
"Aug 04, 1995",7.53,7.47,7.6,7.47,345.00K,0.80%
"Aug 07, 1995",7.33,7.6,7.6,7.33,15.00K,-2.66%
"Aug 08, 1995",7,7.33,7.4,7,400.50K,-4.50%
"Aug 09, 1995",7.6,7.33,7.67,7.33,358.50K,8.57%
"Aug 11, 1995",7.47,7.53,7.67,7.47,270.00K,-1.71%
"Aug 14, 1995",7.47,7.47,7.53,7.4,97.50K,0.00%
"Aug 16, 1995",7.4,7.47,7.53,7.4,123.00K,-0.94%
"Aug 17, 1995",7.4,7.47,7.47,7.4,313.50K,0.00%
"Aug 21, 1995",7.13,7.53,7.53,7.13,63.00K,-3.65%
"Aug 22, 1995",7.27,7.2,7.27,7.2,193.50K,1.96%
"Aug 24, 1995",7.27,7,7.33,7,70.50K,0.00%
"Aug 25, 1995",7.2,7.07,7.4,7.07,325.50K,-0.96%
"Aug 28, 1995",7.07,7.07,7.07,7.07,1.50K,-1.81%
"Aug 31, 1995",6.93,7.13,7.13,6.87,36.00K,-1.98%
"Sep 01, 1995",7.07,6.87,7.07,6.73,129.00K,2.02%
"Sep 04, 1995",6.8,6.93,7,6.8,43.50K,-3.82%
"Sep 05, 1995",7,6.73,7,6.67,93.00K,2.94%
"Sep 06, 1995",7.07,7,7.07,6.87,525.00K,1.00%
"Sep 07, 1995",6.93,7.13,7.13,6.93,429.00K,-1.98%
"Sep 08, 1995",7.4,6.87,7.93,6.87,109.50K,6.78%
"Sep 11, 1995",7.2,6.93,7.33,6.93,109.50K,-2.70%
