Date,Price,Open,High,Low,Vol.,Change %
"May 05, 1995",580,570,585,570,-,-0.85%
"May 08, 1995",585,570,590,570,-,0.86%
"May 09, 1995",590,590,610,590,-,0.85%
"May 10, 1995",590,590,610,590,-,0.00%
"May 12, 1995",590,590,600,585,-,0.00%
"May 15, 1995",590,580,600,580,-,0.00%
"May 16, 1995",590,590,600,582.5,-,0.00%
"May 17, 1995",591,600,600,590,-,0.17%
"May 18, 1995",592,595,599,591,-,0.17%
"May 19, 1995",597,595,600,595,-,0.84%
"May 22, 1995",593,600,600,590,-,-0.67%
"May 23, 1995",587,590,590,587,-,-1.01%
"May 24, 1995",590,590,590,590,-,0.51%
"May 25, 1995",590,590,590,590,-,0.00%
"May 26, 1995",590,590,590,590,-,0.00%
"May 29, 1995",590,590,591,590,-,0.00%
"May 30, 1995",590,590,595,590,-,0.00%
"May 31, 1995",591,595,600,590,-,0.17%
"Jun 01, 1995",592,591,592,591,-,0.17%
"Jun 02, 1995",590,595,595,590,-,-0.34%
"Jun 05, 1995",590,590,593,590,-,0.00%
"Jun 06, 1995",591,570,593,570,-,0.17%
"Jun 07, 1995",593,593,593,593,-,0.34%
"Jun 08, 1995",590,590,592,590,-,-0.51%
"Jun 09, 1995",590,591,591,590,-,0.00%
"Jun 12, 1995",590,590,591,590,-,0.00%
"Jun 13, 1995",590,590,591,590,-,0.00%
"Jun 14, 1995",590,590,590,590,-,0.00%
"Jun 15, 1995",590,590,590,590,-,0.00%
"Jun 16, 1995",591,590,591,590,-,0.17%
"Jun 19, 1995",593,590,595,590,-,0.34%
"Jun 20, 1995",600,592,630,592,-,1.18%
"Jun 21, 1995",601,607,607,600,-,0.17%
"Jun 23, 1995",592,593,593,592,-,-1.50%
"Jun 26, 1995",592,590,592,590,-,0.00%
"Jun 27, 1995",590,590,593,590,-,-0.34%
"Jun 28, 1995",592,590,592,590,-,0.34%
"Jun 29, 1995",590,590,590,590,-,-0.34%
"Jun 30, 1995",591,595,595,591,-,0.17%
"Jul 03, 1995",590,590,592,590,-,-0.17%
"Jul 04, 1995",590,590,591,590,-,0.00%
"Jul 05, 1995",591,590,595,590,-,0.17%
"Jul 06, 1995",591,590,591,590,-,0.00%
"Jul 07, 1995",592,590,592,590,-,0.17%
"Jul 10, 1995",590,593,593,590,-,-0.34%
"Jul 11, 1995",590,591,591,590,-,0.00%
"Jul 12, 1995",590,591,591,590,-,0.00%
"Jul 13, 1995",593,595,595,593,-,0.51%
"Jul 14, 1995",591,593,593,590,2.25K,-0.34%
"Jul 17, 1995",590,590,590,590,0.10K,-0.17%
"Jul 18, 1995",590,590,591,590,5.60K,0.00%
"Jul 19, 1995",590,590,595,590,1.80K,0.00%
"Jul 20, 1995",590,592,592,590,0.25K,0.00%
"Jul 21, 1995",590,592,592,589,0.75K,0.00%
"Jul 25, 1995",591,587,591,585,0.65K,0.17%
"Jul 26, 1995",603,595,610,590,3.05K,2.03%
"Jul 27, 1995",604,600,605,598,0.85K,0.17%
"Jul 28, 1995",591,600,600,590,0.40K,-2.15%
"Jul 31, 1995",592,592,592,590,0.55K,0.17%
"Aug 01, 1995",590,590,590,590,0.40K,-0.34%
"Aug 02, 1995",591,590,591,589,3.35K,0.17%
"Aug 03, 1995",590,590,590,590,0.15K,-0.17%
"Aug 04, 1995",590,590,595,590,0.55K,0.00%
"Aug 07, 1995",595,590,600,590,1.95K,0.85%
"Aug 08, 1995",590,591,591,590,1.25K,-0.84%
"Aug 09, 1995",590,591,591,590,0.65K,0.00%
"Aug 11, 1995",590,590,590,590,0.35K,0.00%
"Aug 14, 1995",591,600,600,590,1.75K,0.17%
"Aug 16, 1995",590,590,592,590,0.50K,-0.17%
"Aug 17, 1995",590,590,592,590,0.70K,0.00%
"Aug 21, 1995",590,590,590,590,0.85K,0.00%
"Aug 22, 1995",590,590,591,590,1.60K,0.00%
"Aug 24, 1995",591,590,591,590,0.40K,0.17%
"Aug 25, 1995",591,590,593,590,11.20K,0.00%
"Aug 28, 1995",590,590,590,590,0.90K,-0.17%
"Aug 31, 1995",592,590,592,590,0.70K,0.34%
"Sep 01, 1995",590,590,592,590,0.60K,-0.34%
"Sep 04, 1995",591,593,600,590,0.70K,0.17%
"Sep 05, 1995",590,590,592,590,1.75K,-0.17%
"Sep 06, 1995",590,590,590,590,0.70K,0.00%
"Sep 07, 1995",590,590,590,590,33.30K,0.00%
"Sep 08, 1995",591,590,591,590,0.10K,0.17%
"Sep 11, 1995",599,610,610,590,0.20K,1.35%
"Sep 12, 1995",590,590,591,590,1.75K,-1.50%
"Sep 13, 1995",591,590,591,590,3.95K,0.17%
"Sep 14, 1995",590,590,590,590,7.00K,-0.17%
"Sep 15, 1995",590,590,593,590,2.10K,0.00%
"Sep 18, 1995",591,593,593,590,2.05K,0.17%
"Sep 19, 1995",590,590,591,590,0.95K,-0.17%
"Sep 20, 1995",590,591,595,590,0.60K,0.00%
"Sep 22, 1995",620,594,620,591,5.45K,5.08%
"Sep 25, 1995",625,620,640,620,0.45K,0.81%
"Sep 26, 1995",610,600,610,600,0.25K,-2.40%
"Sep 27, 1995",598,610,615,598,2.35K,-1.97%
"Sep 28, 1995",600,600,600,600,1.70K,0.33%
"Sep 29, 1995",610,595,619,595,1.50K,1.67%
"Oct 04, 1995",610,612,612,610,-,0.00%
"Oct 05, 1995",610,615,615,610,-,0.00%
"Oct 09, 1995",600,605,605,600,-,-1.64%
"Oct 10, 1995",592,595,595,592,-,-1.33%
"Oct 12, 1995",590,591,591,590,-,-0.34%
"Oct 13, 1995",590,590,590,590,-,0.00%
"Oct 16, 1995",590,590,594,590,-,0.00%
"Oct 17, 1995",590,591,593,590,-,0.00%
"Oct 18, 1995",591,591,591,591,-,0.17%
"Oct 19, 1995",592,590,592,590,-,0.17%
"Oct 20, 1995",593,590,594,590,-,0.17%
"Oct 23, 1995",591,590,600,590,-,-0.34%
"Oct 26, 1995",590,595,595,590,-,-0.17%
"Oct 27, 1995",598,590,600,590,-,1.36%
"Oct 30, 1995",598,596,599,596,-,0.00%
"Oct 31, 1995",598,598,598,594,-,0.00%
"Nov 01, 1995",598,598,598,597,-,0.00%
"Nov 02, 1995",597,598,598,597,-,-0.17%
"Nov 03, 1995",597,597,598,594,-,0.00%
"Nov 06, 1995",596,599,600,595,-,-0.17%
"Nov 08, 1995",595,590,595,590,-,-0.17%
"Nov 09, 1995",592,591,592,591,-,-0.50%
"Nov 13, 1995",591,590,591,590,-,-0.17%
"Nov 14, 1995",590,590,591,590,-,-0.17%
"Nov 15, 1995",590,590,590,590,-,0.00%
"Nov 16, 1995",590,590,590,590,-,0.00%
"Nov 17, 1995",590,590,590,590,-,0.00%
"Nov 20, 1995",590,590,590,590,-,0.00%
"Nov 21, 1995",590,590,590,590,-,0.00%
"Nov 22, 1995",590,590,590,590,-,0.00%
"Nov 23, 1995",590,590,592,590,-,0.00%
"Nov 24, 1995",590,590,590,590,-,0.00%
"Nov 27, 1995",592,590,592,590,-,0.34%
"Nov 28, 1995",590,590,590,590,-,-0.34%
"Nov 29, 1995",590,590,591,590,-,0.00%
"Nov 30, 1995",590,590,590,590,-,0.00%
"Dec 01, 1995",590,590,594,590,-,0.00%
"Dec 04, 1995",591,591,591,590,-,0.17%
"Dec 05, 1995",590,591,592,590,-,-0.17%
"Dec 06, 1995",590,592,592,590,-,0.00%
"Dec 07, 1995",590,590,590,590,-,0.00%
"Dec 08, 1995",592,591,593,591,-,0.34%
"Dec 11, 1995",590,591,591,590,-,-0.34%
"Dec 12, 1995",590,590,595,590,-,0.00%
"Dec 13, 1995",590,590,590,590,-,0.00%
"Dec 14, 1995",590,590,590,590,-,0.00%
"Dec 15, 1995",590,590,590,590,-,0.00%
"Dec 18, 1995",590,590,590,590,-,0.00%
"Dec 19, 1995",590,590,595,590,-,0.00%
"Dec 20, 1995",591,590,591,590,-,0.17%
"Dec 21, 1995",594,590,595,590,-,0.51%
"Dec 22, 1995",597,594,597,594,-,0.51%
"Jan 01, 1996",595,595,595,595,-,-0.34%
"Jan 02, 1996",594,590,596,590,-,-0.17%
