Date,Price,Open,High,Low,Vol.,Change %
"May 05, 1995",14.67,14,15.2,14,-,5.77%
"May 08, 1995",14.67,14.67,15.2,14.67,-,0.00%
"May 09, 1995",14.4,14.53,14.8,14.4,-,-1.84%
"May 10, 1995",14.13,14.2,14.67,14.13,-,-1.87%
"May 12, 1995",13.6,14,14,13.6,-,-3.75%
"May 15, 1995",13.33,13.33,13.6,13.13,-,-1.99%
"May 16, 1995",13.33,12.87,13.33,12.87,-,0.00%
"May 17, 1995",13.33,13.33,13.6,13.2,-,0.00%
"May 18, 1995",13.6,13.47,13.73,13.47,-,2.03%
"May 19, 1995",13.6,13.47,14,13.47,-,0.00%
"May 22, 1995",13.33,13.47,13.73,13.2,-,-1.99%
"May 23, 1995",13.47,13.33,13.6,13.33,-,1.05%
"May 24, 1995",13.53,13.33,13.53,13.33,-,0.45%
"May 25, 1995",13.2,13.2,13.47,13.2,-,-2.44%
"May 26, 1995",13.07,13.33,13.33,13.07,-,-0.98%
"May 29, 1995",13.33,13.07,13.33,13.07,-,1.99%
"May 30, 1995",13.2,13.2,13.47,13.07,-,-0.98%
"May 31, 1995",13.07,12.93,13.2,12.93,-,-0.98%
"Jun 01, 1995",13.15,13.2,13.2,13.07,-,0.61%
"Jun 02, 1995",12.93,13.12,13.15,12.93,-,-1.67%
"Jun 05, 1995",12.99,13.07,13.07,12.93,-,0.46%
"Jun 06, 1995",13.07,13.07,13.07,12.93,-,0.62%
"Jun 07, 1995",12.93,13.07,13.09,12.88,-,-1.07%
"Jun 08, 1995",12.64,12.8,12.85,12.64,-,-2.24%
"Jun 09, 1995",12.51,12.61,12.67,12.48,-,-1.03%
"Jun 12, 1995",12.05,12.48,12.48,11.81,-,-3.68%
"Jun 13, 1995",11.84,12.05,12.05,11.73,-,-1.74%
"Jun 14, 1995",11.68,11.73,11.87,11.68,-,-1.35%
"Jun 15, 1995",10.8,11.68,11.68,10.51,-,-7.53%
"Jun 16, 1995",11.31,10.67,11.33,10.67,-,4.72%
"Jun 19, 1995",11.81,11.41,11.92,11.41,-,4.42%
"Jun 20, 1995",12.27,12,12.35,12,-,3.90%
"Jun 21, 1995",12.16,12.27,12.4,12.05,-,-0.90%
"Jun 22, 1995",12.05,12.13,12.13,11.92,-,-0.90%
"Jun 23, 1995",11.87,12.05,12.05,11.84,-,-1.49%
"Jun 26, 1995",11.33,11.87,11.87,11.33,-,-4.55%
"Jun 27, 1995",11.25,11.28,11.28,10.99,-,-0.71%
"Jun 28, 1995",11.07,11.17,11.17,10.99,-,-1.60%
"Jun 29, 1995",10.96,11.12,11.12,10.88,-,-0.99%
"Jun 30, 1995",11.07,10.99,11.17,10.93,-,1.00%
"Jul 03, 1995",10.64,11.07,11.07,10.56,-,-3.88%
"Jul 04, 1995",10.29,10.43,10.43,10.08,-,-3.29%
"Jul 05, 1995",9.65,10.13,10.13,9.36,-,-6.22%
"Jul 06, 1995",9.31,9.55,9.55,8.8,-,-3.52%
"Jul 07, 1995",9.63,9.09,10.13,9.09,-,3.44%
"Jul 10, 1995",9.97,9.6,10.21,9.6,-,3.53%
"Jul 11, 1995",10.21,10.08,10.27,10.03,-,2.41%
"Jul 12, 1995",10.83,10.19,10.91,10.19,-,6.07%
"Jul 13, 1995",11.36,10.96,11.79,10.96,-,4.89%
"Jul 14, 1995",11.73,11.39,11.79,11.39,787.50K,3.26%
"Jul 17, 1995",12.08,11.73,12.24,11.6,686.25K,2.98%
"Jul 18, 1995",11.97,12.05,12.13,11.95,547.50K,-0.91%
"Jul 19, 1995",11.65,11.92,11.97,11.49,553.13K,-2.67%
"Jul 20, 1995",11.39,11.65,11.65,11.23,611.25K,-2.23%
"Jul 21, 1995",11.39,11.6,11.79,11.33,686.25K,0.00%
"Jul 25, 1995",11.39,11.52,11.52,11.23,538.13K,0.00%
"Jul 26, 1995",11.07,11.47,11.47,10.93,444.38K,-2.81%
"Jul 27, 1995",10.61,10.93,10.93,10.4,560.63K,-4.16%
"Jul 28, 1995",10.35,10.27,10.51,10.03,511.88K,-2.45%
"Jul 31, 1995",10.83,10.67,11.09,10.67,671.25K,4.64%
"Aug 01, 1995",10.77,10.67,10.91,10.67,225.00K,-0.55%
"Aug 02, 1995",11.44,10.85,11.47,10.8,560.63K,6.22%
"Aug 03, 1995",11.23,11.47,11.68,11.17,562.50K,-1.84%
"Aug 04, 1995",11.28,11.2,11.33,11.09,414.38K,0.45%
"Aug 07, 1995",11.25,11.33,11.41,11.2,326.25K,-0.27%
"Aug 08, 1995",11.17,11.15,11.28,11.15,285.00K,-0.71%
"Aug 09, 1995",10.99,11.2,11.23,10.91,275.63K,-1.61%
"Aug 11, 1995",10.93,10.99,10.99,10.59,573.75K,-0.55%
"Aug 14, 1995",10.59,10.93,10.93,10.59,311.25K,-3.11%
"Aug 16, 1995",10.4,10.64,10.67,10.4,466.88K,-1.79%
