"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 06, 1997","91.13","87.38","92.63","87.38","38.40K","5.19%"
"Jun 09, 1997","87.75","94.50","94.88","86.63","63.40K","-3.71%"
"Jun 10, 1997","90.00","87.75","90.38","87.38","25.20K","2.56%"
"Jun 11, 1997","91.50","91.50","92.25","90.75","12.40K","1.67%"
"Jun 12, 1997","91.13","91.50","91.88","91.13","2.60K","-0.40%"
"Jun 13, 1997","88.88","90.38","91.50","87.38","94.60K","-2.47%"
"Jun 16, 1997","87.38","89.63","89.63","87.38","2.00K","-1.69%"
"Jun 17, 1997","82.13","85.50","85.88","82.13","10.40K","-6.01%"
"Jun 19, 1997","82.50","82.50","83.25","82.50","23.20K","0.45%"
"Jun 20, 1997","81.00","81.38","81.38","80.63","13.60K","-1.82%"
"Jun 23, 1997","85.50","82.50","88.88","82.50","11.00K","5.56%"
"Jun 24, 1997","85.50","84.75","85.50","84.38","6.00K","0.00%"
"Jun 25, 1997","88.88","85.88","88.88","85.88","170.00K","3.95%"
"Jun 26, 1997","88.88","89.25","91.50","88.50","86.60K","0.00%"
"Jun 27, 1997","90.00","87.75","91.13","87.75","48.20K","1.26%"
"Jun 30, 1997","88.88","88.88","88.88","88.50","4.00K","-1.24%"
"Jul 01, 1997","87.75","90.00","90.00","87.00","9.60K","-1.27%"
"Jul 02, 1997","90.00","87.75","90.00","87.75","1.80K","2.56%"
"Jul 03, 1997","88.13","90.38","90.38","88.13","3.40K","-2.08%"
"Jul 04, 1997","83.63","88.88","88.88","83.25","5.00K","-5.11%"
"Jul 07, 1997","75.75","82.50","82.50","75.75","20.60K","-9.42%"
"Jul 08, 1997","72.00","72.38","72.75","68.25","44.60K","-4.95%"
"Jul 09, 1997","78.00","74.63","79.13","74.63","232.60K","8.33%"
"Jul 10, 1997","73.88","78.00","78.75","73.13","7.20K","-5.28%"
"Jul 11, 1997","73.13","73.50","74.63","72.75","10.60K","-1.02%"
"Jul 14, 1997","72.38","72.00","72.38","72.00","0.80K","-1.03%"
"Jul 15, 1997","70.88","72.38","72.38","70.50","7.80K","-2.07%"
"Jul 16, 1997","70.50","71.63","71.63","69.75","2.60K","-0.54%"
"Jul 17, 1997","69.00","70.50","70.50","69.00","1.80K","-2.13%"
"Jul 18, 1997","66.38","69.00","69.00","66.00","3.20K","-3.80%"
"Jul 21, 1997","67.50","67.50","67.88","65.63","14.20K","1.69%"
"Jul 22, 1997","67.50","67.88","67.88","67.13","10.20K","0.00%"
"Jul 23, 1997","72.75","67.88","72.75","67.88","15.60K","7.78%"
"Jul 24, 1997","71.63","73.13","75.75","71.25","10.80K","-1.54%"
"Jul 25, 1997","72.00","70.13","72.38","70.13","3.20K","0.52%"
"Jul 28, 1997","72.75","73.13","73.50","72.38","5.20K","1.04%"
"Jul 29, 1997","72.38","71.63","72.38","71.63","0.80K","-0.51%"
"Jul 30, 1997","73.50","73.50","73.88","72.38","3.20K","1.55%"
"Jul 31, 1997","74.25","73.50","74.25","73.13","29.60K","1.02%"
"Aug 01, 1997","75.75","75.00","76.50","74.63","9.80K","2.02%"
"Aug 04, 1997","76.13","81.00","83.25","76.13","37.20K","0.50%"
"Aug 05, 1997","78.75","77.25","79.13","76.13","11.40K","3.44%"
"Aug 06, 1997","84.75","80.63","85.13","79.88","45.20K","7.62%"
"Aug 07, 1997","89.63","88.50","90.00","85.88","221.20K","5.76%"
"Aug 08, 1997","87.38","85.88","87.75","85.88","97.80K","-2.51%"
"Aug 11, 1997","90.38","94.13","95.63","89.25","71.80K","3.43%"
"Aug 12, 1997","93.75","91.13","94.13","91.13","489.20K","3.73%"
"Aug 13, 1997","93.75","93.00","94.13","92.25","52.20K","0.00%"
"Aug 14, 1997","91.50","93.00","93.00","91.13","174.40K","-2.40%"
"Aug 19, 1997","90.38","90.38","91.13","90.00","11.20K","-1.22%"
"Aug 20, 1997","90.00","89.63","90.38","89.63","9.60K","-0.42%"
"Aug 21, 1997","89.25","90.00","90.00","89.25","3.20K","-0.83%"
"Aug 22, 1997","85.50","90.00","90.00","85.13","7.00K","-4.20%"
"Aug 26, 1997","82.38","83.50","84.00","81.50","4.00K","-3.65%"
"Aug 27, 1997","79.75","81.50","81.50","79.00","2.00K","-3.19%"
"Aug 28, 1997","74.38","77.38","78.50","71.88","14.60K","-6.73%"
"Aug 29, 1997","70.13","72.50","73.50","68.50","38.40K","-5.71%"
"Sep 01, 1997","66.88","70.63","70.63","65.38","30.60K","-4.63%"
"Sep 02, 1997","72.63","69.63","73.50","69.63","56.40K","8.60%"
"Sep 03, 1997","71.75","74.00","74.00","71.50","16.00K","-1.21%"
"Sep 04, 1997","78.88","72.38","78.88","72.00","35.80K","9.94%"
"Sep 05, 1997","84.88","81.25","86.38","80.38","251.00K","7.61%"
"Sep 08, 1997","85.75","86.00","88.00","85.00","43.00K","1.02%"
"Sep 09, 1997","82.88","85.38","85.38","81.38","11.00K","-3.35%"
"Sep 10, 1997","80.63","81.63","81.63","78.25","26.00K","-2.71%"
"Sep 11, 1997","80.75","80.63","83.38","80.25","10.60K","0.15%"
"Sep 12, 1997","77.50","81.00","81.38","73.88","25.80K","-4.02%"
"Sep 15, 1997","74.00","76.50","77.25","73.75","29.00K","-4.52%"
"Sep 16, 1997","72.88","75.88","76.50","72.50","133.80K","-1.51%"
"Sep 17, 1997","70.00","74.75","80.13","69.00","1.26M","-3.95%"
"Sep 18, 1997","74.63","71.25","75.88","70.50","474.80K","6.61%"
"Sep 19, 1997","77.63","76.00","78.38","74.00","381.20K","4.02%"
"Sep 22, 1997","76.38","77.50","78.00","76.13","29.20K","-1.61%"
"Sep 23, 1997","76.13","75.50","76.63","73.50","71.20K","-0.33%"
"Sep 24, 1997","77.88","77.50","79.88","76.88","77.80K","2.30%"
"Sep 25, 1997","78.50","78.50","78.75","77.50","25.40K","0.80%"
"Sep 26, 1997","80.00","78.13","80.00","77.50","97.80K","1.91%"
"Sep 29, 1997","80.50","79.25","81.88","79.25","41.80K","0.63%"
"Sep 30, 1997","79.50","80.63","80.63","79.25","24.20K","-1.24%"
"Oct 01, 1997","79.50","80.63","82.00","79.50","115.40K","0.00%"
"Oct 03, 1997","78.50","79.50","79.50","78.38","28.80K","-1.26%"
"Oct 06, 1997","77.50","80.00","80.00","77.00","9.60K","-1.27%"
"Oct 07, 1997","80.00","77.50","80.00","77.50","11.40K","3.23%"
"Oct 08, 1997","79.13","79.75","80.00","79.00","6.40K","-1.09%"
"Oct 09, 1997","77.75","79.00","79.25","77.38","6.80K","-1.74%"
"Oct 10, 1997","77.38","77.50","77.75","77.00","19.20K","-0.48%"
"Oct 13, 1997","77.88","77.00","79.00","77.00","16.00K","0.65%"
"Oct 14, 1997","75.50","78.00","78.00","75.50","51.40K","-3.06%"
"Oct 15, 1997","78.75","77.50","79.13","77.50","36.80K","4.30%"
"Oct 16, 1997","80.38","79.50","81.50","79.00","40.00K","2.07%"
"Oct 17, 1997","79.38","82.00","82.63","79.25","71.20K","-1.24%"
"Oct 20, 1997","76.50","80.50","80.75","76.00","114.80K","-3.63%"
"Oct 21, 1997","71.75","75.63","75.63","71.00","261.00K","-6.21%"
"Oct 22, 1997","71.50","72.00","72.88","70.88","14.80K","-0.35%"
"Oct 23, 1997","70.63","71.00","71.25","69.63","38.80K","-1.22%"
"Oct 24, 1997","66.63","69.13","70.00","66.25","317.20K","-5.66%"
"Oct 27, 1997","67.00","68.00","68.63","65.63","170.20K","0.56%"
"Oct 30, 1997","67.25","66.00","68.00","65.50","12.00K","0.37%"
"Nov 03, 1997","63.75","65.88","65.88","63.00","72.80K","-5.20%"
"Nov 04, 1997","61.38","63.50","63.50","60.00","254.40K","-3.72%"
"Nov 05, 1997","61.50","60.50","66.38","58.75","388.20K","0.20%"
"Nov 06, 1997","62.38","60.50","62.88","60.50","87.40K","1.43%"
"Nov 07, 1997","60.75","61.50","61.75","60.13","77.40K","-2.61%"
"Nov 10, 1997","60.13","61.50","61.50","59.25","47.80K","-1.02%"
"Nov 11, 1997","58.88","60.00","60.63","58.75","55.60K","-2.08%"
"Nov 12, 1997","59.75","59.25","60.50","59.00","35.00K","1.48%"
"Nov 13, 1997","59.75","59.25","59.88","59.00","24.00K","0.00%"
"Nov 14, 1997","59.50","59.50","59.75","59.00","25.00K","-0.42%"
"Nov 17, 1997","61.00","60.00","61.50","60.00","18.20K","2.52%"
"Nov 18, 1997","61.13","61.00","61.25","60.25","12.80K","0.21%"
"Nov 19, 1997","61.38","60.13","61.50","59.00","32.40K","0.41%"
"Nov 20, 1997","62.00","61.00","62.50","61.00","15.60K","1.01%"
"Nov 21, 1997","61.88","62.25","62.75","61.50","17.00K","-0.19%"
"Nov 24, 1997","61.00","61.50","61.50","60.50","16.20K","-1.42%"
"Nov 25, 1997","61.13","60.75","62.00","60.38","50.80K","0.21%"
"Nov 26, 1997","61.00","61.50","61.63","60.50","33.60K","-0.21%"
"Nov 27, 1997","63.00","61.25","63.13","60.75","113.00K","3.28%"
"Nov 28, 1997","61.13","64.00","64.00","60.75","20.80K","-2.97%"
"Dec 01, 1997","62.13","60.50","62.38","60.25","19.00K","1.64%"
"Dec 02, 1997","60.63","61.63","61.75","60.25","52.20K","-2.41%"
"Dec 03, 1997","60.88","60.50","61.13","60.50","6.80K","0.41%"
"Dec 04, 1997","60.50","60.00","60.75","60.00","7.00K","-0.62%"
"Dec 05, 1997","59.75","60.88","60.88","59.50","13.80K","-1.24%"
"Dec 08, 1997","61.38","60.13","61.50","60.13","12.40K","2.73%"
"Dec 09, 1997","59.13","61.38","61.50","58.13","21.00K","-3.67%"
"Dec 10, 1997","58.75","59.00","59.50","58.50","25.20K","-0.64%"
"Dec 11, 1997","58.00","58.38","58.38","56.63","7.40K","-1.28%"
"Dec 12, 1997","58.50","57.88","58.75","57.88","7.80K","0.86%"
"Dec 15, 1997","59.13","58.50","59.13","58.25","3.40K","1.08%"
"Dec 16, 1997","59.63","59.75","60.00","59.25","7.00K","0.85%"
"Dec 17, 1997","60.50","59.88","60.50","59.88","23.80K","1.46%"
"Dec 18, 1997","60.38","60.25","60.50","59.50","7.80K","-0.20%"
"Dec 19, 1997","60.13","59.75","60.25","59.25","4.00K","-0.41%"
"Dec 22, 1997","60.50","60.13","60.63","60.00","8.80K","0.62%"
"Dec 23, 1997","61.88","60.88","63.00","60.75","23.80K","2.28%"
"Dec 24, 1997","61.00","61.38","61.38","60.88","8.60K","-1.42%"
"Dec 26, 1997","62.75","61.38","64.38","61.38","14.40K","2.87%"
"Dec 29, 1997","63.88","64.38","64.38","63.75","7.00K","1.80%"
"Dec 30, 1997","61.50","62.50","62.50","61.50","4.60K","-3.73%"
"Dec 31, 1997","61.38","61.75","61.75","61.38","1.00K","-0.20%"
"Jan 01, 1998","62.88","61.88","63.50","61.88","10.20K","2.44%"
"Jan 02, 1998","62.88","63.00","63.63","62.00","23.40K","0.00%"
"Jan 05, 1998","65.50","64.63","67.00","64.25","27.80K","4.17%"
"Jan 06, 1998","64.00","65.00","65.00","63.50","9.60K","-2.29%"
"Jan 07, 1998","63.75","64.25","64.50","62.50","10.00K","-0.39%"
"Jan 08, 1998","62.63","62.75","63.38","62.13","15.60K","-1.76%"
"Jan 09, 1998","59.75","61.25","61.25","59.63","20.20K","-4.60%"
"Jan 12, 1998","56.13","59.75","59.75","56.00","38.20K","-6.06%"
"Jan 13, 1998","56.50","56.88","57.50","55.88","68.60K","0.66%"
"Jan 14, 1998","53.88","57.00","57.75","53.63","66.20K","-4.64%"
"Jan 15, 1998","51.75","53.00","54.63","49.50","37.80K","-3.95%"
"Jan 16, 1998","52.38","51.50","53.00","51.38","22.40K","1.22%"
