Date,Price,Open,High,Low,Vol.,Change %
"May 05, 1995",20,20,20.25,19.75,-,2.56%
"May 08, 1995",19.75,19.5,20,19.5,-,-1.25%
"May 09, 1995",20.25,19.85,20.5,19.85,-,2.53%
"May 10, 1995",20.5,20,20.5,19.75,-,1.23%
"May 12, 1995",19.75,19.9,20.25,19.6,-,-3.66%
"May 15, 1995",20.25,19.75,20.25,19.5,-,2.53%
"May 16, 1995",20.4,20.45,21,20.4,-,0.74%
"May 17, 1995",21.2,20.5,21.5,20.5,-,3.92%
"May 18, 1995",22,20.5,22.25,20.5,-,3.77%
"May 19, 1995",22.4,22.5,22.75,22.4,-,1.82%
"May 22, 1995",21.85,22.1,22.25,21.7,-,-2.46%
"May 23, 1995",21.95,21.65,21.95,21.6,-,0.46%
"May 24, 1995",21.8,22,22,21.6,-,-0.68%
"May 25, 1995",21.7,21.65,21.8,21.4,-,-0.46%
"May 26, 1995",21.6,21.8,21.8,21.55,-,-0.46%
"May 29, 1995",20.8,21.3,21.35,20.1,-,-3.70%
"May 30, 1995",20.6,20.8,20.8,20.55,-,-0.96%
"May 31, 1995",21.6,21.2,21.9,21.2,-,4.85%
"Jun 01, 1995",22.2,21.75,22.35,21.75,-,2.78%
"Jun 02, 1995",22.75,22.45,23.05,21.6,-,2.48%
"Jun 05, 1995",22.4,22.5,22.7,22.15,-,-1.54%
"Jun 06, 1995",22.55,22.55,22.7,22.4,-,0.67%
"Jun 07, 1995",22.65,22.65,23.35,22.6,-,0.44%
"Jun 08, 1995",22.6,22.6,22.8,22.4,-,-0.22%
"Jun 09, 1995",22.75,22.5,22.8,22.35,-,0.66%
"Jun 12, 1995",23.35,22.7,23.45,22.7,-,2.64%
"Jun 13, 1995",23.55,23.5,24.1,22.9,-,0.86%
"Jun 14, 1995",24.05,23.8,24.05,23.3,-,2.12%
"Jun 15, 1995",24,24.05,24.05,23.55,-,-0.21%
"Jun 16, 1995",24.5,23.7,24.7,23.7,-,2.08%
"Jun 19, 1995",24.3,24.6,24.75,24.3,-,-0.82%
"Jun 20, 1995",23.95,24.35,24.4,23.8,-,-1.44%
"Jun 21, 1995",23.95,24,24,23.85,-,0.00%
"Jun 22, 1995",23.75,22.9,23.95,22.9,-,-0.84%
"Jun 23, 1995",23.9,23.5,24,22.8,-,0.63%
"Jun 26, 1995",23.55,22.8,23.8,22.8,-,-1.46%
"Jun 27, 1995",24.1,23.5,24.35,23.4,-,2.34%
"Jun 28, 1995",23.75,23.95,24.05,23.65,-,-1.45%
"Jun 29, 1995",23.95,24,24.05,23.6,-,0.84%
"Jun 30, 1995",23.85,23.8,24,23.4,-,-0.42%
"Jul 03, 1995",22.95,23.55,23.55,22.8,-,-3.77%
"Jul 04, 1995",22.55,22.8,22.95,22.25,-,-1.74%
"Jul 05, 1995",22.9,22.5,23.9,22.3,-,1.55%
"Jul 06, 1995",23.5,22.75,23.5,22.65,-,2.62%
"Jul 07, 1995",23.9,23.25,24.25,23.25,-,1.70%
"Jul 10, 1995",24,23.95,24.15,23.85,-,0.42%
"Jul 11, 1995",25,24,25.25,24,-,4.17%
"Jul 12, 1995",24.35,24.95,24.95,24.3,-,-2.60%
"Jul 13, 1995",24.15,24.35,24.85,24.05,-,-0.82%
"Jul 14, 1995",24.35,24.25,24.55,24.25,362.00K,0.83%
"Jul 17, 1995",24.55,24.4,24.6,24.25,201.00K,0.82%
"Jul 18, 1995",24.4,24.6,24.65,24.35,156.00K,-0.61%
"Jul 19, 1995",24.35,24.3,24.35,24.05,106.00K,-0.20%
"Jul 20, 1995",24.5,24.35,24.5,24.3,228.00K,0.62%
"Jul 21, 1995",24.45,24.3,24.45,23.95,92.00K,-0.20%
"Jul 25, 1995",24.45,24.6,24.8,24.4,479.00K,0.00%
"Jul 26, 1995",24.7,24.9,25.35,24.65,134.00K,1.02%
"Jul 27, 1995",24.65,24.75,24.75,24,166.00K,-0.20%
"Jul 28, 1995",24.35,24.1,24.4,23.8,267.00K,-1.22%
"Jul 31, 1995",24.55,24.1,24.6,24.1,283.00K,0.82%
"Aug 01, 1995",24.5,24.25,24.6,24.25,138.00K,-0.20%
"Aug 02, 1995",24.7,24.75,24.75,24.4,165.00K,0.82%
"Aug 03, 1995",24.8,24.65,24.9,24.5,220.00K,0.40%
"Aug 04, 1995",24.7,24.55,24.75,24.55,148.00K,-0.40%
"Aug 07, 1995",24.65,24.7,24.75,24.5,189.00K,-0.20%
"Aug 08, 1995",24.6,24.6,24.7,24.4,307.00K,-0.20%
"Aug 09, 1995",24.55,24.55,24.6,24.3,51.00K,-0.20%
"Aug 11, 1995",24.75,24.4,25,24.3,214.00K,0.81%
"Aug 14, 1995",24.65,24.6,25,24.6,103.00K,-0.40%
"Aug 16, 1995",25.15,24.55,25.2,24.25,592.00K,2.03%
"Aug 17, 1995",25.05,25,25.3,25,195.00K,-0.40%
"Aug 21, 1995",25,25,25.25,24.8,165.00K,-0.20%
"Aug 22, 1995",25.3,25,25.4,24.8,235.00K,1.20%
"Aug 24, 1995",25.25,25.25,25.3,25.1,1.53M,-0.20%
"Aug 25, 1995",25.25,25,25.3,25,3.60M,0.00%
"Aug 28, 1995",25.2,25.15,25.2,25,125.00K,-0.20%
"Aug 31, 1995",25.05,25,25.25,25,2.41M,-0.60%
"Sep 01, 1995",25.15,25.05,25.2,25.05,295.00K,0.40%
"Sep 04, 1995",25.25,25.15,25.35,25.1,680.00K,0.40%
"Sep 05, 1995",25.35,25.2,25.4,25.15,750.00K,0.40%
"Sep 06, 1995",25.4,25.2,25.45,25.15,160.00K,0.20%
"Sep 07, 1995",25.4,25.4,25.7,25.35,143.00K,0.00%
"Sep 08, 1995",25.3,25.35,25.35,25.3,44.00K,-0.39%
"Sep 11, 1995",25.25,25.3,25.4,25.2,89.00K,-0.20%
"Sep 12, 1995",25.25,25.25,25.3,25.2,217.00K,0.00%
"Sep 13, 1995",25.3,25.2,25.35,25.2,131.00K,0.20%
"Sep 14, 1995",25.4,25.35,25.4,25.3,742.00K,0.40%
"Sep 15, 1995",25.15,25.35,25.35,24.85,251.00K,-0.98%
"Sep 18, 1995",25.25,25.1,25.3,25,491.00K,0.40%
"Sep 19, 1995",25.3,25.3,25.35,25.25,215.00K,0.20%
"Sep 20, 1995",25.35,25.4,25.4,25.3,296.00K,0.20%
"Sep 21, 1995",25.5,25.35,25.55,25.35,359.00K,0.59%
"Sep 22, 1995",25.75,25.45,25.85,25.45,6.06M,0.98%
"Sep 25, 1995",25.9,25.85,26,25.75,100.00K,0.58%
"Sep 26, 1995",25.75,26,26,25.75,67.00K,-0.58%
"Sep 27, 1995",25.9,25.75,25.95,25.75,163.00K,0.58%
"Sep 28, 1995",25.85,25.85,25.9,25.85,163.00K,-0.19%
"Sep 29, 1995",26.5,25.85,26.6,25.85,602.00K,2.51%
"Oct 04, 1995",26.4,26.25,26.5,26.25,-,-0.38%
"Oct 05, 1995",26.7,26.7,26.8,26.5,-,1.14%
"Oct 06, 1995",27,26.85,27.15,26.6,-,1.12%
"Oct 09, 1995",27.45,27.05,27.6,26.9,-,1.67%
"Oct 10, 1995",27.9,27.45,28.25,27.35,-,1.64%
"Oct 11, 1995",28.1,27.85,28.2,27.7,-,0.72%
"Oct 12, 1995",28.25,28,28.3,28,-,0.53%
"Oct 13, 1995",28.3,28,28.45,27.9,-,0.18%
"Oct 16, 1995",28.5,28.3,28.6,28.3,-,0.71%
"Oct 18, 1995",28.5,28.7,28.9,28.45,-,0.00%
"Oct 19, 1995",27.75,28.35,28.4,27.45,-,-2.63%
"Oct 20, 1995",27.9,27.6,28,27.5,-,0.54%
"Oct 23, 1995",27.7,27.95,28,27.5,-,-0.72%
"Oct 26, 1995",27.45,27,28,27,-,-0.90%
"Oct 27, 1995",27.6,27.5,27.85,27.25,-,0.55%
"Oct 30, 1995",27.35,27.6,27.7,27.3,-,-0.91%
"Oct 31, 1995",27.65,27,27.7,27,-,1.10%
"Nov 01, 1995",27.45,27.5,27.65,27.4,-,-0.72%
"Nov 02, 1995",27.25,27.7,27.8,27.05,-,-0.73%
"Nov 03, 1995",27.2,27,27.3,27,-,-0.18%
"Nov 06, 1995",26.55,27.25,27.4,26.25,-,-2.39%
"Nov 08, 1995",25.5,26.25,26.25,25.25,-,-3.95%
"Nov 09, 1995",25.45,25.4,25.6,25,-,-0.20%
"Nov 10, 1995",25.1,25.2,25.3,25.1,-,-1.38%
"Nov 13, 1995",24.35,24.9,25,24.2,-,-2.99%
"Nov 14, 1995",23.85,24,24.1,23.55,-,-2.05%
"Nov 15, 1995",23.95,23.9,24.2,23.8,-,0.42%
"Nov 16, 1995",24.6,24.2,24.65,24.2,-,2.71%
"Nov 17, 1995",24.3,24.45,24.55,24.25,-,-1.22%
"Nov 20, 1995",24.3,24.3,24.35,24.2,-,0.00%
"Nov 21, 1995",24.3,24.35,24.5,24.1,-,0.00%
"Nov 22, 1995",24.05,24,24.2,23.8,-,-1.03%
"Nov 23, 1995",24.35,23.75,24.4,23.6,-,1.25%
"Nov 24, 1995",24.6,24.3,24.8,24.25,-,1.03%
"Nov 27, 1995",24.4,24.75,24.75,24.4,-,-0.81%
"Nov 28, 1995",24.25,24.2,24.3,24.1,-,-0.61%
"Nov 29, 1995",23.9,24,24.1,23.6,-,-1.44%
"Nov 30, 1995",23.9,23.9,24,23.85,-,0.00%
"Dec 01, 1995",24.2,24.1,24.25,24,-,1.26%
"Dec 04, 1995",24.2,24.2,24.3,24.1,-,0.00%
"Dec 05, 1995",24.35,24.1,24.4,24.1,-,0.62%
"Dec 06, 1995",24.25,24.5,24.5,24.2,-,-0.41%
"Dec 07, 1995",24.55,24.3,24.6,24.2,-,1.24%
"Dec 08, 1995",24.65,24.7,25,24.5,-,0.41%
"Dec 11, 1995",24.5,24,24.5,24,-,-0.61%
"Dec 12, 1995",24.65,24.35,24.7,24.35,-,0.61%
"Dec 13, 1995",25.1,24.7,25.2,24.7,-,1.83%
"Dec 14, 1995",25.15,25.1,25.3,25.1,-,0.20%
"Dec 15, 1995",25.25,24.85,25.25,24.7,-,0.40%
"Dec 18, 1995",25.35,24.8,25.35,24.8,-,0.40%
"Dec 19, 1995",25.55,25.2,25.95,25.2,-,0.79%
"Dec 20, 1995",25.9,25.75,26.5,25.5,-,1.37%
"Dec 21, 1995",26.1,25.9,26.25,25.9,-,0.77%
"Dec 22, 1995",27.15,26.4,27.25,26.2,-,4.02%
"Jan 01, 1996",26.65,26.9,26.9,26.4,-,-1.84%
"Jan 02, 1996",27.1,26.75,27.25,26.6,-,1.69%
"Jan 03, 1996",27.15,27,27.15,27,-,0.18%
"Jan 04, 1996",27.1,27,27.1,27,-,-0.18%
"Jan 05, 1996",27.15,27,27.15,27,-,0.18%
"Jan 08, 1996",27.1,27,27.2,27,-,-0.18%
"Jan 09, 1996",27.05,27,27.1,26.95,-,-0.18%
"Jan 10, 1996",26.45,27,27.2,26.4,-,-2.22%
"Jan 11, 1996",26.45,26.25,26.5,26,-,0.00%
"Jan 12, 1996",26.75,26.4,26.9,26.4,-,1.13%
"Jan 15, 1996",26.3,26.15,26.45,26,-,-1.68%
"Jan 16, 1996",26.3,26.25,26.35,26.25,-,0.00%
"Jan 17, 1996",26.35,26.1,26.4,26,-,0.19%
"Jan 18, 1996",26.45,26.05,26.6,26,-,0.38%
"Jan 19, 1996",26.6,26.3,26.75,26,-,0.57%
"Jan 22, 1996",26.65,26.5,26.75,26.45,-,0.19%
"Jan 23, 1996",26.7,26.55,26.75,26.5,-,0.19%
"Jan 24, 1996",26.5,26.55,26.65,26.4,-,-0.75%
"Jan 25, 1996",26.5,26.45,26.55,26.4,-,0.00%
"Jan 29, 1996",26.75,26.45,26.75,26.35,-,0.94%
