"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 11, 1995","21.50","21.75","22.00","20.50","-","-2.27%"
"Jan 12, 1995","22.00","21.50","22.25","21.25","-","2.33%"
"Jan 13, 1995","22.40","22.25","22.50","21.80","-","1.82%"
"Jan 16, 1995","23.00","22.50","23.25","22.40","-","2.68%"
"Jan 17, 1995","23.10","23.00","23.50","23.00","-","0.43%"
"Jan 18, 1995","24.00","23.00","24.00","23.00","-","3.90%"
"Jan 19, 1995","23.75","23.75","24.25","23.75","-","-1.04%"
"Jan 20, 1995","23.75","23.75","24.00","23.00","-","0.00%"
"Jan 23, 1995","23.25","23.00","23.25","22.50","-","-2.11%"
"Jan 24, 1995","22.50","22.25","22.75","22.00","-","-3.23%"
"Jan 25, 1995","22.00","22.25","22.50","21.50","-","-2.22%"
"Jan 27, 1995","22.25","22.50","22.50","21.95","-","1.14%"
"Jan 30, 1995","22.50","21.80","22.50","21.75","-","1.12%"
"Jan 31, 1995","22.75","22.40","23.25","22.40","-","1.11%"
"Feb 01, 1995","23.00","23.00","23.40","22.50","-","1.10%"
"Feb 02, 1995","23.00","22.75","23.00","22.25","-","0.00%"
"Feb 03, 1995","23.00","22.75","23.00","22.50","-","0.00%"
"Feb 06, 1995","22.75","22.75","23.00","22.40","-","-1.09%"
"Feb 07, 1995","22.50","22.75","23.00","22.00","-","-1.10%"
"Feb 08, 1995","22.00","22.00","22.25","21.75","-","-2.22%"
"Feb 09, 1995","22.00","22.00","22.25","21.75","-","0.00%"
"Feb 10, 1995","22.00","22.10","22.25","22.00","-","0.00%"
"Feb 13, 1995","21.85","21.75","22.00","21.50","-","-0.68%"
"Feb 14, 1995","21.90","21.50","22.00","21.50","-","0.23%"
"Feb 15, 1995","21.50","21.75","21.90","21.25","-","-1.83%"
"Feb 16, 1995","21.00","21.00","22.00","20.25","-","-2.33%"
"Feb 17, 1995","19.75","20.50","20.50","19.75","-","-5.95%"
"Feb 20, 1995","19.50","19.75","20.25","19.15","-","-1.27%"
"Feb 21, 1995","19.50","19.00","19.65","19.00","-","0.00%"
"Feb 22, 1995","19.50","19.50","19.75","19.25","-","0.00%"
"Feb 23, 1995","20.00","19.75","20.25","19.75","-","2.56%"
"Feb 24, 1995","21.00","20.60","21.75","20.60","-","5.00%"
"Feb 28, 1995","21.00","21.50","21.50","20.75","-","0.00%"
"Mar 01, 1995","20.75","21.00","21.25","20.75","-","-1.19%"
"Mar 02, 1995","21.00","21.25","21.50","20.75","-","1.20%"
"Mar 03, 1995","21.25","21.00","21.50","20.80","-","1.19%"
"Mar 06, 1995","21.10","21.00","21.75","20.80","-","-0.71%"
