Date,Price,Open,High,Low,Vol.,Change %
"May 05, 1995",0.95,0.89,0.95,0.89,256.00K,10.47%
"May 08, 1995",0.89,0.92,0.92,0.89,460.80K,-6.32%
"May 09, 1995",0.91,0.9,0.91,0.9,256.00K,2.25%
"May 12, 1995",0.89,0.91,0.91,0.89,102.40K,-2.20%
"May 15, 1995",0.89,0.87,0.89,0.87,307.20K,0.00%
"May 16, 1995",0.87,0.86,0.87,0.86,102.40K,-2.25%
"May 17, 1995",0.87,0.87,0.87,0.87,51.20K,0.00%
"May 18, 1995",0.96,0.91,0.96,0.91,512.00K,10.34%
"May 19, 1995",0.99,0.96,0.99,0.96,665.60K,3.13%
"May 22, 1995",0.99,0.96,1.01,0.96,56.63M,0.00%
"May 23, 1995",0.97,1.01,1.01,0.97,51.46M,-2.02%
"May 24, 1995",1,0.99,1,0.99,563.20K,3.09%
"May 25, 1995",0.99,0.99,0.99,0.99,2.56M,-1.00%
"May 29, 1995",0.98,0.99,0.99,0.98,153.60K,-1.01%
"May 30, 1995",0.98,0.96,0.98,0.96,1.13M,0.00%
"May 31, 1995",0.98,0.97,0.99,0.97,512.00K,0.00%
"Jun 01, 1995",0.98,0.98,0.98,0.98,614.40K,0.00%
"Jun 02, 1995",0.97,0.98,0.98,0.97,204.80K,-1.02%
"Jun 05, 1995",0.99,0.99,0.99,0.98,3.43M,2.06%
"Jun 07, 1995",1.04,1.01,1.04,1.01,102.40K,5.05%
"Jun 08, 1995",1.01,1.01,1.01,1.01,153.60K,-2.88%
"Jun 09, 1995",1,1,1,1,51.20K,-0.99%
"Jun 12, 1995",0.99,0.99,0.99,0.99,102.40K,-1.00%
"Jun 13, 1995",0.98,0.98,0.98,0.98,102.40K,-1.01%
"Jun 15, 1995",0.96,0.95,0.96,0.95,204.80K,-2.04%
"Jun 16, 1995",0.99,0.98,0.99,0.97,204.80K,3.13%
"Jun 19, 1995",0.98,0.97,0.98,0.97,665.60K,-1.01%
"Jun 20, 1995",0.99,0.97,0.99,0.97,256.00K,1.02%
"Jun 21, 1995",0.99,0.98,0.99,0.98,102.40K,0.00%
"Jun 22, 1995",0.98,0.98,0.98,0.98,512.00K,-1.01%
"Jun 23, 1995",0.98,0.98,0.98,0.98,409.60K,0.00%
"Jun 27, 1995",0.93,0.94,0.94,0.92,204.80K,-5.10%
"Jun 28, 1995",0.93,0.93,0.93,0.93,153.60K,0.00%
"Jun 29, 1995",0.93,0.93,0.93,0.93,102.40K,0.00%
"Jul 03, 1995",0.88,0.91,0.92,0.88,153.60K,-5.38%
"Jul 04, 1995",0.85,0.85,0.85,0.79,204.80K,-3.41%
"Jul 05, 1995",0.83,0.82,0.84,0.82,409.60K,-2.35%
"Jul 10, 1995",0.84,0.84,0.84,0.84,256.00K,1.20%
"Jul 11, 1995",0.86,0.88,0.88,0.85,204.80K,2.38%
"Jul 12, 1995",0.88,0.88,0.88,0.88,153.60K,2.33%
"Jul 13, 1995",0.88,0.88,0.88,0.88,51.20K,0.00%
"Jul 14, 1995",0.88,0.88,0.88,0.88,153.60K,0.00%
"Jul 17, 1995",0.91,0.9,0.91,0.9,102.40K,3.41%
"Jul 18, 1995",0.92,0.91,0.92,0.91,102.40K,1.10%
"Jul 19, 1995",0.9,0.87,0.9,0.87,204.80K,-2.17%
"Jul 20, 1995",0.91,0.89,0.91,0.89,102.40K,1.11%
"Jul 21, 1995",0.9,0.9,0.9,0.89,307.20K,-1.10%
"Jul 24, 1995",0.9,0.9,0.9,0.9,51.20K,0.00%
"Jul 25, 1995",0.9,0.87,0.91,0.87,204.80K,0.00%
