Date,Price,Open,High,Low,Vol.,Change %
"May 05, 1995",30.32,29.7,30.94,29.7,-,6.54%
"May 08, 1995",30.94,30.32,31.55,29.7,-,2.04%
"May 09, 1995",30.94,30.94,31.43,30.69,-,0.00%
"May 10, 1995",30.69,30.94,31.18,30.44,-,-0.81%
"May 12, 1995",30.19,30.44,30.44,29.2,-,-1.63%
"May 15, 1995",29.45,30.19,30.19,29.45,-,-2.45%
"May 16, 1995",29.7,29.45,29.7,29.2,-,0.85%
"May 17, 1995",30.44,29.95,30.44,29.7,-,2.49%
"May 18, 1995",30.94,30.44,31.18,30.44,-,1.64%
"May 19, 1995",31.43,31.18,31.43,30.69,-,1.58%
"May 22, 1995",32.17,30.94,32.17,30.69,-,2.35%
"May 23, 1995",31.68,32.17,32.17,14.35,-,-1.52%
"May 24, 1995",31.68,31.68,32.17,31.43,-,0.00%
"May 25, 1995",31.93,31.93,32.17,31.68,-,0.79%
"May 26, 1995",32.42,32.17,32.42,32.17,-,1.53%
"May 29, 1995",33.41,32.42,33.91,32.17,-,3.05%
"May 30, 1995",34.9,33.66,34.9,33.41,-,4.46%
"May 31, 1995",36.13,34.9,38.11,34.9,-,3.52%
"Jun 01, 1995",36.38,36.63,37.37,36.13,-,0.69%
"Jun 02, 1995",34.9,36.38,36.38,34.9,-,-4.07%
"Jun 05, 1995",33.91,34.65,34.9,33.66,-,-2.84%
"Jun 06, 1995",32.92,35.64,35.64,32.67,-,-2.92%
"Jun 07, 1995",32.42,32.92,33.16,31.93,-,-1.52%
"Jun 08, 1995",31.68,32.17,32.17,31.18,-,-2.28%
"Jun 09, 1995",31.43,31.68,31.93,31.18,-,-0.79%
"Jun 12, 1995",27.22,31.43,32.92,27.22,-,-13.39%
"Jun 13, 1995",32.67,32.17,32.92,24.75,-,20.02%
"Jun 14, 1995",32.17,32.67,32.92,31.93,-,-1.53%
"Jun 15, 1995",32.42,32.42,32.67,31.93,-,0.78%
"Jun 16, 1995",32.67,32.42,32.67,32.17,-,0.77%
"Jun 19, 1995",32.42,32.92,33.16,32.17,-,-0.77%
"Jun 20, 1995",32.67,32.42,32.67,32.17,-,0.77%
"Jun 21, 1995",32.67,32.42,32.67,32.42,-,0.00%
"Jun 22, 1995",32.67,32.67,32.92,32.42,-,0.00%
"Jun 23, 1995",32.42,32.67,32.92,32.42,-,-0.77%
"Jun 26, 1995",31.68,32.42,32.42,31.43,-,-2.28%
"Jun 27, 1995",31.68,31.68,31.93,31.43,-,0.00%
"Jun 28, 1995",31.18,31.93,31.93,30.19,-,-1.58%
"Jun 29, 1995",31.18,31.18,31.43,30.94,-,0.00%
"Jun 30, 1995",30.94,31.18,31.18,30.44,-,-0.77%
"Jul 03, 1995",30.44,30.94,31.18,30.19,-,-1.62%
"Jul 04, 1995",29.95,30.19,30.69,29.2,-,-1.61%
"Jul 05, 1995",30.19,29.95,30.44,29.95,-,0.80%
"Jul 06, 1995",30.19,29.95,30.44,29.45,-,0.00%
"Jul 07, 1995",30.19,30.19,30.19,29.7,-,0.00%
"Jul 10, 1995",29.95,30.19,30.44,29.95,-,-0.79%
"Jul 11, 1995",30.19,29.95,30.19,29.7,-,0.80%
"Jul 12, 1995",30.19,30.19,30.44,29.95,-,0.00%
"Jul 13, 1995",30.44,30.19,30.69,30.19,-,0.83%
"Jul 14, 1995",30.69,30.19,31.43,30.19,80.53K,0.82%
"Jul 17, 1995",31.68,31.68,32.42,31.43,86.83K,3.23%
"Jul 18, 1995",31.68,31.68,31.93,31.68,52.00K,0.00%
"Jul 19, 1995",31.93,31.68,32.17,31.68,57.46K,0.79%
"Jul 20, 1995",31.68,32.17,32.42,31.43,91.04K,-0.78%
"Jul 21, 1995",31.43,31.68,31.68,30.94,65.70K,-0.79%
"Jul 25, 1995",31.93,31.43,31.93,31.18,90.83K,1.59%
"Jul 26, 1995",31.43,31.93,31.93,31.43,43.28K,-1.57%
"Jul 27, 1995",31.18,31.68,31.68,30.94,57.98K,-0.80%
"Jul 28, 1995",30.19,30.19,31.18,30.19,88.81K,-3.18%
"Jul 31, 1995",31.43,31.68,31.93,30.94,67.44K,4.11%
"Aug 01, 1995",31.18,31.18,31.43,30.94,21.46K,-0.80%
"Aug 02, 1995",31.43,31.18,31.43,31.18,25.66K,0.80%
"Aug 03, 1995",31.18,31.68,31.68,30.94,52.61K,-0.80%
"Aug 04, 1995",31.18,31.18,31.18,30.94,23.35K,0.00%
"Aug 07, 1995",31.18,31.18,31.43,30.94,29.54K,0.00%
"Aug 08, 1995",31.43,31.18,31.43,30.94,63.88K,0.80%
"Aug 09, 1995",30.69,30.94,30.94,30.69,34.06K,-2.35%
"Aug 11, 1995",30.19,30.69,30.94,30.19,37.62K,-1.63%
"Aug 14, 1995",29.95,30.44,30.69,29.45,49.90K,-0.79%
"Aug 16, 1995",29.7,30.19,30.19,29.45,38.14K,-0.83%
"Aug 17, 1995",28.96,29.7,29.7,28.71,54.18K,-2.49%
"Aug 21, 1995",29.2,28.96,29.7,28.96,55.64K,0.83%
"Aug 22, 1995",28.46,28.96,29.2,28.46,81.06K,-2.53%
"Aug 24, 1995",29.45,28.96,29.45,28.71,29.62K,3.48%
"Aug 25, 1995",28.96,29.45,29.45,28.96,43.23K,-1.66%
"Aug 28, 1995",29.2,31.18,31.18,29.2,16.12K,0.83%
"Aug 31, 1995",29.2,29.45,29.45,28.96,23.11K,0.00%
"Sep 01, 1995",28.96,29.2,31.43,28.71,29.17K,-0.82%
"Sep 04, 1995",28.71,28.96,29.2,28.71,25.62K,-0.86%
"Sep 05, 1995",28.71,28.46,28.71,28.46,32.16K,0.00%
"Sep 06, 1995",28.46,28.71,28.71,28.46,36.41K,-0.87%
"Sep 07, 1995",28.96,28.71,28.96,28.71,35.32K,1.76%
"Sep 08, 1995",28.96,28.96,28.96,28.71,13.01K,0.00%
"Sep 11, 1995",28.71,28.96,28.96,28.21,45.70K,-0.86%
"Sep 12, 1995",28.71,28.96,28.96,28.46,15.96K,0.00%
"Sep 13, 1995",28.71,28.71,28.96,28.21,45.54K,0.00%
"Sep 14, 1995",28.71,28.71,28.71,28.46,18.02K,0.00%
"Sep 15, 1995",28.71,28.71,28.96,28.46,20.73K,0.00%
"Sep 18, 1995",28.71,28.71,28.71,28.46,20.04K,0.00%
"Sep 19, 1995",28.71,28.71,28.71,28.46,25.82K,0.00%
"Sep 20, 1995",28.46,28.71,28.71,28.46,23.84K,-0.87%
"Sep 21, 1995",28.46,30.44,30.44,28.21,23.35K,0.00%
