"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 02, 1995","12.46","12.46","13.35","12.46","-","-6.67%"
"Jan 03, 1995","12.23","12.01","13.12","12.01","-","-1.85%"
"Jan 04, 1995","12.23","12.01","12.90","12.01","-","0.00%"
"Jan 05, 1995","12.01","12.90","12.90","12.01","-","-1.80%"
"Jan 06, 1995","11.79","12.01","12.46","11.35","-","-1.83%"
"Jan 09, 1995","12.46","11.57","12.46","11.57","-","5.68%"
"Jan 10, 1995","11.12","12.01","12.01","11.12","-","-10.75%"
"Jan 11, 1995","10.68","10.68","11.57","10.68","-","-3.96%"
"Jan 12, 1995","12.01","11.12","12.01","11.12","-","12.45%"
"Jan 13, 1995","11.57","11.12","12.46","11.12","-","-3.66%"
"Jan 16, 1995","12.46","11.57","12.46","11.57","-","7.69%"
"Jan 17, 1995","12.46","11.57","12.46","11.57","-","0.00%"
"Jan 18, 1995","12.46","11.57","12.46","11.57","-","0.00%"
"Jan 19, 1995","12.01","11.57","13.12","11.57","-","-3.61%"
"Jan 20, 1995","12.46","12.68","13.35","12.23","-","3.75%"
"Jan 23, 1995","12.68","12.01","12.68","12.01","-","1.77%"
"Jan 24, 1995","12.01","11.57","12.46","11.12","-","-5.28%"
"Jan 25, 1995","11.57","11.12","12.01","11.12","-","-3.66%"
"Jan 27, 1995","11.35","11.12","12.01","10.90","-","-1.90%"
"Jan 30, 1995","12.01","11.12","12.01","11.12","-","5.81%"
"Jan 31, 1995","12.01","11.12","12.01","11.12","-","0.00%"
"Feb 01, 1995","12.01","11.57","12.01","11.35","-","0.00%"
"Feb 02, 1995","11.57","11.12","12.01","11.12","-","-3.66%"
"Feb 03, 1995","11.35","11.35","12.01","11.12","-","-1.90%"
"Feb 06, 1995","11.79","11.12","11.79","11.12","-","3.88%"
"Feb 07, 1995","11.57","10.68","11.57","10.68","-","-1.87%"
"Feb 08, 1995","11.12","11.35","11.35","10.23","-","-3.89%"
"Feb 09, 1995","11.12","10.23","11.12","10.23","-","0.00%"
"Feb 10, 1995","10.23","10.23","11.12","10.23","-","-8.00%"
"Feb 13, 1995","10.68","10.23","10.68","9.79","-","4.40%"
"Feb 14, 1995","10.23","10.23","10.68","9.57","-","-4.21%"
"Feb 15, 1995","10.23","9.79","10.23","9.79","-","0.00%"
"Feb 16, 1995","10.01","9.57","10.01","9.34","-","-2.15%"
"Feb 17, 1995","8.90","10.23","10.23","8.90","-","-11.09%"
"Feb 20, 1995","8.68","8.45","9.34","8.45","-","-2.47%"
"Feb 21, 1995","8.90","8.45","9.34","8.45","-","2.53%"
"Feb 22, 1995","9.34","8.45","9.34","8.01","-","4.94%"
"Feb 23, 1995","9.79","8.90","10.23","8.90","-","4.82%"
"Feb 24, 1995","11.12","9.79","11.79","9.79","-","13.59%"
"Feb 28, 1995","11.57","10.68","11.57","10.68","-","4.05%"
"Mar 01, 1995","11.12","10.68","11.57","10.46","-","-3.89%"
"Mar 02, 1995","11.57","10.68","11.57","10.68","-","4.05%"
"Mar 03, 1995","11.57","11.12","11.57","10.68","-","0.00%"
"Mar 06, 1995","11.12","10.68","11.57","10.68","-","-3.89%"
"Mar 07, 1995","11.12","10.68","11.12","10.23","-","0.00%"
"Mar 08, 1995","11.12","10.23","11.12","10.23","-","0.00%"
"Mar 09, 1995","10.68","10.01","10.90","9.79","-","-3.96%"
"Mar 10, 1995","10.90","10.23","10.90","10.01","-","2.06%"
"Mar 13, 1995","10.46","10.01","10.46","9.57","-","-4.04%"
"Mar 14, 1995","10.68","9.79","10.68","9.79","-","2.10%"
"Mar 15, 1995","11.12","10.23","11.12","10.23","-","4.12%"
"Mar 16, 1995","10.46","9.79","10.46","9.79","-","-5.94%"
"Mar 23, 1995","10.23","9.79","10.23","9.57","-","-2.20%"
"Mar 24, 1995","10.23","10.23","10.23","9.34","-","0.00%"
"Mar 27, 1995","10.23","9.79","10.23","9.79","-","0.00%"
"Mar 28, 1995","10.46","9.79","10.68","9.79","-","2.25%"
"Mar 29, 1995","10.46","10.01","10.68","9.79","-","0.00%"
"Mar 30, 1995","10.01","9.79","10.68","9.79","-","-4.30%"
"Mar 31, 1995","11.12","10.01","11.12","10.01","-","11.09%"
"Apr 03, 1995","10.68","10.68","10.68","9.79","-","-3.96%"
"Apr 04, 1995","10.68","10.23","10.68","10.23","-","0.00%"
"Apr 05, 1995","10.90","10.46","10.90","10.23","-","2.06%"
"Apr 06, 1995","11.12","10.23","11.12","10.23","-","2.02%"
"Apr 07, 1995","10.90","10.23","10.90","10.23","-","-1.98%"
"Apr 10, 1995","10.68","10.23","11.12","10.23","-","-2.02%"
"Apr 17, 1995","11.12","10.68","11.12","10.23","-","4.12%"
"Apr 18, 1995","10.68","10.23","10.68","9.79","-","-3.96%"
"Apr 19, 1995","10.23","9.79","10.23","9.34","-","-4.21%"
"Apr 20, 1995","10.23","8.90","10.23","8.90","-","0.00%"
"Apr 21, 1995","9.79","9.34","9.79","9.34","-","-4.30%"
"Apr 24, 1995","9.79","8.90","9.79","8.90","-","0.00%"
"Apr 25, 1995","9.34","8.45","9.34","8.45","-","-4.60%"
"Apr 26, 1995","8.90","8.45","9.34","8.45","-","-4.71%"
"Apr 27, 1995","9.34","8.45","9.34","8.45","-","4.94%"
"Apr 28, 1995","8.90","9.12","9.12","8.01","-","-4.71%"
"May 02, 1995","8.90","8.45","9.12","8.01","-","0.00%"
"May 03, 1995","8.90","8.01","8.90","8.01","-","0.00%"
"May 04, 1995","9.34","8.45","9.34","8.45","-","4.94%"
"May 05, 1995","9.79","9.57","9.79","8.90","-","4.82%"
"May 08, 1995","9.57","8.90","9.57","8.90","-","-2.25%"
"May 09, 1995","9.79","9.79","9.79","8.90","-","2.30%"
"May 10, 1995","9.79","8.90","9.79","8.90","-","0.00%"
"May 12, 1995","9.34","8.45","9.57","8.45","-","-4.60%"
"May 15, 1995","9.34","8.45","9.34","8.45","-","0.00%"
"May 16, 1995","9.34","8.45","9.34","8.45","-","0.00%"
"May 17, 1995","9.34","8.45","9.34","8.45","-","0.00%"
"May 18, 1995","9.34","8.68","9.34","8.68","-","0.00%"
"May 19, 1995","9.34","8.68","9.34","8.68","-","0.00%"
"May 22, 1995","9.57","8.90","9.57","8.90","-","2.46%"
"May 23, 1995","9.34","8.90","9.34","8.68","-","-2.40%"
"May 24, 1995","9.34","8.90","9.34","8.90","-","0.00%"
"May 25, 1995","8.68","8.45","9.34","8.45","-","-7.07%"
"May 26, 1995","9.34","8.45","9.34","8.45","-","7.60%"
"May 29, 1995","9.12","8.68","9.12","8.68","-","-2.36%"
"May 30, 1995","9.12","8.68","9.12","8.68","-","0.00%"
"May 31, 1995","9.12","8.68","9.12","8.68","-","0.00%"
"Jun 01, 1995","9.12","8.68","9.34","8.68","-","0.00%"
"Jun 02, 1995","9.12","8.68","9.34","8.68","-","0.00%"
"Jun 05, 1995","9.12","8.68","9.34","8.68","-","0.00%"
"Jun 06, 1995","9.08","8.90","9.17","8.90","-","-0.44%"
"Jun 07, 1995","9.08","9.08","9.17","8.99","-","0.00%"
"Jun 08, 1995","8.99","9.08","9.08","8.90","-","-0.99%"
"Jun 09, 1995","8.99","9.08","9.08","8.90","-","0.00%"
"Jun 12, 1995","8.81","8.99","9.08","8.54","-","-2.00%"
"Jun 13, 1995","8.72","8.72","8.72","8.63","-","-1.02%"
"Jun 14, 1995","8.45","8.63","8.63","8.36","-","-3.10%"
"Jun 15, 1995","8.36","8.54","8.54","8.36","-","-1.07%"
"Jun 16, 1995","8.36","8.45","8.54","8.36","-","0.00%"
"Jun 19, 1995","8.32","8.36","8.45","8.10","-","-0.48%"
"Jun 20, 1995","8.45","8.23","8.50","8.23","-","1.56%"
"Jun 21, 1995","8.72","8.54","9.25","8.32","-","3.20%"
"Jun 22, 1995","8.76","8.59","8.76","8.54","-","0.46%"
"Jun 23, 1995","8.63","8.76","8.81","8.54","-","-1.48%"
"Jun 26, 1995","8.59","8.54","8.68","8.50","-","-0.46%"
