Date,Price,Open,High,Low,Vol.,Change %
"May 05, 1995",9.79,9.57,9.79,8.9,-,4.82%
"May 08, 1995",9.57,8.9,9.57,8.9,-,-2.25%
"May 09, 1995",9.79,9.79,9.79,8.9,-,2.30%
"May 10, 1995",9.79,8.9,9.79,8.9,-,0.00%
"May 12, 1995",9.34,8.45,9.57,8.45,-,-4.60%
"May 15, 1995",9.34,8.45,9.34,8.45,-,0.00%
"May 16, 1995",9.34,8.45,9.34,8.45,-,0.00%
"May 17, 1995",9.34,8.45,9.34,8.45,-,0.00%
"May 18, 1995",9.34,8.68,9.34,8.68,-,0.00%
"May 19, 1995",9.34,8.68,9.34,8.68,-,0.00%
"May 22, 1995",9.57,8.9,9.57,8.9,-,2.46%
"May 23, 1995",9.34,8.9,9.34,8.68,-,-2.40%
"May 24, 1995",9.34,8.9,9.34,8.9,-,0.00%
"May 25, 1995",8.68,8.45,9.34,8.45,-,-7.07%
"May 26, 1995",9.34,8.45,9.34,8.45,-,7.60%
"May 29, 1995",9.12,8.68,9.12,8.68,-,-2.36%
"May 30, 1995",9.12,8.68,9.12,8.68,-,0.00%
"May 31, 1995",9.12,8.68,9.12,8.68,-,0.00%
"Jun 01, 1995",9.12,8.68,9.34,8.68,-,0.00%
"Jun 02, 1995",9.12,8.68,9.34,8.68,-,0.00%
"Jun 05, 1995",9.12,8.68,9.34,8.68,-,0.00%
"Jun 06, 1995",9.08,8.9,9.17,8.9,-,-0.44%
"Jun 07, 1995",9.08,9.08,9.17,8.99,-,0.00%
"Jun 08, 1995",8.99,9.08,9.08,8.9,-,-0.99%
"Jun 09, 1995",8.99,9.08,9.08,8.9,-,0.00%
"Jun 12, 1995",8.81,8.99,9.08,8.54,-,-2.00%
"Jun 13, 1995",8.72,8.72,8.72,8.63,-,-1.02%
"Jun 14, 1995",8.45,8.63,8.63,8.36,-,-3.10%
"Jun 15, 1995",8.36,8.54,8.54,8.36,-,-1.07%
"Jun 16, 1995",8.36,8.45,8.54,8.36,-,0.00%
"Jun 19, 1995",8.32,8.36,8.45,8.1,-,-0.48%
"Jun 20, 1995",8.45,8.23,8.5,8.23,-,1.56%
"Jun 21, 1995",8.72,8.54,9.25,8.32,-,3.20%
"Jun 22, 1995",8.76,8.59,8.76,8.54,-,0.46%
"Jun 23, 1995",8.63,8.76,8.81,8.54,-,-1.48%
"Jun 26, 1995",8.59,8.54,8.68,8.5,-,-0.46%
"Jun 27, 1995",8.45,8.59,8.59,8.23,-,-1.63%
"Jun 28, 1995",8.36,8.45,8.63,8.36,-,-1.07%
"Jun 29, 1995",8.32,8.36,8.45,8.28,-,-0.48%
"Jun 30, 1995",8.05,8.23,8.41,8.01,-,-3.25%
"Jul 03, 1995",7.16,8.9,8.9,7.12,-,-11.06%
"Jul 04, 1995",7.3,7.3,7.52,6.94,-,1.96%
"Jul 05, 1995",7.56,7.43,7.65,7.34,-,3.56%
"Jul 06, 1995",7.61,7.52,7.61,7.39,-,0.66%
"Jul 07, 1995",7.87,7.56,7.87,7.52,-,3.42%
"Jul 10, 1995",7.87,7.87,8.1,7.79,-,0.00%
"Jul 11, 1995",8.1,7.92,8.19,7.79,-,2.92%
"Jul 12, 1995",8.19,8.1,8.23,8.01,-,1.11%
"Jul 13, 1995",8.32,8.23,8.36,8.19,-,1.59%
"Jul 14, 1995",8.36,8.36,8.36,8.23,269.72K,0.48%
"Jul 17, 1995",8.5,8.63,8.72,8.45,303.44K,1.67%
"Jul 18, 1995",8.72,8.63,8.76,8.5,274.22K,2.59%
"Jul 19, 1995",8.68,8.76,8.76,8.54,161.83K,-0.46%
"Jul 20, 1995",8.76,8.81,8.9,8.76,157.34K,0.92%
"Jul 21, 1995",8.81,8.9,8.9,8.59,328.16K,0.57%
"Jul 25, 1995",9.79,8.85,9.97,8.85,690.04K,11.12%
"Jul 26, 1995",9.21,9.88,10.05,9.12,546.19K,-5.92%
"Jul 27, 1995",9.21,9.12,9.34,9.08,397.84K,0.00%
"Jul 28, 1995",8.9,8.9,9.12,8.81,245.00K,-3.37%
"Jul 31, 1995",8.54,8.76,8.76,8.45,119.13K,-4.04%
"Aug 01, 1995",8.5,8.54,8.59,8.45,74.17K,-0.47%
"Aug 02, 1995",8.59,8.54,8.68,8.5,96.65K,1.06%
"Aug 03, 1995",8.59,8.72,8.76,8.59,67.43K,0.00%
"Aug 04, 1995",8.54,8.59,8.59,8.5,123.62K,-0.58%
"Aug 07, 1995",8.54,8.63,8.68,8.54,87.66K,0.00%
"Aug 08, 1995",8.5,8.54,8.59,8.32,116.88K,-0.47%
"Aug 09, 1995",8.45,8.45,8.54,8.45,134.86K,-0.59%
"Aug 11, 1995",8.23,8.41,8.41,8.1,489.99K,-2.60%
"Aug 14, 1995",8.19,8.19,8.23,8.14,130.37K,-0.49%
"Aug 16, 1995",8.01,8.1,8.14,7.96,87.66K,-2.20%
"Aug 17, 1995",8.05,8.01,8.14,8.01,62.93K,0.50%
"Aug 21, 1995",7.87,7.92,7.92,7.7,98.90K,-2.24%
"Aug 22, 1995",7.74,7.79,7.83,7.7,69.68K,-1.65%
"Aug 24, 1995",7.47,7.74,7.74,7.39,152.84K,-3.49%
"Aug 25, 1995",7.43,7.34,7.56,7.34,137.11K,-0.54%
"Aug 28, 1995",7.39,7.43,7.56,7.39,67.43K,-0.54%
"Aug 31, 1995",7.25,7.47,7.47,7.25,92.15K,-1.89%
"Sep 01, 1995",7.25,7.34,7.34,7.16,231.51K,0.00%
"Sep 04, 1995",7.16,7.07,7.25,7.07,195.55K,-1.24%
"Sep 05, 1995",7.07,7.16,7.21,7.07,220.27K,-1.26%
"Sep 06, 1995",6.98,7.12,7.12,6.94,195.55K,-1.27%
"Sep 07, 1995",6.98,6.98,7.12,6.94,573.16K,0.00%
"Sep 08, 1995",7.03,7.07,7.16,6.98,211.28K,0.72%
"Sep 11, 1995",6.94,7.03,7.16,6.94,658.57K,-1.28%
"Sep 12, 1995",7.12,7.03,7.12,7.03,175.32K,2.59%
"Sep 13, 1995",6.94,7.03,7.07,6.94,413.57K,-2.53%
"Sep 14, 1995",7.07,6.9,7.07,6.85,240.50K,1.87%
"Sep 15, 1995",6.9,6.67,7.07,6.67,346.14K,-2.40%
"Sep 18, 1995",6.85,6.98,7.03,6.85,386.60K,-0.72%
"Sep 19, 1995",6.63,6.85,6.9,6.58,431.55K,-3.21%
"Sep 20, 1995",6.45,6.67,6.72,6.36,507.98K,-2.71%
"Sep 21, 1995",6.45,6.54,6.54,6.32,276.46K,0.00%
"Sep 22, 1995",6.41,6.45,6.45,6.32,379.86K,-0.62%
"Sep 25, 1995",6.41,6.45,6.45,6.23,959.76K,0.00%
"Sep 26, 1995",6.45,6.45,6.67,6.41,777.70K,0.62%
"Sep 27, 1995",6.67,6.45,6.67,6.41,406.83K,3.41%
"Sep 28, 1995",6.72,6.54,6.76,6.54,298.94K,0.75%
"Sep 29, 1995",6.76,6.67,6.9,6.67,191.05K,0.60%
"Oct 04, 1995",6.9,6.81,6.9,6.76,-,2.07%
"Oct 05, 1995",6.81,6.9,7.03,6.63,-,-1.30%
"Oct 06, 1995",7.07,6.98,7.12,6.76,-,3.82%
"Oct 09, 1995",7.7,7.34,8.01,7.25,-,8.91%
"Oct 10, 1995",7.7,7.56,7.79,7.52,-,0.00%
"Oct 11, 1995",7.56,7.65,7.65,7.39,-,-1.82%
"Oct 12, 1995",7.52,7.7,7.7,7.47,-,-0.53%
"Oct 13, 1995",7.39,7.34,7.56,7.3,-,-1.73%
"Oct 16, 1995",7.25,7.3,7.39,7.25,-,-1.89%
"Oct 17, 1995",7.16,7.25,7.34,7.12,-,-1.24%
"Oct 18, 1995",7.03,7.16,7.16,6.9,-,-1.82%
"Oct 19, 1995",6.76,7.03,7.03,6.72,-,-3.84%
"Oct 20, 1995",6.76,6.81,6.85,6.67,-,0.00%
"Oct 23, 1995",6.85,6.76,7.03,6.76,-,1.33%
"Oct 26, 1995",6.72,6.85,6.9,6.72,-,-1.90%
"Oct 27, 1995",6.72,6.67,6.72,6.67,-,0.00%
"Oct 30, 1995",6.76,6.76,6.85,6.72,-,0.60%
"Oct 31, 1995",6.76,6.76,6.76,6.67,-,0.00%
"Nov 01, 1995",6.63,6.67,6.67,6.58,-,-1.92%
"Nov 02, 1995",6.67,6.63,6.67,6.58,-,0.60%
"Nov 03, 1995",6.63,6.58,6.63,6.58,-,-0.60%
"Nov 06, 1995",6.58,6.67,6.67,6.5,-,-0.75%
"Nov 08, 1995",6.54,6.58,6.58,6.45,-,-0.61%
"Nov 09, 1995",6.36,6.45,6.45,6.32,-,-2.75%
"Nov 10, 1995",6.23,6.36,6.36,6.23,-,-2.04%
"Nov 13, 1995",6.14,6.14,6.27,6.05,-,-1.44%
"Nov 14, 1995",5.69,6.1,6.1,5.56,-,-7.33%
"Nov 15, 1995",5.47,5.74,5.83,5.43,-,-3.87%
"Nov 16, 1995",5.34,5.52,5.56,5.25,-,-2.38%
"Nov 17, 1995",4.94,5.25,5.34,4.36,-,-7.49%
"Nov 20, 1995",4.58,4.72,4.98,4.58,-,-7.29%
"Nov 21, 1995",5.03,4.67,5.07,4.58,-,9.83%
"Nov 22, 1995",4.89,4.89,5.03,4.72,-,-2.78%
"Nov 23, 1995",4.94,4.8,4.98,4.76,-,1.02%
"Nov 24, 1995",5.21,4.72,5.25,4.72,-,5.47%
"Nov 27, 1995",5.25,5.34,5.52,5.16,-,0.77%
"Nov 28, 1995",5.29,5.12,5.34,4.94,-,0.76%
"Nov 29, 1995",4.98,5.12,5.25,4.89,-,-5.86%
"Nov 30, 1995",5.07,5.21,5.21,4.94,-,1.81%
"Dec 01, 1995",5.16,5.07,5.43,4.98,-,1.78%
"Dec 04, 1995",5.25,5.16,5.34,5.12,-,1.74%
"Dec 05, 1995",5.34,5.16,5.34,5.16,-,1.71%
"Dec 06, 1995",5.56,5.34,5.65,5.29,-,4.12%
"Dec 07, 1995",5.51,5.67,5.95,5.45,-,-0.90%
"Dec 08, 1995",5.34,5.56,5.67,5.28,-,-3.09%
"Dec 11, 1995",5.38,5.29,5.43,5.21,-,0.75%
"Dec 12, 1995",5.23,5.45,5.56,5.17,-,-2.79%
"Dec 13, 1995",5.28,5.28,5.34,5.23,-,0.96%
"Dec 14, 1995",5.34,5.29,5.38,5.29,-,1.14%
"Dec 15, 1995",5.25,5.25,5.29,5.21,-,-1.69%
"Dec 18, 1995",5.21,5.25,5.29,5.12,-,-0.76%
"Dec 19, 1995",5.12,5.16,5.21,5.07,-,-1.73%
"Dec 20, 1995",5.12,5.12,5.12,5.07,-,0.00%
"Dec 22, 1995",5.29,5.34,5.34,5.21,-,3.32%
"Jan 01, 1996",5.25,5.34,5.47,5.21,-,-0.76%
"Jan 02, 1996",5.16,5.29,5.29,5.12,-,-1.71%
"Jan 03, 1996",5.21,5.16,5.29,5.12,-,0.97%
"Jan 04, 1996",4.98,5.12,5.12,4.94,-,-4.41%
"Jan 05, 1996",4.8,4.89,4.98,4.67,-,-3.61%
"Jan 08, 1996",4.76,4.89,4.89,4.67,-,-0.83%
"Jan 09, 1996",4.54,4.72,4.72,4.36,-,-4.62%
"Jan 10, 1996",4.54,4.58,4.67,4.45,-,0.00%
"Jan 11, 1996",4.45,4.54,4.67,4.36,-,-1.98%
"Jan 12, 1996",4.45,4.49,4.54,4.45,-,0.00%
"Jan 15, 1996",4.49,4.49,4.54,4.45,-,0.90%
"Jan 16, 1996",4.49,4.45,4.54,4.45,-,0.00%
"Jan 17, 1996",4.45,4.54,4.58,4.45,-,-0.89%
"Jan 18, 1996",4.23,4.45,4.45,4.18,-,-4.94%
"Jan 19, 1996",4.05,4.14,4.23,3.96,-,-4.26%
"Jan 22, 1996",3.96,4.05,4.09,3.87,-,-2.22%
"Jan 23, 1996",3.92,3.92,4,3.87,-,-1.01%
"Jan 24, 1996",3.87,3.92,3.92,3.83,-,-1.28%
"Jan 25, 1996",3.87,3.87,3.92,3.83,-,0.00%
"Jan 29, 1996",3.92,3.87,3.92,3.78,-,1.29%
"Jan 30, 1996",4,3.96,4.09,3.92,-,2.04%
"Jan 31, 1996",4.27,4.05,4.36,4.05,-,6.75%
"Feb 01, 1996",4.54,4.23,4.58,4.23,-,6.32%
"Feb 02, 1996",4.76,4.63,5.07,4.63,-,4.85%
"Feb 05, 1996",5.25,5.12,5.52,5.03,-,10.29%
"Feb 06, 1996",5.43,5.34,5.52,5.25,-,3.43%
"Feb 07, 1996",4.67,5.34,5.34,4.63,-,-14.00%
"Feb 08, 1996",5.21,4.72,5.25,4.72,-,11.56%
"Feb 09, 1996",5.38,5.21,5.47,5.21,-,3.26%
"Feb 12, 1996",5.45,5.45,5.51,5.34,-,1.30%
"Feb 13, 1996",5.67,5.34,5.67,5.34,-,4.04%
"Feb 14, 1996",5.95,5.62,6.01,5.62,-,4.94%
"Feb 15, 1996",5.73,5.78,5.84,5.67,-,-3.70%
"Feb 16, 1996",5.78,5.67,5.89,5.56,-,0.87%
"Feb 19, 1996",5.78,5.73,5.78,5.67,-,0.00%
"Feb 20, 1996",5.73,5.73,5.84,5.67,-,-0.87%
"Feb 22, 1996",5.78,5.78,5.84,5.78,-,0.87%
"Feb 23, 1996",5.73,5.78,5.89,5.67,-,-0.87%
"Feb 26, 1996",5.78,5.78,5.89,5.78,-,0.87%
"Feb 27, 1996",5.67,5.84,5.84,5.67,-,-1.90%
"Feb 28, 1996",5.51,5.67,5.73,5.39,-,-2.82%
"Feb 29, 1996",5.12,5.45,5.45,5.12,-,-7.08%
"Mar 01, 1996",4.94,5.12,5.16,4.89,-,-3.52%
"Mar 04, 1996",5.07,5.03,5.12,4.94,-,2.63%
"Mar 06, 1996",5.12,5.12,5.12,4.98,-,0.99%
"Mar 07, 1996",5.12,5.12,5.16,5.12,-,0.00%
"Mar 08, 1996",5.03,5.07,5.12,4.94,-,-1.76%
"Mar 11, 1996",4.8,4.94,5.03,4.8,-,-4.57%
"Mar 12, 1996",4.76,4.76,4.85,4.67,-,-0.83%
"Mar 13, 1996",4.8,4.72,4.8,4.72,-,0.84%
"Mar 14, 1996",4.85,4.85,4.89,4.76,-,1.04%
"Mar 15, 1996",4.67,4.8,4.8,4.67,-,-3.71%
