Date,Price,Open,High,Low,Vol.,Change %
"May 05, 1995",41.07,41.45,41.65,40.87,-,1.94%
"May 08, 1995",41.07,40.29,41.26,40.29,-,0.00%
"May 09, 1995",40.91,41.07,41.76,40.76,-,-0.39%
"May 10, 1995",40.29,41.07,41.07,40.14,-,-1.52%
"May 12, 1995",40.29,39.28,40.29,39.28,-,0.00%
"May 15, 1995",39.67,39.98,40.29,39.59,-,-1.54%
"May 16, 1995",39.59,39.67,39.67,39.13,-,-0.20%
"May 17, 1995",40.6,39.83,40.76,39.83,-,2.55%
"May 18, 1995",40.68,41.22,41.53,40.29,-,0.20%
"May 19, 1995",41.3,41.22,41.69,41.07,-,1.52%
"May 22, 1995",40.99,40.76,42,40.52,-,-0.75%
"May 23, 1995",40.6,40.6,40.91,40.52,-,-0.95%
"May 24, 1995",40.91,40.91,41.14,40.68,-,0.76%
"May 25, 1995",39.83,40.6,40.6,39.52,-,-2.64%
"May 26, 1995",40.52,40.29,41.76,40.29,-,1.73%
"May 29, 1995",40.91,40.45,41.22,40.45,-,0.96%
"May 30, 1995",40.76,40.83,41.07,40.52,-,-0.37%
"May 31, 1995",41.53,41.38,41.69,40.45,-,1.89%
"Jun 01, 1995",42,41.84,42.38,41.84,-,1.13%
"Jun 02, 1995",41.07,41.69,42.31,41.07,-,-2.21%
"Jun 05, 1995",41.45,41.53,41.61,41.07,-,0.93%
"Jun 06, 1995",42,41.53,42.07,41.45,-,1.33%
"Jun 07, 1995",41.84,42.15,42.38,41.69,-,-0.38%
"Jun 08, 1995",41.38,41.69,41.69,41.22,-,-1.10%
"Jun 09, 1995",41.07,41.3,41.3,40.91,-,-0.75%
"Jun 12, 1995",40.76,41.22,41.22,40.37,-,-0.75%
"Jun 13, 1995",40.68,40.68,40.76,40.21,-,-0.20%
"Jun 14, 1995",41.84,41.84,42.46,41.69,-,2.85%
"Jun 15, 1995",41.61,41.84,41.92,41.22,-,-0.55%
"Jun 16, 1995",41.92,42.07,42.31,41.69,-,0.75%
"Jun 19, 1995",41.84,41.84,42.15,41.76,-,-0.19%
"Jun 20, 1995",42.07,41.76,42.31,41.69,-,0.55%
"Jun 21, 1995",42.15,42.23,42.54,42.15,-,0.19%
"Jun 22, 1995",42.07,42.15,42.15,41.84,-,-0.19%
"Jun 23, 1995",41.69,42,42.15,41.61,-,-0.90%
"Jun 26, 1995",41.3,41.07,41.45,40.76,-,-0.94%
"Jun 27, 1995",41.22,41.07,41.53,40.83,-,-0.19%
"Jun 28, 1995",41.14,41.22,41.3,40.76,-,-0.19%
"Jun 29, 1995",41.07,41.22,41.45,41.07,-,-0.17%
"Jun 30, 1995",40.68,41.14,41.14,40.29,-,-0.95%
"Jul 03, 1995",39.98,40.45,40.45,39.9,-,-1.72%
"Jul 04, 1995",39.83,39.52,39.9,39.13,-,-0.38%
"Jul 05, 1995",39.83,39.98,40.6,39.59,-,0.00%
"Jul 06, 1995",39.98,39.75,40.06,39.28,-,0.38%
"Jul 07, 1995",40.37,40.14,40.45,40.06,-,0.98%
"Jul 10, 1995",40.83,40.45,41.22,40.29,-,1.14%
"Jul 11, 1995",41.53,40.91,41.69,40.6,-,1.71%
"Jul 12, 1995",40.91,41.38,41.53,40.83,-,-1.49%
"Jul 13, 1995",40.76,41.07,41.07,40.68,-,-0.37%
"Jul 14, 1995",40.83,40.6,40.99,40.6,329.85K,0.17%
"Jul 17, 1995",41.38,41.07,41.45,40.91,330.30K,1.35%
"Jul 18, 1995",41.07,41.69,41.69,40.83,432.00K,-0.75%
"Jul 19, 1995",41.38,40.91,41.45,40.91,619.65K,0.75%
"Jul 20, 1995",41.76,41.53,42,41.53,458.10K,0.92%
"Jul 21, 1995",41.53,41.61,41.69,41.38,266.85K,-0.55%
"Jul 25, 1995",44.16,41.53,44.16,41.53,1.19M,6.33%
"Jul 26, 1995",44.01,44.63,45.25,43.85,1.33M,-0.34%
"Jul 27, 1995",43.93,44.16,44.24,43.39,880.20K,-0.18%
"Jul 28, 1995",42.07,42.61,42.77,41.53,1.67M,-4.23%
"Jul 31, 1995",41.84,41.84,41.92,41.07,291.60K,-0.55%
"Aug 01, 1995",41.3,41.22,41.84,41.14,166.50K,-1.29%
"Aug 02, 1995",41.76,41.76,42.07,41.45,296.10K,1.11%
"Aug 03, 1995",41.07,41.22,42.31,40.6,337.95K,-1.65%
"Aug 04, 1995",41.22,40.91,41.38,40.52,452.70K,0.37%
"Aug 07, 1995",41.14,41.38,41.69,41.07,422.55K,-0.19%
"Aug 08, 1995",40.91,40.76,41.07,40.68,454.95K,-0.56%
"Aug 09, 1995",41.07,41.3,41.45,40.91,174.15K,0.39%
"Aug 11, 1995",40.76,40.91,40.91,40.68,203.40K,-0.75%
"Aug 14, 1995",41.22,40.6,41.22,40.45,336.60K,1.13%
"Aug 16, 1995",41.53,41.14,41.61,41.14,1.14M,0.75%
"Aug 17, 1995",41.84,41.69,41.92,41.53,664.20K,0.75%
"Aug 21, 1995",41.92,42,42.15,41.84,1.17M,0.19%
"Aug 22, 1995",42.31,41.53,42.46,41.53,558.90K,0.93%
"Aug 24, 1995",41.69,42.07,42.38,41.61,249.30K,-1.47%
"Aug 25, 1995",41.22,41.53,41.53,41.07,299.25K,-1.13%
"Aug 28, 1995",41.14,41.22,41.22,40.76,365.85K,-0.19%
"Aug 31, 1995",41.38,40.83,41.38,40.83,535.05K,0.58%
"Sep 01, 1995",41.53,41.07,41.69,40.99,343.35K,0.36%
"Sep 04, 1995",41.45,41.84,41.84,41.07,402.30K,-0.19%
"Sep 05, 1995",41.38,41.22,41.38,40.83,459.45K,-0.17%
"Sep 06, 1995",41.69,41.22,41.69,40.6,500.40K,0.75%
"Sep 07, 1995",41.45,41.92,42.31,41.38,314.55K,-0.58%
"Sep 08, 1995",41.45,41.3,41.45,41.14,75.15K,0.00%
"Sep 11, 1995",41.3,41.45,41.61,41.3,115.65K,-0.36%
"Sep 12, 1995",41.38,41.22,41.45,41.07,362.25K,0.19%
"Sep 13, 1995",41.07,41.07,41.22,40.83,189.90K,-0.75%
"Sep 14, 1995",40.91,41.07,41.22,40.91,205.20K,-0.39%
"Sep 15, 1995",41.22,41.07,41.38,40.99,392.85K,0.76%
"Sep 18, 1995",41.53,41.07,41.69,40.99,435.15K,0.75%
"Sep 19, 1995",42.23,41.3,42.38,41.3,619.20K,1.69%
"Sep 20, 1995",43.23,42.31,43.62,42.15,2.17M,2.37%
"Sep 21, 1995",43.47,43.08,43.54,43,1.15M,0.56%
"Sep 22, 1995",43.54,43.7,44.16,43.39,1.16M,0.16%
"Sep 25, 1995",43.54,43.78,43.85,43.39,763.65K,0.00%
"Sep 26, 1995",43.85,43.54,44.01,43.47,609.30K,0.71%
"Sep 27, 1995",42.92,43.39,43.54,42.92,324.90K,-2.12%
"Sep 28, 1995",43.08,42.77,43.23,42.77,401.85K,0.37%
"Sep 29, 1995",43.39,43.23,43.78,43.08,680.85K,0.72%
"Oct 04, 1995",43.78,43.7,43.93,43.39,-,0.90%
"Oct 05, 1995",44.71,44.47,45.17,43.85,-,2.12%
"Oct 06, 1995",44.94,45.09,45.56,44.55,-,0.51%
"Oct 09, 1995",45.02,44.94,45.17,44.63,-,0.18%
"Oct 10, 1995",44.55,44.94,44.94,44.47,-,-1.04%
"Oct 11, 1995",44.47,44.4,44.55,44.16,-,-0.18%
"Oct 12, 1995",44.32,44.47,44.63,44.32,-,-0.34%
"Oct 13, 1995",45.56,44.16,45.56,44.09,-,2.80%
"Oct 16, 1995",45.79,45.56,46.33,45.25,-,0.50%
"Oct 17, 1995",44.78,46.18,46.26,44.47,-,-2.21%
"Oct 18, 1995",44.63,45.71,46.1,43.39,-,-0.33%
"Oct 19, 1995",44.4,44.32,44.71,44.16,-,-0.52%
"Oct 20, 1995",44.01,44.4,44.47,43.78,-,-0.88%
"Oct 23, 1995",43.16,44.16,44.24,42.92,-,-1.93%
"Oct 26, 1995",41.76,42.92,43.23,41.45,-,-3.24%
"Oct 27, 1995",42.61,41.45,42.61,41.45,-,2.04%
"Oct 30, 1995",42.23,42.61,42.92,42.15,-,-0.89%
"Oct 31, 1995",42,41.84,42.46,41.84,-,-0.54%
"Nov 01, 1995",43.39,41.92,43.54,41.92,-,3.31%
"Nov 02, 1995",43.08,43.54,43.85,42.85,-,-0.71%
"Nov 03, 1995",43.16,42.77,43.39,42.38,-,0.19%
"Nov 06, 1995",43.08,43.23,43.7,42.85,-,-0.19%
"Nov 08, 1995",42.07,42.38,42.61,41.84,-,-2.34%
"Nov 09, 1995",41.76,41.45,42,41.07,-,-0.74%
"Nov 10, 1995",41.53,41.38,41.61,41.38,-,-0.55%
"Nov 13, 1995",40.45,41.53,41.76,40.21,-,-2.60%
"Nov 14, 1995",39.36,40.52,40.52,38.43,-,-2.69%
"Nov 15, 1995",39.75,39.21,39.98,38.97,-,0.99%
"Nov 16, 1995",38.43,40.29,40.29,38.28,-,-3.32%
"Nov 17, 1995",38.43,37.97,38.51,37.19,-,0.00%
"Nov 20, 1995",38.9,38.74,39.13,38.43,-,1.22%
"Nov 21, 1995",38.66,38.82,39.36,38.43,-,-0.62%
"Nov 22, 1995",37.66,37.81,38.35,37.35,-,-2.59%
"Nov 23, 1995",36.73,37.04,37.5,36.57,-,-2.47%
"Nov 24, 1995",38.12,37.19,38.12,36.96,-,3.78%
"Nov 27, 1995",37.42,38.12,38.28,37.04,-,-1.84%
"Nov 28, 1995",36.57,36.73,37.19,35.8,-,-2.27%
"Nov 29, 1995",35.72,35.64,36.42,34.87,-,-2.32%
"Nov 30, 1995",36.65,35.41,36.96,35.41,-,2.60%
"Dec 01, 1995",36.49,37.19,38.12,36.49,-,-0.44%
"Dec 04, 1995",36.8,36.88,37.04,36.57,-,0.85%
"Dec 05, 1995",36.42,36.65,37.04,36.42,-,-1.03%
"Dec 06, 1995",37.58,36.88,37.73,36.73,-,3.19%
"Dec 07, 1995",38.12,37.97,38.43,37.73,-,1.44%
"Dec 08, 1995",37.89,38.12,38.43,37.58,-,-0.60%
"Dec 11, 1995",37.42,37.81,37.81,36.88,-,-1.24%
"Dec 12, 1995",37.42,37.35,38.59,37.04,-,0.00%
"Dec 13, 1995",38.04,37.58,38.12,37.58,-,1.66%
"Dec 14, 1995",38.59,38.04,38.82,37.97,-,1.45%
"Dec 15, 1995",38.51,38.43,38.59,37.89,-,-0.21%
"Dec 18, 1995",38.59,38.43,38.74,38.35,-,0.21%
"Dec 19, 1995",39.05,38.59,39.52,38.43,-,1.19%
"Dec 20, 1995",39.13,38.97,39.36,38.9,-,0.20%
"Dec 21, 1995",39.98,39.36,40.14,39.28,-,2.17%
"Dec 22, 1995",39.98,40.29,40.6,39.67,-,0.00%
"Jan 01, 1996",40.76,40.45,40.83,40.29,-,1.95%
"Jan 02, 1996",40.52,40.83,41.07,40.45,-,-0.59%
"Jan 03, 1996",40.21,40.45,40.83,40.21,-,-0.77%
"Jan 04, 1996",40.21,40.06,40.21,39.44,-,0.00%
