"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 03, 1995","5.86","5.86","6.02","5.71","-","-1.35%"
"Jan 04, 1995","5.86","5.71","6.02","5.55","-","0.00%"
"Jan 05, 1995","5.86","5.55","5.86","5.55","-","0.00%"
"Jan 06, 1995","5.71","5.55","5.71","5.55","-","-2.56%"
"Jan 09, 1995","5.55","5.55","5.55","5.40","-","-2.80%"
"Jan 10, 1995","5.25","5.09","5.25","5.09","-","-5.41%"
"Jan 11, 1995","5.06","5.25","5.25","4.78","-","-3.62%"
"Jan 12, 1995","5.09","4.94","5.09","4.94","-","0.59%"
"Jan 13, 1995","5.09","4.94","5.09","4.94","-","0.00%"
"Jan 16, 1995","5.09","4.94","5.25","4.94","-","0.00%"
"Jan 17, 1995","5.17","5.01","5.17","5.01","-","1.57%"
"Jan 18, 1995","5.17","5.01","5.17","5.01","-","0.00%"
"Jan 19, 1995","5.09","5.17","5.25","5.09","-","-1.55%"
"Jan 20, 1995","5.17","5.01","5.25","5.01","-","1.57%"
"Jan 23, 1995","4.94","5.17","5.17","4.94","-","-4.45%"
"Jan 24, 1995","4.94","4.78","5.01","4.78","-","0.00%"
"Jan 25, 1995","4.94","4.63","4.94","4.63","-","0.00%"
"Jan 27, 1995","4.78","4.71","4.86","4.63","-","-3.24%"
"Jan 30, 1995","4.86","4.63","4.86","4.63","-","1.67%"
"Jan 31, 1995","4.94","4.78","4.94","4.78","-","1.65%"
"Feb 01, 1995","4.94","4.78","5.09","4.78","-","0.00%"
"Feb 02, 1995","4.63","4.78","4.86","4.63","-","-6.28%"
"Feb 03, 1995","4.94","4.71","4.94","4.71","-","6.70%"
"Feb 06, 1995","4.63","4.71","4.86","4.63","-","-6.28%"
"Feb 07, 1995","4.78","4.63","4.78","4.63","-","3.24%"
"Feb 08, 1995","4.63","4.71","4.86","4.63","-","-3.14%"
"Feb 09, 1995","4.63","4.55","4.71","4.47","-","0.00%"
"Feb 10, 1995","4.47","4.55","4.71","4.47","-","-3.46%"
"Feb 13, 1995","4.40","4.63","4.63","4.40","-","-1.57%"
"Feb 14, 1995","4.55","4.32","4.55","4.32","-","3.41%"
"Feb 15, 1995","4.47","4.32","4.47","4.17","-","-1.76%"
"Feb 16, 1995","4.32","4.32","4.47","4.01","-","-3.36%"
"Feb 17, 1995","4.17","4.40","4.40","4.17","-","-3.47%"
"Feb 20, 1995","3.93","4.01","4.01","3.93","-","-5.76%"
"Feb 21, 1995","4.01","3.70","4.01","3.70","-","2.04%"
"Feb 22, 1995","3.78","3.55","4.01","3.55","-","-5.74%"
"Feb 23, 1995","4.01","3.86","4.01","3.86","-","6.08%"
"Feb 24, 1995","4.63","4.32","4.94","4.32","-","15.46%"
"Feb 28, 1995","4.47","4.63","4.78","4.47","-","-3.46%"
"Mar 01, 1995","4.63","4.47","4.63","4.47","-","3.58%"
"Mar 02, 1995","4.63","4.63","4.63","4.40","-","0.00%"
"Mar 03, 1995","4.63","4.63","4.78","4.47","-","0.00%"
"Mar 06, 1995","4.63","4.47","4.78","4.47","-","0.00%"
"Mar 07, 1995","4.71","4.55","4.71","4.47","-","1.73%"
"Mar 08, 1995","4.47","4.32","4.47","4.32","-","-5.10%"
"Mar 09, 1995","4.47","4.44","4.47","4.32","-","0.00%"
"Mar 10, 1995","4.47","4.71","4.71","4.47","-","0.00%"
"Mar 13, 1995","4.55","4.47","4.55","4.32","-","1.79%"
"Mar 14, 1995","4.40","4.40","4.47","4.17","-","-3.30%"
"Mar 15, 1995","4.47","4.32","4.47","4.32","-","1.59%"
"Mar 16, 1995","4.47","4.40","4.63","4.32","-","0.00%"
"Mar 23, 1995","4.44","4.24","4.44","4.24","-","-0.67%"
"Mar 24, 1995","4.40","4.32","4.40","4.24","-","-0.90%"
"Mar 27, 1995","4.32","4.17","4.32","4.17","-","-1.82%"
"Mar 28, 1995","4.01","4.17","4.26","4.01","-","-7.18%"
"Mar 29, 1995","4.01","4.17","4.17","3.70","-","0.00%"
"Mar 30, 1995","3.86","3.78","4.01","3.70","-","-3.74%"
"Mar 31, 1995","3.55","3.86","3.86","3.55","-","-8.03%"
"Apr 03, 1995","3.58","3.55","3.78","3.55","-","0.85%"
"Apr 04, 1995","3.78","3.63","3.86","3.63","-","5.59%"
"Apr 05, 1995","3.86","3.70","4.17","3.70","-","2.12%"
"Apr 06, 1995","3.86","3.70","4.01","3.70","-","0.00%"
"Apr 07, 1995","4.01","3.86","4.01","3.86","-","3.89%"
"Apr 10, 1995","4.01","3.86","4.01","3.83","-","0.00%"
"Apr 17, 1995","3.95","3.83","3.95","3.83","-","-1.50%"
"Apr 18, 1995","3.89","3.76","3.89","3.76","-","-1.52%"
"Apr 19, 1995","3.78","3.78","3.89","3.70","-","-2.83%"
"Apr 20, 1995","3.86","3.70","3.86","3.70","-","2.12%"
"Apr 21, 1995","3.78","3.63","3.78","3.63","-","-2.07%"
"Apr 24, 1995","3.70","3.55","3.76","3.55","-","-2.12%"
"Apr 25, 1995","3.55","3.70","3.70","3.47","-","-4.05%"
"Apr 26, 1995","3.24","3.47","3.47","3.24","-","-8.73%"
"Apr 27, 1995","3.24","3.32","3.32","3.16","-","0.00%"
"Apr 28, 1995","3.24","3.16","3.39","3.09","-","0.00%"
"May 02, 1995","3.24","3.09","3.32","3.09","-","0.00%"
"May 03, 1995","3.24","3.09","3.24","3.09","-","0.00%"
"May 04, 1995","3.32","3.16","3.32","3.16","-","2.47%"
"May 05, 1995","3.32","3.16","3.39","3.16","-","0.00%"
"May 08, 1995","3.32","3.16","3.39","3.16","-","0.00%"
"May 09, 1995","3.47","3.21","3.47","3.21","-","4.52%"
"May 10, 1995","3.55","3.39","3.55","3.39","-","2.31%"
"May 12, 1995","3.47","3.39","3.47","3.32","-","-2.25%"
"May 15, 1995","3.46","3.46","3.52","3.39","-","-0.29%"
"May 16, 1995","3.39","3.52","3.52","3.39","-","-2.02%"
"May 17, 1995","3.39","3.39","3.52","3.33","-","0.00%"
"May 18, 1995","3.39","3.33","3.39","3.33","-","0.00%"
"May 19, 1995","3.46","3.39","3.52","3.39","-","2.06%"
"May 22, 1995","3.58","3.46","3.58","3.46","-","3.47%"
"May 23, 1995","3.58","3.52","3.58","3.46","-","0.00%"
"May 24, 1995","3.58","3.52","3.58","3.39","-","0.00%"
"May 25, 1995","3.55","3.39","3.55","3.39","-","-0.84%"
"May 26, 1995","3.58","3.46","3.58","3.39","-","0.85%"
"May 29, 1995","3.55","3.46","3.58","3.39","-","-0.84%"
"May 30, 1995","3.46","3.46","3.58","3.46","-","-2.54%"
"May 31, 1995","3.58","3.46","3.63","3.39","-","3.47%"
"Jun 01, 1995","3.58","3.46","3.58","3.46","-","0.00%"
"Jun 02, 1995","3.64","3.52","3.64","3.52","-","1.68%"
"Jun 05, 1995","3.58","3.58","3.70","3.46","-","-1.65%"
"Jun 06, 1995","3.58","3.58","3.64","3.58","-","0.00%"
"Jun 07, 1995","3.58","3.58","3.64","3.52","-","0.00%"
"Jun 08, 1995","3.52","3.58","3.64","3.46","-","-1.68%"
"Jun 09, 1995","3.58","3.52","3.58","3.46","-","1.70%"
"Jun 12, 1995","3.33","3.46","3.52","3.33","-","-6.98%"
"Jun 13, 1995","3.39","3.46","3.46","3.33","-","1.80%"
"Jun 14, 1995","3.09","3.39","3.46","3.02","-","-8.85%"
"Jun 15, 1995","3.15","3.15","3.27","3.15","-","1.94%"
"Jun 16, 1995","3.33","3.27","3.52","3.15","-","5.71%"
"Jun 19, 1995","3.21","3.21","3.33","3.21","-","-3.60%"
"Jun 20, 1995","3.21","3.21","3.30","3.21","-","0.00%"
"Jun 21, 1995","3.24","3.24","3.30","3.21","-","0.93%"
"Jun 22, 1995","3.21","3.24","3.24","3.18","-","-0.93%"
"Jun 23, 1995","3.09","3.21","3.24","3.05","-","-3.74%"
"Jun 26, 1995","2.99","3.02","3.12","2.84","-","-3.24%"
"Jun 27, 1995","2.96","2.96","2.99","2.56","-","-1.00%"
"Jun 28, 1995","3.02","3.09","3.09","2.90","-","2.03%"
"Jun 29, 1995","3.02","2.96","3.05","2.87","-","0.00%"
"Jun 30, 1995","3.02","3.09","3.09","2.93","-","0.00%"
"Jul 03, 1995","2.84","2.84","2.87","2.75","-","-5.96%"
"Jul 04, 1995","2.76","2.78","2.81","2.72","-","-2.82%"
"Jul 05, 1995","2.78","2.84","2.84","2.72","-","0.72%"
"Jul 06, 1995","2.76","2.84","2.84","2.72","-","-0.72%"
"Jul 07, 1995","2.79","2.90","2.90","2.76","-","1.09%"
"Jul 10, 1995","2.87","3.09","3.09","2.78","-","2.87%"
"Jul 11, 1995","2.92","2.90","2.92","2.84","-","1.74%"
"Jul 12, 1995","2.93","2.96","2.96","2.90","-","0.34%"
"Jul 14, 1995","3.55","3.09","3.69","3.02","56.00K","21.16%"
"Jul 17, 1995","3.52","3.58","3.70","3.52","69.00K","-0.85%"
"Jul 18, 1995","3.56","3.58","3.70","3.50","112.00K","1.14%"
"Jul 19, 1995","3.39","3.46","3.46","3.33","67.00K","-4.78%"
"Jul 20, 1995","3.42","3.70","3.70","3.39","68.00K","0.88%"
"Jul 21, 1995","3.42","3.39","3.42","3.39","76.00K","0.00%"
"Jul 25, 1995","3.42","3.52","3.52","3.39","49.00K","0.00%"
"Jul 26, 1995","3.39","3.39","3.70","3.39","48.00K","-0.88%"
"Jul 27, 1995","3.27","3.27","3.39","3.21","98.00K","-3.54%"
"Jul 28, 1995","3.15","3.21","3.27","3.09","59.00K","-3.67%"
"Jul 31, 1995","3.05","3.09","3.15","2.96","25.00K","-3.17%"
"Aug 01, 1995","3.05","3.02","3.09","3.02","15.00K","0.00%"
"Aug 02, 1995","3.05","3.12","3.12","3.02","23.00K","0.00%"
"Aug 03, 1995","3.05","3.05","3.09","3.05","21.00K","0.00%"
"Aug 04, 1995","3.02","3.09","3.09","2.99","46.00K","-0.98%"
"Aug 07, 1995","3.01","2.99","3.09","2.99","44.00K","-0.33%"
"Aug 08, 1995","2.98","2.96","3.01","2.96","33.00K","-1.00%"
"Aug 09, 1995","2.96","2.93","3.46","2.93","57.00K","-0.67%"
"Aug 11, 1995","2.92","2.96","2.99","2.87","39.00K","-1.35%"
"Aug 14, 1995","2.81","2.96","3.05","2.78","45.00K","-3.77%"
"Aug 16, 1995","2.88","2.84","2.90","2.81","58.00K","2.49%"
"Aug 17, 1995","2.82","2.84","2.87","2.81","41.00K","-2.08%"
"Aug 21, 1995","2.85","2.84","3.02","2.82","58.00K","1.06%"
"Aug 22, 1995","2.81","2.81","2.90","2.81","56.00K","-1.40%"
"Aug 24, 1995","2.79","2.78","2.84","2.78","75.00K","-0.71%"
"Aug 25, 1995","2.72","2.81","2.81","2.72","54.00K","-2.51%"
"Aug 28, 1995","2.78","2.84","2.84","2.72","6.00K","2.21%"
"Aug 31, 1995","2.58","2.75","2.75","2.53","48.00K","-7.19%"
"Sep 01, 1995","2.59","2.56","2.62","2.50","56.00K","0.39%"
"Sep 04, 1995","2.56","2.59","2.62","2.53","117.00K","-1.16%"
"Sep 05, 1995","2.56","2.65","2.65","2.53","42.00K","0.00%"
"Sep 06, 1995","2.55","2.53","2.58","2.53","71.00K","-0.39%"
"Sep 07, 1995","2.53","2.47","2.56","2.47","77.00K","-0.78%"
"Sep 08, 1995","2.51","2.47","2.56","2.47","105.00K","-0.79%"
"Sep 11, 1995","2.64","2.53","2.65","2.53","67.00K","5.18%"
"Sep 12, 1995","2.59","2.62","2.64","2.55","47.00K","-1.89%"
"Sep 13, 1995","2.55","2.59","2.59","2.53","51.00K","-1.54%"
"Sep 14, 1995","2.48","2.55","2.56","2.48","65.00K","-2.75%"
"Sep 15, 1995","2.55","2.47","2.55","2.47","37.00K","2.82%"
"Sep 18, 1995","2.53","2.47","2.53","2.47","43.00K","-0.78%"
"Sep 19, 1995","2.50","2.51","2.53","2.42","94.00K","-1.19%"
"Sep 20, 1995","2.50","2.47","2.53","2.47","68.00K","0.00%"
"Sep 21, 1995","2.53","2.47","2.53","2.42","50.00K","1.20%"
"Sep 22, 1995","2.48","2.53","2.53","2.47","32.00K","-1.98%"
