Date,Price,Open,High,Low,Vol.,Change %
"May 05, 1995",3.32,3.16,3.39,3.16,-,0.00%
"May 08, 1995",3.32,3.16,3.39,3.16,-,0.00%
"May 09, 1995",3.47,3.21,3.47,3.21,-,4.52%
"May 10, 1995",3.55,3.39,3.55,3.39,-,2.31%
"May 12, 1995",3.47,3.39,3.47,3.32,-,-2.25%
"May 15, 1995",3.46,3.46,3.52,3.39,-,-0.29%
"May 16, 1995",3.39,3.52,3.52,3.39,-,-2.02%
"May 17, 1995",3.39,3.39,3.52,3.33,-,0.00%
"May 18, 1995",3.39,3.33,3.39,3.33,-,0.00%
"May 19, 1995",3.46,3.39,3.52,3.39,-,2.06%
"May 22, 1995",3.58,3.46,3.58,3.46,-,3.47%
"May 23, 1995",3.58,3.52,3.58,3.46,-,0.00%
"May 24, 1995",3.58,3.52,3.58,3.39,-,0.00%
"May 25, 1995",3.55,3.39,3.55,3.39,-,-0.84%
"May 26, 1995",3.58,3.46,3.58,3.39,-,0.85%
"May 29, 1995",3.55,3.46,3.58,3.39,-,-0.84%
"May 30, 1995",3.46,3.46,3.58,3.46,-,-2.54%
"May 31, 1995",3.58,3.46,3.63,3.39,-,3.47%
"Jun 01, 1995",3.58,3.46,3.58,3.46,-,0.00%
"Jun 02, 1995",3.64,3.52,3.64,3.52,-,1.68%
"Jun 05, 1995",3.58,3.58,3.7,3.46,-,-1.65%
"Jun 06, 1995",3.58,3.58,3.64,3.58,-,0.00%
"Jun 07, 1995",3.58,3.58,3.64,3.52,-,0.00%
"Jun 08, 1995",3.52,3.58,3.64,3.46,-,-1.68%
"Jun 09, 1995",3.58,3.52,3.58,3.46,-,1.70%
"Jun 12, 1995",3.33,3.46,3.52,3.33,-,-6.98%
"Jun 13, 1995",3.39,3.46,3.46,3.33,-,1.80%
"Jun 14, 1995",3.09,3.39,3.46,3.02,-,-8.85%
"Jun 15, 1995",3.15,3.15,3.27,3.15,-,1.94%
"Jun 16, 1995",3.33,3.27,3.52,3.15,-,5.71%
"Jun 19, 1995",3.21,3.21,3.33,3.21,-,-3.60%
"Jun 20, 1995",3.21,3.21,3.3,3.21,-,0.00%
"Jun 21, 1995",3.24,3.24,3.3,3.21,-,0.93%
"Jun 22, 1995",3.21,3.24,3.24,3.18,-,-0.93%
"Jun 23, 1995",3.09,3.21,3.24,3.05,-,-3.74%
"Jun 26, 1995",2.99,3.02,3.12,2.84,-,-3.24%
"Jun 27, 1995",2.96,2.96,2.99,2.56,-,-1.00%
"Jun 28, 1995",3.02,3.09,3.09,2.9,-,2.03%
"Jun 29, 1995",3.02,2.96,3.05,2.87,-,0.00%
"Jun 30, 1995",3.02,3.09,3.09,2.93,-,0.00%
"Jul 03, 1995",2.84,2.84,2.87,2.75,-,-5.96%
"Jul 04, 1995",2.76,2.78,2.81,2.72,-,-2.82%
"Jul 05, 1995",2.78,2.84,2.84,2.72,-,0.72%
"Jul 06, 1995",2.76,2.84,2.84,2.72,-,-0.72%
"Jul 07, 1995",2.79,2.9,2.9,2.76,-,1.09%
"Jul 10, 1995",2.87,3.09,3.09,2.78,-,2.87%
"Jul 11, 1995",2.92,2.9,2.92,2.84,-,1.74%
"Jul 12, 1995",2.93,2.96,2.96,2.9,-,0.34%
"Jul 14, 1995",3.55,3.09,3.69,3.02,56.00K,21.16%
"Jul 17, 1995",3.52,3.58,3.7,3.52,69.00K,-0.85%
"Jul 18, 1995",3.56,3.58,3.7,3.5,112.00K,1.14%
"Jul 19, 1995",3.39,3.46,3.46,3.33,67.00K,-4.78%
"Jul 20, 1995",3.42,3.7,3.7,3.39,68.00K,0.88%
"Jul 21, 1995",3.42,3.39,3.42,3.39,76.00K,0.00%
"Jul 25, 1995",3.42,3.52,3.52,3.39,49.00K,0.00%
"Jul 26, 1995",3.39,3.39,3.7,3.39,48.00K,-0.88%
"Jul 27, 1995",3.27,3.27,3.39,3.21,98.00K,-3.54%
"Jul 28, 1995",3.15,3.21,3.27,3.09,59.00K,-3.67%
"Jul 31, 1995",3.05,3.09,3.15,2.96,25.00K,-3.17%
"Aug 01, 1995",3.05,3.02,3.09,3.02,15.00K,0.00%
"Aug 02, 1995",3.05,3.12,3.12,3.02,23.00K,0.00%
"Aug 03, 1995",3.05,3.05,3.09,3.05,21.00K,0.00%
"Aug 04, 1995",3.02,3.09,3.09,2.99,46.00K,-0.98%
"Aug 07, 1995",3.01,2.99,3.09,2.99,44.00K,-0.33%
"Aug 08, 1995",2.98,2.96,3.01,2.96,33.00K,-1.00%
"Aug 09, 1995",2.96,2.93,3.46,2.93,57.00K,-0.67%
"Aug 11, 1995",2.92,2.96,2.99,2.87,39.00K,-1.35%
"Aug 14, 1995",2.81,2.96,3.05,2.78,45.00K,-3.77%
"Aug 16, 1995",2.88,2.84,2.9,2.81,58.00K,2.49%
"Aug 17, 1995",2.82,2.84,2.87,2.81,41.00K,-2.08%
"Aug 21, 1995",2.85,2.84,3.02,2.82,58.00K,1.06%
"Aug 22, 1995",2.81,2.81,2.9,2.81,56.00K,-1.40%
"Aug 24, 1995",2.79,2.78,2.84,2.78,75.00K,-0.71%
"Aug 25, 1995",2.72,2.81,2.81,2.72,54.00K,-2.51%
"Aug 28, 1995",2.78,2.84,2.84,2.72,6.00K,2.21%
"Aug 31, 1995",2.58,2.75,2.75,2.53,48.00K,-7.19%
"Sep 01, 1995",2.59,2.56,2.62,2.5,56.00K,0.39%
"Sep 04, 1995",2.56,2.59,2.62,2.53,117.00K,-1.16%
"Sep 05, 1995",2.56,2.65,2.65,2.53,42.00K,0.00%
"Sep 06, 1995",2.55,2.53,2.58,2.53,71.00K,-0.39%
"Sep 07, 1995",2.53,2.47,2.56,2.47,77.00K,-0.78%
"Sep 08, 1995",2.51,2.47,2.56,2.47,105.00K,-0.79%
"Sep 11, 1995",2.64,2.53,2.65,2.53,67.00K,5.18%
"Sep 12, 1995",2.59,2.62,2.64,2.55,47.00K,-1.89%
"Sep 13, 1995",2.55,2.59,2.59,2.53,51.00K,-1.54%
"Sep 14, 1995",2.48,2.55,2.56,2.48,65.00K,-2.75%
"Sep 15, 1995",2.55,2.47,2.55,2.47,37.00K,2.82%
"Sep 18, 1995",2.53,2.47,2.53,2.47,43.00K,-0.78%
"Sep 19, 1995",2.5,2.51,2.53,2.42,94.00K,-1.19%
"Sep 20, 1995",2.5,2.47,2.53,2.47,68.00K,0.00%
"Sep 21, 1995",2.53,2.47,2.53,2.42,50.00K,1.20%
"Sep 22, 1995",2.48,2.53,2.53,2.47,32.00K,-1.98%
"Sep 25, 1995",2.5,2.53,2.58,2.47,77.00K,0.81%
"Sep 26, 1995",2.5,2.47,2.56,2.47,154.00K,0.00%
"Sep 27, 1995",2.47,2.48,2.53,2.44,205.00K,-1.20%
"Sep 28, 1995",2.47,2.47,2.5,2.41,88.00K,0.00%
"Sep 29, 1995",2.45,2.47,2.5,2.44,42.00K,-0.81%
"Oct 16, 1995",2.3,2.31,2.34,2.25,-,-6.12%
"Oct 17, 1995",2.3,2.28,2.31,2.24,-,0.00%
"Oct 18, 1995",2.24,2.28,2.28,2.22,-,-2.61%
