Date,Price,Open,High,Low,Vol.,Change %
"May 05, 1995",1.64,1.64,1.64,1.64,-,3.80%
"May 08, 1995",1.64,1.64,1.69,1.64,-,0.00%
"May 09, 1995",1.69,1.64,1.71,1.64,-,3.05%
"May 10, 1995",1.76,1.77,1.78,1.68,-,4.14%
"May 12, 1995",1.75,1.75,1.75,1.75,-,-0.57%
"May 16, 1995",1.71,1.68,1.75,1.68,-,-2.29%
"May 17, 1995",1.69,1.68,1.71,1.68,-,-1.17%
"May 18, 1995",1.73,1.71,1.75,1.71,-,2.37%
"May 19, 1995",1.75,1.73,1.78,1.73,-,1.16%
"May 22, 1995",1.78,1.78,1.78,1.71,-,1.71%
"May 23, 1995",1.75,1.73,1.77,1.73,-,-1.69%
"May 24, 1995",1.74,1.73,1.76,1.73,-,-0.57%
"May 25, 1995",1.75,1.73,1.76,1.73,-,0.57%
"May 26, 1995",1.75,1.75,1.78,1.75,-,0.00%
"May 29, 1995",1.78,1.75,1.78,1.75,-,1.71%
"May 30, 1995",1.76,1.75,1.78,1.75,-,-1.12%
"May 31, 1995",1.81,1.8,1.81,1.77,-,2.84%
"Jun 01, 1995",1.81,1.81,1.85,1.81,-,0.00%
"Jun 02, 1995",1.79,1.83,1.85,1.79,-,-1.10%
"Jun 05, 1995",1.83,1.83,1.87,1.83,-,2.23%
"Jun 06, 1995",1.85,1.84,1.85,1.83,-,1.09%
"Jun 07, 1995",1.85,1.85,1.88,1.83,-,0.00%
"Jun 08, 1995",1.84,1.83,1.85,1.83,-,-0.54%
"Jun 09, 1995",1.84,1.84,1.84,1.83,-,0.00%
"Jun 12, 1995",1.83,1.83,1.84,1.83,-,-0.54%
"Jun 13, 1995",1.83,1.84,1.84,1.83,-,0.00%
"Jun 14, 1995",1.8,1.83,1.84,1.8,-,-1.64%
"Jun 15, 1995",1.83,1.83,1.83,1.81,-,1.67%
"Jun 16, 1995",1.83,1.83,1.84,1.81,-,0.00%
"Jun 19, 1995",1.87,1.89,1.89,1.85,-,2.19%
"Jun 20, 1995",1.85,1.88,1.88,1.81,-,-1.07%
"Jun 21, 1995",1.83,1.83,1.85,1.83,-,-1.08%
"Jun 22, 1995",1.83,1.83,1.83,1.82,-,0.00%
"Jun 23, 1995",1.83,1.83,1.83,1.83,-,0.00%
"Jun 26, 1995",1.83,1.83,1.84,1.83,-,0.00%
"Jun 27, 1995",1.85,1.81,1.85,1.81,-,1.09%
"Jun 28, 1995",1.82,1.83,1.84,1.82,-,-1.62%
"Jun 29, 1995",1.83,1.83,1.83,1.83,-,0.55%
