Date,Price,Open,High,Low,Vol.,Change %
"May 05, 1995",108.03,106.04,110.02,105.38,-,5.16%
"May 08, 1995",108.03,105.38,108.69,105.38,-,0.00%
"May 09, 1995",108.16,107.63,110.82,107.63,-,0.12%
"May 10, 1995",106.31,108.43,109.22,106.04,-,-1.71%
"May 12, 1995",106.84,104.72,107.1,103.13,-,0.50%
"May 15, 1995",104.45,106.31,107.1,104.19,-,-2.24%
"May 16, 1995",106.04,104.19,106.57,104.19,-,1.52%
"May 17, 1995",108.43,106.57,108.69,106.57,-,2.25%
"May 18, 1995",111.88,109.22,112.94,109.22,-,3.18%
"May 19, 1995",113.47,115.59,115.59,112.14,-,1.42%
"May 22, 1995",109.75,110.82,112.94,109.22,-,-3.28%
"May 23, 1995",108.96,109.75,110.29,107.9,-,-0.72%
"May 24, 1995",104.98,110.02,110.29,104.72,-,-3.65%
"May 25, 1995",104.45,104.45,106.57,101.27,-,-0.50%
"May 26, 1995",108.69,112.41,115.06,108.43,-,4.06%
"May 29, 1995",111.35,108.16,111.88,107.9,-,2.45%
"May 30, 1995",115.85,111.88,117.18,110.82,-,4.04%
"May 31, 1995",119.56,116.65,120.36,116.12,-,3.20%
"Jun 01, 1995",124.07,120.09,124.34,119.83,-,3.77%
"Jun 02, 1995",120.36,124.07,124.87,119.56,-,-2.99%
"Jun 05, 1995",120.09,119.3,121.15,118.24,-,-0.22%
"Jun 06, 1995",124.34,119.83,125.13,119.56,-,3.54%
"Jun 07, 1995",121.95,124.6,126.19,120.89,-,-1.92%
"Jun 08, 1995",120.62,120.36,122.22,118.24,-,-1.09%
"Jun 09, 1995",121.68,120.89,121.95,119.56,-,0.88%
"Jun 12, 1995",123.81,121.42,124.34,119.3,-,1.75%
"Jun 13, 1995",128.05,124.07,129.9,123.54,-,3.42%
"Jun 14, 1995",124.34,128.84,129.64,123.54,-,-2.90%
"Jun 15, 1995",124.6,124.34,124.87,122.22,-,0.21%
"Jun 16, 1995",125.4,124.87,127.52,124.87,-,0.64%
"Jun 19, 1995",125.4,125.93,128.31,125.13,-,0.00%
"Jun 20, 1995",125.93,124.87,126.72,124.87,-,0.42%
"Jun 21, 1995",124.07,126.19,126.46,124.07,-,-1.48%
"Jun 22, 1995",123.81,124.07,124.6,122.75,-,-0.21%
"Jun 23, 1995",122.22,123.81,124.07,121.42,-,-1.28%
"Jun 26, 1995",120.09,121.15,121.42,119.03,-,-1.74%
"Jun 27, 1995",118.77,119.56,120.89,118.77,-,-1.10%
"Jun 28, 1995",121.95,120.36,121.95,119.3,-,2.68%
"Jun 29, 1995",120.36,122.48,126.19,120.36,-,-1.30%
"Jun 30, 1995",119.03,120.36,120.36,117.97,-,-1.11%
"Jul 03, 1995",116.12,118.24,118.24,115.85,-,-2.44%
"Jul 04, 1995",116.65,115.59,117.44,114.79,-,0.46%
"Jul 05, 1995",115.32,117.71,119.83,115.32,-,-1.14%
"Jul 06, 1995",116.12,115.59,117.44,114.26,-,0.69%
"Jul 07, 1995",117.44,117.44,118.24,116.12,-,1.14%
"Jul 10, 1995",116.38,117.71,119.3,116.38,-,-0.90%
"Jul 11, 1995",117.44,116.38,117.44,115.85,-,0.91%
"Jul 12, 1995",120.89,118.77,120.89,118.77,-,2.94%
"Jul 13, 1995",120.89,120.89,121.68,120.36,-,0.00%
"Jul 14, 1995",123.01,120.89,123.54,120.89,2.86M,1.75%
"Jul 17, 1995",124.6,123.28,124.87,123.28,2.60M,1.29%
"Jul 18, 1995",125.13,125.13,125.66,123.01,2.68M,0.43%
"Jul 19, 1995",126.99,124.6,126.99,123.81,2.14M,1.49%
"Jul 20, 1995",126.72,127.78,128.31,126.19,2.55M,-0.21%
"Jul 21, 1995",126.46,126.72,127.25,125.93,2.16M,-0.21%
"Jul 25, 1995",130.17,128.31,130.43,127.25,2.20M,2.93%
"Jul 26, 1995",130.96,129.9,133.88,129.11,5.36M,0.61%
"Jul 27, 1995",131.49,131.23,132.29,129.64,3.40M,0.40%
"Jul 28, 1995",125.66,127.78,128.05,124.6,4.38M,-4.43%
"Jul 31, 1995",122.75,125.4,125.66,122.75,2.00M,-2.32%
"Aug 01, 1995",123.01,123.28,124.07,122.22,1.54M,0.21%
"Aug 02, 1995",126.19,123.81,126.46,123.81,2.09M,2.59%
"Aug 03, 1995",121.42,126.72,127.25,119.83,3.65M,-3.78%
"Aug 04, 1995",124.34,120.09,124.34,119.56,3.42M,2.40%
"Aug 07, 1995",124.34,124.34,126.46,124.07,3.25M,0.00%
"Aug 08, 1995",125.4,124.6,126.19,123.54,2.67M,0.85%
"Aug 09, 1995",124.87,126.72,127.25,124.34,2.29M,-0.42%
"Aug 11, 1995",123.81,124.6,124.87,123.54,878.73K,-0.85%
"Aug 14, 1995",124.07,123.54,124.07,123.01,527.01K,0.21%
"Aug 16, 1995",125.13,124.07,125.66,124.07,893.69K,0.85%
"Aug 17, 1995",126.72,125.13,127.25,125.13,1.54M,1.27%
"Aug 21, 1995",127.25,127.25,128.58,126.72,1.76M,0.42%
"Aug 22, 1995",127.78,127.25,128.58,126.46,1.68M,0.42%
"Aug 24, 1995",126.19,128.31,128.58,126.19,1.33M,-1.24%
"Aug 25, 1995",124.6,125.93,126.19,124.34,1.34M,-1.26%
"Aug 28, 1995",122.48,124.07,124.6,122.48,453.70K,-1.70%
"Aug 31, 1995",124.07,123.54,124.6,123.28,1.49M,1.30%
"Sep 01, 1995",125.4,124.07,125.4,123.54,786.81K,1.07%
"Sep 04, 1995",124.6,125.13,125.93,124.07,1.41M,-0.64%
"Sep 05, 1995",124.34,124.07,125.13,123.28,1.46M,-0.21%
"Sep 06, 1995",125.93,124.34,126.46,123.01,2.20M,1.28%
"Sep 07, 1995",124.6,126.19,127.25,124.34,2.05M,-1.06%
"Sep 08, 1995",126.19,124.07,126.19,124.07,748.96K,1.28%
"Sep 11, 1995",125.93,125.93,126.72,125.66,1.07M,-0.21%
"Sep 12, 1995",124.07,126.19,126.46,123.28,998.43K,-1.48%
