Date,Price,Open,High,Low,Vol.,Change %
"May 05, 1995",10.86,10.86,11.1,10.62,-,0.00%
"May 08, 1995",11,11,11.1,10.81,-,1.29%
"May 09, 1995",10.95,10.86,10.95,10.81,-,-0.45%
"May 10, 1995",10.9,11,11.05,10.9,-,-0.46%
"May 12, 1995",10.86,10.81,10.9,9.89,-,-0.37%
"May 15, 1995",10.81,10.9,10.9,10.76,-,-0.46%
"May 16, 1995",10.81,10.86,10.86,10.71,-,0.00%
"May 17, 1995",10.81,10.81,10.86,10.76,-,0.00%
"May 18, 1995",11.1,11,11.1,10.86,-,2.68%
"May 19, 1995",11.48,11.15,11.48,11.15,-,3.42%
"May 22, 1995",11.58,12.06,12.06,11.58,-,0.87%
"May 23, 1995",11.29,11.39,11.48,11.19,-,-2.50%
"May 24, 1995",11.39,11.39,11.58,11.39,-,0.89%
"May 25, 1995",11.39,11.1,11.48,11.1,-,0.00%
"May 26, 1995",11.39,11.58,11.58,11.29,-,0.00%
"May 29, 1995",11.48,11.29,11.48,11.29,-,0.79%
"May 30, 1995",11.58,11.58,11.87,11.48,-,0.87%
"May 31, 1995",12.06,11.87,12.16,11.77,-,4.15%
"Jun 01, 1995",12.55,12.16,12.64,12.16,-,4.06%
"Jun 02, 1995",12.74,12.74,13.03,12.45,-,1.51%
"Jun 05, 1995",13.03,12.74,13.03,12.55,-,2.28%
"Jun 06, 1995",12.83,12.93,13.03,12.83,-,-1.53%
"Jun 07, 1995",12.64,13.12,13.12,12.55,-,-1.48%
"Jun 08, 1995",12.64,12.55,12.83,12.45,-,0.00%
"Jun 09, 1995",12.64,12.74,12.74,12.45,-,0.00%
"Jun 12, 1995",12.45,12.55,12.64,12.26,-,-1.50%
"Jun 13, 1995",12.45,12.55,12.64,12.16,-,0.00%
"Jun 14, 1995",13.03,12.74,13.22,12.74,-,4.66%
"Jun 15, 1995",12.83,13.12,13.12,12.74,-,-1.53%
"Jun 16, 1995",12.93,12.93,13.03,12.83,-,0.78%
"Jun 19, 1995",13.22,12.93,13.22,12.93,-,2.24%
"Jun 20, 1995",12.93,13.03,13.12,12.83,-,-2.19%
"Jun 21, 1995",12.83,12.45,13.03,12.45,-,-0.77%
"Jun 22, 1995",12.83,12.74,12.93,12.74,-,0.00%
"Jun 23, 1995",11.97,12.74,12.74,11.68,-,-6.70%
"Jun 26, 1995",11.39,11.77,11.77,10.81,-,-4.85%
"Jun 27, 1995",11.48,11.29,11.77,11.19,-,0.79%
"Jun 28, 1995",11.58,11.58,11.77,11.19,-,0.87%
"Jun 29, 1995",11.39,11.58,11.58,11.39,-,-1.64%
"Jun 30, 1995",11.39,11.39,11.48,11.29,-,0.00%
"Jul 03, 1995",10.81,11.29,11.29,10.62,-,-5.09%
"Jul 04, 1995",10.71,10.71,10.81,10.62,-,-0.93%
"Jul 05, 1995",10.9,10.71,11.1,10.71,-,1.77%
"Jul 06, 1995",11.1,10.9,11.1,10.71,-,1.83%
"Jul 07, 1995",11.39,11.29,11.39,11.1,-,2.61%
"Jul 10, 1995",11.48,11.29,11.68,11.19,-,0.79%
"Jul 11, 1995",11.77,11.39,12.06,11.1,-,2.53%
"Jul 12, 1995",11.58,11.77,11.77,11.39,-,-1.61%
"Jul 13, 1995",11.48,11.58,11.68,11.48,-,-0.86%
