"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 02, 1995","1.10","1.17","1.17","1.10","-","0.00%"
"Jan 09, 1995","1.10","1.04","1.10","1.04","-","0.00%"
"Jan 23, 1995","1.14","1.14","1.14","1.14","-","3.64%"
"Feb 09, 1995","1.11","1.11","1.11","1.11","-","-2.63%"
"Feb 13, 1995","1.15","1.15","1.15","1.15","-","3.60%"
"Feb 17, 1995","1.10","1.10","1.10","1.10","-","-4.35%"
"Feb 21, 1995","1.06","1.06","1.06","1.06","-","-3.64%"
"Feb 23, 1995","1.10","1.10","1.10","1.10","-","3.77%"
"Apr 03, 1995","1.00","1.00","1.00","1.00","-","-9.09%"
"Apr 05, 1995","1.14","1.14","1.14","1.14","-","14.00%"
"Apr 10, 1995","1.16","1.16","1.16","1.16","-","1.75%"
"Apr 24, 1995","1.11","1.08","1.11","1.08","-","-4.31%"
"Apr 25, 1995","1.08","1.08","1.08","1.08","-","-2.70%"
"Apr 26, 1995","1.10","1.08","1.11","1.08","-","1.85%"
"Apr 27, 1995","1.08","1.08","1.10","1.05","-","-1.82%"
"Apr 28, 1995","1.08","1.08","1.11","1.05","-","0.00%"
"May 02, 1995","1.08","1.03","1.08","1.03","-","0.00%"
"May 03, 1995","1.04","1.04","1.04","1.04","-","-3.70%"
"May 04, 1995","1.05","1.05","1.10","1.05","-","0.96%"
"May 05, 1995","1.11","1.11","1.11","1.11","-","5.71%"
"May 08, 1995","1.10","1.10","1.10","1.10","-","-0.90%"
"May 09, 1995","1.07","1.07","1.13","1.05","-","-2.73%"
"May 10, 1995","1.07","1.07","1.07","1.07","-","0.00%"
"May 18, 1995","1.08","1.08","1.08","1.08","-","0.93%"
"May 29, 1995","1.17","1.17","1.17","1.14","-","8.33%"
"May 30, 1995","1.17","1.17","1.17","1.17","-","0.00%"
"May 31, 1995","1.19","1.14","1.19","1.14","-","1.71%"
"Jun 01, 1995","1.22","1.20","1.22","1.20","-","2.52%"
"Jun 02, 1995","1.23","1.23","1.24","1.22","-","0.82%"
"Jun 05, 1995","1.41","1.32","1.41","1.32","-","14.63%"
"Jun 06, 1995","1.39","1.42","1.42","1.39","-","-1.42%"
"Jun 07, 1995","1.35","1.39","1.39","1.33","-","-2.88%"
"Jun 08, 1995","1.26","1.32","1.32","1.26","-","-6.67%"
"Jun 09, 1995","1.24","1.20","1.26","1.20","-","-1.59%"
"Jun 13, 1995","1.19","1.13","1.19","1.13","-","-4.03%"
"Jun 14, 1995","1.20","1.20","1.20","1.20","-","0.84%"
"Jun 15, 1995","1.21","1.16","1.22","1.16","-","0.83%"
"Jun 16, 1995","1.23","1.24","1.24","1.21","-","1.65%"
"Jun 19, 1995","1.19","1.19","1.19","1.19","-","-3.25%"
"Jun 20, 1995","1.19","1.19","1.20","1.19","-","0.00%"
"Jun 21, 1995","1.20","1.20","1.22","1.20","-","0.84%"
"Jun 22, 1995","1.22","1.20","1.22","1.20","-","1.67%"
"Jun 23, 1995","1.22","1.19","1.23","1.19","-","0.00%"
"Jun 26, 1995","1.22","1.22","1.22","1.22","-","0.00%"
"Jun 27, 1995","1.22","1.22","1.22","1.22","-","0.00%"
"Jun 28, 1995","1.20","1.20","1.20","1.20","-","-1.64%"
"Jun 29, 1995","1.19","1.19","1.19","1.19","-","-0.83%"
"Jun 30, 1995","1.17","1.17","1.17","1.17","-","-1.68%"
"Jul 03, 1995","1.14","1.20","1.20","1.14","-","-2.56%"
"Jul 04, 1995","1.11","1.10","1.11","1.10","-","-2.63%"
"Jul 05, 1995","1.10","1.10","1.10","1.10","-","-0.90%"
"Jul 06, 1995","1.07","1.05","1.07","1.05","-","-2.73%"
