0,1,2,3,4,5,6,7,8,9,10,11,12,13
-0.93374866,-0.9999665,0.99998176,-0.9401206,0.999993,0.999927,-0.9999865,-0.99997085,0.39788112,-0.99999976,0.9997856,-0.99999887,-0.99999994,-0.99142885
-0.99778324,-0.9999135,0.9997867,-0.9725046,0.9995213,0.9999501,-0.9998696,-0.9993822,-0.99757224,-0.9999995,0.9916919,-0.9999912,-0.9999955,-0.9994804
-1.0,-0.99976975,1.0,0.9999994,1.0,1.0,-1.0,-0.9999814,-0.9999987,-1.0,1.0,-1.0,-1.0,-1.0
-1.0,-0.99988896,1.0,0.9999986,0.99999994,1.0,-1.0,-0.9997528,-0.99997973,-1.0,1.0,-1.0,-1.0,-1.0
-1.0,0.9664557,1.0,1.0,1.0,1.0,-1.0,-0.9999915,1.0,-1.0,1.0,-1.0,-1.0,-1.0
-1.0,0.99990326,1.0,1.0,1.0,1.0,-1.0,-0.9999962,1.0,-1.0,1.0,-1.0,-1.0,-1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-0.37909213,-1.0,-1.0,-1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,0.08924542,-1.0,-1.0,-1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-0.99999964,-1.0,-1.0,-1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-0.99935055,-1.0,-1.0,-1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-0.8116884,-0.9997994,0.9999023,-0.9600736,0.99991894,0.9983152,-0.9999996,-0.99991256,-0.9967423,-0.9999992,-0.90665036,-0.99999475,-0.9999999,-0.9860298
-0.7813262,-0.9998803,0.9998302,-0.96685493,0.9998002,0.99689937,-0.9999997,-0.9999048,-0.99435633,-0.99999964,-0.7245046,-0.9999918,-0.9999999,-0.98116755
-1.0,-0.99981266,1.0,0.9999996,0.99999976,1.0,-1.0,-0.9997746,0.99998796,-1.0,1.0,-1.0,-1.0,-1.0
-1.0,-0.9991712,1.0,1.0,0.99999833,1.0,-1.0,-0.99946713,0.99710375,-1.0,1.0,-1.0,-1.0,-1.0
-1.0,0.99990803,1.0,1.0,1.0,1.0,-1.0,-0.99999845,1.0,-1.0,1.0,-1.0,-1.0,-1.0
-1.0,0.9970086,1.0,1.0,1.0,1.0,-1.0,-0.99999994,1.0,-1.0,1.0,-1.0,-1.0,-1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,0.81620705,-1.0,-1.0,-1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,0.99999905,-1.0,-1.0,-1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-0.9999999,-1.0,-1.0,-1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-0.9999996,-1.0,-1.0,-1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
