0,1,2,3,4,5,6,7,8,9,10,11,12,13
-0.9998286,1.0,-0.9999996,-0.99953514,-0.9999992,-0.9998364,0.99999833,0.9996663,-0.977154,-0.99999845,-0.99997264,0.7420026,0.9800141,-0.99999994
-0.999238,-0.99996984,-1.0,-0.97811055,-0.9948301,-0.999615,-0.9999953,-0.9999653,-0.9714365,-0.999989,-0.9999555,-0.97708976,-0.9990733,-0.99999976
1.0,0.99991876,-1.0,1.0,1.0,0.9942751,-0.19944341,-1.0,1.0,0.9955068,-1.0,-1.0,-1.0,-1.0
0.9998869,0.9999999,-1.0,0.99999994,0.66090727,0.97986805,0.99999136,-0.99989414,1.0,-1.0,-1.0,-0.9999999,-0.99999976,-1.0
1.0,1.0,-1.0,1.0,1.0,0.9996185,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
1.0,1.0,-1.0,1.0,1.0,-0.9999997,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,-0.753643,1.0,-1.0,1.0,1.0,1.0,-0.99999946,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,-0.9817862,1.0,-1.0,1.0,1.0,1.0,-0.9999997,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.40883252,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.96330065,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.9974721,1.0,-1.0,1.0,1.0,1.0,-0.9788347,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.999749,1.0,-1.0,1.0,1.0,1.0,-0.99996847,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.999673,1.0,-1.0,1.0,1.0,1.0,-0.9999545,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.9999856,1.0,-1.0,1.0,1.0,1.0,-0.99999994,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.9999656,1.0,-1.0,1.0,1.0,1.0,-0.99863833,-1.0,1.0
-0.8936308,-0.999618,-0.99998564,-0.99995565,-0.99996865,-0.99901426,0.99635416,0.99995863,-0.90729684,-0.9999988,-0.9999556,-0.9999636,-0.35331303,-0.99999976
-0.9999736,0.999534,-0.9989097,-0.9999959,-0.99999964,-0.9994285,0.99999994,1.0,-0.9999944,-0.998148,-0.9999891,0.012543498,0.99997735,-0.9999998
1.0,1.0,-1.0,1.0,0.99922305,0.99999684,1.0,-0.38138837,1.0,-0.9998239,-1.0,-0.96054757,-0.9868935,-1.0
0.9999999,0.9999172,-1.0,1.0,1.0,0.40000013,-1.0,-1.0,1.0,0.9999991,-1.0,-0.99999994,-1.0,-1.0
1.0,1.0,-1.0,1.0,1.0,-1.0,-0.1500014,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
1.0,1.0,-1.0,1.0,1.0,0.79974467,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,-1.0,0.9999999,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,-0.9999995,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,-0.9999685,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,-0.9975133,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.9640287,1.0,-1.0,1.0,1.0,1.0,-0.99247545,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.9966688,1.0,-1.0,1.0,1.0,1.0,-0.9999917,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.99755085,1.0,-1.0,1.0,1.0,1.0,-0.9999993,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.9997157,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.999981,1.0,-1.0,1.0,1.0,1.0,-0.99974436,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.9999741,1.0,-1.0,1.0,1.0,1.0,-0.99999994,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.9998804,1.0,-1.0,1.0,1.0,1.0,-0.9996418,-1.0,1.0
-0.99933136,1.0,-0.9999998,-0.9999999,-1.0,-0.99843794,1.0,1.0,-0.9999998,0.9292928,-0.99999994,1.0,1.0,-1.0
-0.99995625,0.92085254,-1.0,-0.8692598,-0.9998743,-0.9998908,-0.99471295,-0.9988971,-0.8734888,-0.9999998,-0.9999056,-0.79156226,-0.996979,-0.99999845
1.0,1.0,-1.0,1.0,1.0,-0.1641461,-0.51295936,-1.0,1.0,0.99999416,-1.0,-1.0,-1.0,-1.0
1.0,1.0,-1.0,1.0,0.99999976,0.99920416,1.0,-0.99975955,1.0,0.9920888,-1.0,-1.0,-1.0,-1.0
1.0,1.0,-1.0,1.0,1.0,-0.9993902,-0.96607226,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
1.0,1.0,-1.0,1.0,1.0,-0.65766215,0.99050826,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,-0.98601574,1.0,-1.0,1.0,1.0,1.0,-0.9997035,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,-0.7533893,1.0,-1.0,1.0,1.0,1.0,-0.9999997,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.693215,1.0,-1.0,1.0,1.0,1.0,-0.9999991,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.9713834,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.99991924,1.0,-1.0,1.0,1.0,1.0,-0.999793,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.9999893,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.9998246,1.0,-1.0,1.0,1.0,1.0,-0.9998894,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.9999921,1.0,-1.0,1.0,1.0,1.0,-0.9999996,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.9999863,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
-0.99999946,-1.0,-0.9999998,-0.999472,-0.99969125,-0.99998987,-0.21337925,-0.9984683,-0.41604117,-1.0,-0.9991899,-0.9999999,-0.99999225,-0.9999986
-0.9689644,0.9999998,-0.99999994,-0.99936527,-0.9999991,-0.99983585,1.0,1.0,-0.9987609,-0.99838275,-0.9999931,0.7454814,0.99907494,-1.0
1.0,0.99999976,-1.0,1.0,1.0,0.99990505,-0.9910223,-1.0,1.0,0.9612064,-1.0,-0.99999857,-1.0,-1.0
1.0,1.0,-1.0,1.0,0.99999326,0.999398,0.9999641,-1.0,1.0,0.042809293,-1.0,-1.0,-0.99999994,-1.0
1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.9901724,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-0.9999998,-1.0,-1.0,-0.9999948
1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-0.99858516,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-0.9999107,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,-0.9999998,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,-0.99757504,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,-0.992716,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.99178773,1.0,-1.0,1.0,1.0,1.0,-0.9999873,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.99946123,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.99764884,1.0,-1.0,1.0,1.0,1.0,-0.9999749,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.9999603,1.0,-1.0,1.0,1.0,1.0,-0.99999964,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.9999447,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.99999136,1.0,-1.0,1.0,1.0,1.0,-0.99999994,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.99992156,1.0,-1.0,1.0,1.0,1.0,-0.9999763,-1.0,1.0
-0.9999998,-0.28885835,-1.0,-0.99999124,-0.9999938,-0.9986019,0.9837306,0.99807566,-0.9995089,-0.9999958,-0.9995465,0.9879262,0.63318384,-0.9999974
-0.9874221,0.9890036,-0.9999647,-0.99998456,-0.99999696,-0.9989373,0.9999613,0.99999994,-0.9972816,-0.9996695,-0.9999596,-0.9877044,0.97659653,-0.9999994
1.0,-0.99643713,-1.0,1.0,1.0,0.9854177,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
1.0,0.9991838,-1.0,1.0,1.0,0.9145486,-1.0,-1.0,1.0,0.9999319,-1.0,-1.0,-1.0,-1.0
