"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 03, 2019","67.85","67.55","67.90","66.50","-","2.49%"
"Feb 24, 2019","66.20","64.00","66.50","62.20","2.25M","4.09%"
"Feb 17, 2019","63.60","60.75","64.10","60.75","1.91M","4.35%"
"Feb 10, 2019","60.95","62.00","63.10","60.05","2.47M","-1.53%"
"Feb 03, 2019","61.90","64.85","65.60","56.25","8.03M","-3.73%"
"Jan 27, 2019","64.30","66.50","66.75","63.00","3.59M","-3.31%"
"Jan 20, 2019","66.50","71.30","72.10","66.25","3.17M","-5.94%"
"Jan 13, 2019","70.70","69.15","71.10","67.65","3.33M","3.06%"
"Jan 06, 2019","68.60","72.50","72.95","68.10","3.81M","-3.85%"
"Dec 30, 2018","71.35","72.10","74.75","70.10","4.84M","-0.97%"
"Dec 23, 2018","72.05","69.80","72.85","69.35","4.77M","3.22%"
"Dec 16, 2018","69.80","67.00","71.95","66.50","4.61M","4.96%"
"Dec 09, 2018","66.50","65.85","67.85","61.55","4.86M","0.76%"
"Dec 02, 2018","66.00","68.50","71.35","64.40","5.70M","-4.07%"
"Nov 25, 2018","68.80","66.60","70.20","65.70","3.15M","4.08%"
"Nov 18, 2018","66.10","66.90","68.15","65.90","2.21M","-0.83%"
"Nov 11, 2018","66.65","70.10","70.45","65.25","4.74M","-4.65%"
"Nov 04, 2018","69.90","71.25","71.45","69.05","3.04M","-4.31%"
"Oct 28, 2018","73.05","68.45","73.90","66.60","8.38M","8.38%"
"Oct 21, 2018","67.40","74.50","76.50","67.25","7.12M","-8.30%"
"Oct 14, 2018","73.50","75.40","77.55","72.60","1.64M","-1.87%"
"Oct 07, 2018","74.90","70.00","76.40","68.00","3.10M","6.09%"
"Sep 30, 2018","70.60","68.85","76.30","66.35","3.63M","3.22%"
"Sep 23, 2018","68.40","72.10","73.05","67.90","2.70M","-4.34%"
"Sep 16, 2018","71.50","76.95","76.95","67.70","3.29M","-7.14%"
"Sep 09, 2018","77.00","79.00","79.95","75.05","3.66M","-2.78%"
"Sep 02, 2018","79.20","81.30","83.25","75.50","5.69M","-1.74%"
"Aug 26, 2018","80.60","81.00","82.65","76.60","5.41M","0.56%"
"Aug 19, 2018","80.15","74.10","80.70","73.20","3.64M","8.53%"
"Aug 12, 2018","73.85","73.00","74.55","71.80","1.36M","1.10%"
"Aug 05, 2018","73.05","74.00","75.65","72.60","2.52M","-1.15%"
"Jul 29, 2018","73.90","71.35","74.70","71.30","3.83M","3.87%"
"Jul 22, 2018","71.15","67.95","78.30","67.10","7.89M","5.33%"
"Jul 15, 2018","67.55","67.20","68.55","64.50","2.85M","0.60%"
"Jul 08, 2018","67.15","70.75","72.45","66.95","2.51M","-4.41%"
"Jul 01, 2018","70.25","71.75","72.50","67.60","2.74M","-2.09%"
"Jun 24, 2018","71.75","74.70","75.35","69.45","2.60M","-4.33%"
"Jun 17, 2018","75.00","75.30","76.50","73.90","2.29M","-0.27%"
"Jun 10, 2018","75.20","77.60","79.50","74.60","2.33M","-2.78%"
"Jun 03, 2018","77.35","80.25","80.90","72.65","3.85M","-3.73%"
"May 27, 2018","80.35","75.60","86.80","75.55","9.25M","7.13%"
"May 20, 2018","75.00","76.10","76.85","73.95","2.26M","-2.02%"
"May 13, 2018","76.55","80.75","81.40","76.10","2.60M","-5.20%"
"May 06, 2018","80.75","84.20","84.95","80.10","1.88M","-4.32%"
"Apr 29, 2018","84.40","86.05","89.55","84.00","1.04M","-2.60%"
