"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 03, 2019","18,708.25","18,749.30","18,913.00","18,700.10","-","-0.22%"
"Feb 24, 2019","18,749.30","18,198.00","19,240.00","18,087.00","6.43K","3.35%"
"Feb 17, 2019","18,141.15","18,399.00","18,465.00","17,601.00","3.81K","0.14%"
"Feb 10, 2019","18,115.15","18,933.55","18,951.00","17,600.00","7.51K","-4.32%"
"Feb 03, 2019","18,933.55","19,168.05","19,490.00","18,900.00","2.80K","-1.85%"
"Jan 27, 2019","19,289.80","18,400.00","19,340.00","17,911.70","3.38K","4.10%"
"Jan 20, 2019","18,530.70","19,237.45","19,264.00","18,396.20","1.79K","-3.48%"
"Jan 13, 2019","19,198.60","19,515.00","19,515.00","18,954.45","12.20K","-1.62%"
"Jan 06, 2019","19,514.05","19,629.90","19,723.50","19,261.45","1.75K","0.35%"
"Dec 30, 2018","19,445.20","19,645.05","19,779.00","19,190.00","4.79K","-0.69%"
"Dec 23, 2018","19,581.15","19,753.00","19,850.00","19,051.10","2.18K","-1.39%"
"Dec 16, 2018","19,856.95","19,756.00","19,984.00","19,210.00","6.12K","0.99%"
"Dec 09, 2018","19,662.40","18,499.90","19,760.00","18,300.05","5.83K","6.18%"
"Dec 02, 2018","18,517.60","18,900.00","19,372.00","18,323.00","5.87K","-2.05%"
"Nov 25, 2018","18,904.40","19,007.95","19,110.40","18,335.00","5.81K","-0.54%"
"Nov 18, 2018","19,007.95","19,001.00","19,398.15","18,511.00","4.78K","1.16%"
"Nov 11, 2018","18,790.10","19,900.00","19,900.00","18,601.00","2.83K","-5.17%"
"Nov 04, 2018","19,814.25","19,979.00","19,979.00","19,250.00","3.96K","0.96%"
"Oct 28, 2018","19,625.65","18,700.00","20,436.00","18,635.95","5.91K","5.55%"
"Oct 21, 2018","18,594.25","19,035.05","19,249.00","17,620.10","3.95K","-2.21%"
"Oct 14, 2018","19,013.50","18,870.00","19,199.85","18,251.00","1.96K","2.34%"
"Oct 07, 2018","18,578.65","18,638.95","19,069.00","18,070.00","7.67K","-1.27%"
"Sep 30, 2018","18,817.40","19,965.00","19,965.00","18,700.00","2.63K","-5.05%"
"Sep 23, 2018","19,817.45","20,160.15","20,576.00","19,400.00","4.11K","-1.15%"
"Sep 16, 2018","20,048.75","21,090.05","21,142.00","19,500.00","12.49K","-5.11%"
"Sep 09, 2018","21,127.70","20,750.00","21,725.60","20,250.00","4.02K","-1.01%"
"Sep 02, 2018","21,343.25","21,860.00","22,349.95","20,565.00","7.19K","-2.97%"
"Aug 26, 2018","21,995.60","18,780.00","22,400.00","18,640.60","23.03K","16.93%"
"Aug 19, 2018","18,810.25","18,874.90","18,995.70","18,728.45","1.31K","-0.30%"
"Aug 12, 2018","18,866.45","19,300.00","19,348.75","18,770.00","1.68K","-2.34%"
"Aug 05, 2018","19,319.15","19,050.05","19,824.95","18,712.95","6.57K","1.42%"
"Jul 29, 2018","19,049.45","18,526.15","19,442.60","18,420.00","4.46K","2.20%"
"Jul 22, 2018","18,638.95","17,782.15","19,114.85","17,707.45","7.62K","6.11%"
"Jul 15, 2018","17,565.25","17,640.00","17,790.00","17,345.00","1.51K","-0.43%"
"Jul 08, 2018","17,640.95","17,867.40","18,190.00","17,405.00","2.73K","-0.60%"
"Jul 01, 2018","17,747.80","17,530.75","18,240.00","17,169.70","2.29K","1.48%"
"Jun 24, 2018","17,488.75","17,980.00","18,190.00","17,171.35","3.57K","-2.82%"
"Jun 17, 2018","17,995.35","18,161.75","18,312.40","17,592.05","3.01K","-0.82%"
"Jun 10, 2018","18,145.00","18,507.65","18,507.65","17,850.00","2.28K","-1.50%"
"Jun 03, 2018","18,420.80","18,322.00","19,141.90","17,812.00","2.82K","1.03%"
"May 27, 2018","18,233.30","17,703.40","18,666.00","17,703.40","1.99K","2.51%"
"May 20, 2018","17,786.70","17,721.40","18,278.80","17,292.65","5.31K","0.40%"
"May 13, 2018","17,715.65","18,699.00","18,699.00","17,602.00","2.51K","-4.76%"
"May 06, 2018","18,601.55","19,438.25","19,687.40","18,559.45","3.57K","-3.55%"
"Apr 29, 2018","19,285.30","19,600.00","19,622.40","19,226.00","0.99K","-1.54%"
"Apr 22, 2018","19,586.10","19,480.00","19,895.55","19,428.90","2.06K","0.63%"
"Apr 15, 2018","19,462.95","19,600.00","19,729.40","19,321.10","2.46K","-0.68%"
"Apr 08, 2018","19,595.90","19,989.30","20,299.00","19,505.05","4.47K","-1.22%"
"Apr 01, 2018","19,837.80","18,152.05","19,999.00","17,849.00","8.59K","9.38%"
"Mar 25, 2018","18,136.65","17,400.00","18,515.00","17,190.00","3.85K","4.79%"
"Mar 18, 2018","17,306.90","17,900.00","18,042.40","16,990.40","5.59K","-3.53%"
"Mar 11, 2018","17,940.15","18,387.75","18,500.00","17,899.95","3.34K","-1.55%"
"Mar 04, 2018","18,223.00","18,702.05","18,702.05","17,700.00","4.17K","-2.42%"
"Feb 25, 2018","18,675.70","19,032.85","19,250.00","18,000.00","3.76K","-1.28%"
"Feb 18, 2018","18,917.95","19,555.05","19,650.00","18,666.00","3.75K","-3.16%"
"Feb 11, 2018","19,535.55","19,546.70","20,099.00","19,401.10","2.27K","0.03%"
"Feb 04, 2018","19,529.20","19,300.00","19,990.00","19,195.60","10.24K","0.96%"
"Jan 28, 2018","19,344.30","19,650.00","19,864.80","19,200.00","6.30K","-1.35%"
"Jan 21, 2018","19,608.95","19,999.00","20,065.25","19,500.00","2.41K","-1.49%"
"Jan 14, 2018","19,905.10","19,807.20","20,080.00","19,745.00","3.19K","0.84%"
"Jan 07, 2018","19,739.80","19,840.00","20,119.50","19,600.00","29.21K","0.31%"
"Dec 31, 2017","19,679.70","20,169.05","20,170.00","19,583.75","3.95K","-2.11%"
"Dec 24, 2017","20,103.05","19,908.80","20,439.75","19,908.75","14.17K","0.94%"
"Dec 17, 2017","19,916.05","19,730.00","20,100.05","19,384.30","3.94K","0.74%"
"Dec 10, 2017","19,770.10","19,743.95","20,200.00","19,400.00","4.70K","0.97%"
"Dec 03, 2017","19,580.05","19,926.00","20,477.45","18,602.00","13.40K","-2.03%"
"Nov 26, 2017","19,985.75","19,027.75","22,062.20","18,800.00","97.01K","5.35%"
"Nov 19, 2017","18,970.40","18,980.00","19,614.70","18,850.00","4.76K","-0.08%"
"Nov 12, 2017","18,985.15","20,600.00","20,600.00","18,911.00","6.53K","-7.32%"
"Nov 05, 2017","20,484.85","21,048.15","21,272.00","19,321.00","3.76K","-2.37%"
"Oct 29, 2017","20,982.50","21,400.00","21,455.10","20,859.40","2.37K","-1.30%"
"Oct 22, 2017","21,258.75","21,509.00","21,701.80","20,900.05","18.09K","-1.66%"
"Oct 15, 2017","21,617.35","21,572.00","22,250.00","21,490.00","3.70K","0.30%"
"Oct 08, 2017","21,552.05","21,425.00","21,625.15","20,900.00","20.24K","2.51%"
"Oct 01, 2017","21,025.25","20,711.30","21,080.00","20,332.70","1.34K","2.48%"
"Sep 24, 2017","20,515.95","21,556.00","21,800.00","20,444.95","3.72K","-4.54%"
"Sep 17, 2017","21,492.10","21,941.90","22,112.80","21,354.75","1.76K","-1.36%"
"Sep 10, 2017","21,787.90","22,099.95","22,354.15","21,697.25","3.29K","-0.85%"
"Sep 03, 2017","21,975.00","22,237.95","22,600.00","21,573.05","4.37K","-0.90%"
"Aug 27, 2017","22,175.35","21,800.00","22,570.60","21,433.00","4.50K","2.32%"
"Aug 20, 2017","21,672.20","22,084.90","22,450.00","21,600.35","9.22K","-1.55%"
"Aug 13, 2017","22,012.45","22,776.55","22,874.60","21,618.35","17.33K","-2.69%"
"Aug 06, 2017","22,619.90","24,998.00","24,998.00","22,291.35","8.75K","-8.15%"
"Jul 30, 2017","24,627.65","23,980.65","25,175.30","23,760.00","5.34K","3.61%"
"Jul 23, 2017","23,768.55","24,010.50","24,600.00","23,697.70","4.23K","-1.01%"
"Jul 16, 2017","24,010.50","24,400.00","24,894.50","23,889.40","19.88K","-1.44%"
