"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 03, 2019","89.15","85.80","89.20","85.20","-","4.88%"
"Feb 24, 2019","85.00","78.95","85.25","77.30","3.21M","8.01%"
"Feb 17, 2019","78.70","75.65","79.30","74.85","2.12M","4.45%"
"Feb 10, 2019","75.35","80.00","80.00","72.55","2.89M","-5.93%"
"Feb 03, 2019","80.10","84.95","84.95","78.35","1.54M","-5.15%"
"Jan 27, 2019","84.45","80.20","88.00","79.00","3.00M","5.04%"
"Jan 20, 2019","80.40","86.55","87.60","80.10","1.95M","-6.94%"
"Jan 13, 2019","86.40","92.50","92.50","86.20","1.99M","-6.04%"
"Jan 06, 2019","91.95","92.70","93.15","90.15","1.70M","0.11%"
"Dec 30, 2018","91.85","86.50","92.70","86.10","3.34M","4.67%"
"Dec 23, 2018","87.75","88.60","90.90","85.35","2.91M","-1.02%"
"Dec 16, 2018","88.65","82.40","95.00","82.40","5.34M","7.58%"
"Dec 09, 2018","82.40","79.65","84.90","74.95","3.51M","2.49%"
"Dec 02, 2018","80.40","84.50","86.45","80.15","3.54M","-3.37%"
"Nov 25, 2018","83.20","94.70","96.10","82.85","3.08M","-11.25%"
"Nov 18, 2018","93.75","93.10","96.00","92.30","1.31M","0.70%"
"Nov 11, 2018","93.10","98.95","99.30","91.85","1.86M","-5.67%"
"Nov 04, 2018","98.70","95.25","99.20","93.10","1.48M","3.62%"
"Oct 28, 2018","95.25","89.90","98.85","86.05","8.16M","8.86%"
"Oct 21, 2018","87.50","83.00","90.95","81.55","6.23M","4.98%"
"Oct 14, 2018","83.35","86.25","89.05","82.25","1.52M","-2.51%"
"Oct 07, 2018","85.50","79.95","87.35","74.80","9.08M","6.21%"
"Sep 30, 2018","80.50","80.70","84.70","78.30","4.02M","0.37%"
"Sep 23, 2018","80.20","80.95","86.30","74.30","8.14M","0.06%"
"Sep 16, 2018","80.15","88.90","88.90","75.00","5.33M","-9.74%"
"Sep 09, 2018","88.80","92.00","93.10","85.30","4.70M","-3.48%"
"Sep 02, 2018","92.00","114.00","115.45","89.70","17.93M","-19.09%"
"Aug 26, 2018","113.70","118.15","118.80","113.30","1.36M","-3.28%"
"Aug 19, 2018","117.55","118.00","120.45","115.35","2.80M","0.26%"
"Aug 12, 2018","117.25","120.75","120.75","113.50","2.66M","-3.18%"
"Aug 05, 2018","121.10","120.70","124.20","115.20","3.65M","1.51%"
"Jul 29, 2018","119.30","103.35","121.85","102.75","6.66M","16.62%"
"Jul 22, 2018","102.30","104.70","107.80","100.00","2.85M","-1.02%"
"Jul 15, 2018","103.35","104.00","105.15","96.75","2.70M","-0.58%"
"Jul 08, 2018","103.95","111.25","113.50","103.00","4.49M","-6.22%"
"Jul 01, 2018","110.85","108.30","112.20","101.50","2.54M","1.98%"
"Jun 24, 2018","108.70","109.15","111.00","101.35","2.66M","-1.18%"
"Jun 17, 2018","110.00","117.00","117.40","107.40","1.81M","-5.98%"
"Jun 10, 2018","117.00","119.00","122.00","115.55","1.46M","-1.35%"
"Jun 03, 2018","118.60","111.40","122.00","110.00","1.55M","6.46%"
"May 27, 2018","111.40","118.95","125.25","110.25","2.91M","-6.03%"
"May 20, 2018","118.55","122.50","122.50","114.75","1.14M","-2.55%"
"May 13, 2018","121.65","129.00","129.00","112.55","2.78M","-4.92%"
"May 06, 2018","127.95","130.05","133.00","127.10","886.23K","-1.27%"
"Apr 29, 2018","129.60","132.80","133.00","127.05","947.08K","-2.70%"
"Apr 22, 2018","133.20","132.95","138.70","130.50","2.18M","0.72%"
"Apr 15, 2018","132.25","142.70","143.00","130.40","2.15M","-7.19%"
"Apr 08, 2018","142.50","145.30","149.00","142.10","1.04M","-1.42%"
"Apr 01, 2018","144.55","142.10","148.70","142.10","1.86M","1.76%"
"Mar 25, 2018","142.05","140.00","145.75","139.00","1.44M","1.61%"
"Mar 18, 2018","139.80","149.90","152.00","138.30","1.83M","-6.39%"
"Mar 11, 2018","149.35","150.00","154.10","147.60","1.20M","0.61%"
"Mar 04, 2018","148.45","153.50","157.95","145.00","1.26M","-3.23%"
"Feb 25, 2018","153.40","155.95","156.70","151.15","1.11M","1.52%"
"Feb 18, 2018","151.10","154.10","155.75","145.25","1.46M","-2.77%"
"Feb 11, 2018","155.40","157.20","162.50","153.70","1.05M","-0.61%"
"Feb 04, 2018","156.35","151.65","160.00","140.00","4.32M","2.83%"
"Jan 28, 2018","152.05","177.95","178.80","150.30","2.61M","-14.17%"
"Jan 21, 2018","177.15","173.00","179.50","172.40","6.15M","2.55%"
"Jan 14, 2018","172.75","177.50","179.85","167.25","6.79M","-2.98%"
"Jan 07, 2018","178.05","183.90","185.15","176.40","1.59M","-2.28%"
"Dec 31, 2017","182.20","183.75","184.00","179.25","1.37M","0.08%"
"Dec 24, 2017","182.05","189.15","189.50","180.90","1.33M","-3.45%"
"Dec 17, 2017","188.55","179.90","189.15","172.00","733.30K","4.81%"
"Dec 10, 2017","179.90","187.00","187.40","177.00","1.02M","-2.68%"
"Dec 03, 2017","184.85","185.00","185.80","176.30","1.26M","0.16%"
"Nov 26, 2017","184.55","185.00","192.95","182.20","1.44M","-0.11%"
"Nov 19, 2017","184.75","181.50","189.45","177.25","1.41M","3.36%"
"Nov 12, 2017","178.75","182.05","183.75","174.20","1.27M","-1.76%"
"Nov 05, 2017","181.95","183.50","187.50","177.05","1.53M","-0.55%"
"Oct 29, 2017","182.95","174.50","192.50","173.70","4.57M","6.18%"
"Oct 22, 2017","172.30","174.40","176.95","169.85","1.14M","0.06%"
"Oct 15, 2017","172.20","172.00","174.10","168.70","683.23K","0.67%"
"Oct 08, 2017","171.05","168.00","172.00","164.60","1.07M","2.92%"
"Oct 01, 2017","166.20","165.00","168.35","160.40","772.50K","1.62%"
"Sep 24, 2017","163.55","167.27","167.91","158.73","2.82M","-0.55%"
"Sep 17, 2017","164.45","172.77","176.55","163.82","1.01M","-4.74%"
"Sep 10, 2017","172.64","172.18","181.09","170.00","1.96M","0.85%"
"Sep 03, 2017","171.18","176.23","179.05","170.32","1.13M","-2.71%"
"Aug 27, 2017","175.95","172.77","177.00","167.14","2.01M","3.06%"
"Aug 20, 2017","170.73","167.68","172.09","161.27","1.48M","3.02%"
"Aug 13, 2017","165.73","155.45","168.86","155.45","1.21M","6.42%"
"Aug 06, 2017","155.73","163.14","167.09","146.77","1.67M","-4.22%"
"Jul 30, 2017","162.59","161.82","170.36","160.45","2.89M","0.62%"
"Jul 23, 2017","161.59","155.68","163.18","155.50","2.25M","3.80%"
"Jul 16, 2017","155.68","157.27","160.36","154.36","2.91M","-1.10%"
"Jul 09, 2017","157.41","154.55","159.82","154.32","2.44M","1.85%"
"Jul 02, 2017","154.55","148.18","157.68","146.50","1.55M","5.37%"
"Jun 25, 2017","146.68","150.91","150.91","143.36","1.81M","-2.06%"
"Jun 18, 2017","149.77","155.45","155.77","148.00","1.50M","-2.84%"
"Jun 11, 2017","154.14","153.45","154.68","149.45","6.56M","0.86%"
"Jun 04, 2017","152.82","156.64","157.55","152.27","2.15M","-2.32%"
"May 28, 2017","156.45","159.09","161.00","154.14","1.62M","-1.63%"
"May 21, 2017","159.05","163.45","164.45","150.55","1.46M","0.38%"
