"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 24, 2015","709.90","705.00","713.25","697.10","102.90K","1.23%"
"Mar 23, 2015","701.25","702.00","712.20","694.00","115.81K","0.18%"
"Mar 20, 2015","700.00","711.85","718.20","693.90","140.35K","-1.35%"
"Mar 19, 2015","709.55","713.50","726.00","704.40","252.15K","-0.34%"
"Mar 18, 2015","712.00","712.00","720.35","708.15","173.20K","0.27%"
"Mar 17, 2015","710.05","697.55","716.00","695.00","146.44K","2.11%"
"Mar 16, 2015","695.35","705.00","708.60","685.00","410.70K","-1.25%"
"Mar 13, 2015","704.15","722.50","727.00","701.00","102.91K","-2.18%"
"Mar 12, 2015","719.85","719.55","727.95","711.00","104.27K","0.29%"
"Mar 11, 2015","717.80","733.00","736.80","713.05","264.33K","-1.63%"
"Mar 10, 2015","729.70","739.00","752.45","725.75","256.87K","-0.48%"
"Mar 09, 2015","733.20","736.70","741.75","730.10","83.95K","-0.63%"
"Mar 05, 2015","737.85","725.00","745.80","724.15","171.62K","1.81%"
"Mar 04, 2015","724.70","733.95","746.50","721.35","193.38K","-0.81%"
"Mar 03, 2015","730.60","720.00","736.95","714.15","274.98K","2.14%"
"Mar 02, 2015","715.30","682.00","722.95","681.45","396.25K","4.96%"
"Feb 28, 2015","681.50","674.30","685.00","663.00","125.68K","1.84%"
"Feb 27, 2015","669.20","664.00","671.75","656.10","100.15K","1.51%"
"Feb 26, 2015","659.25","678.00","680.75","656.00","146.62K","-2.51%"
"Feb 25, 2015","676.20","678.00","684.90","671.75","91.33K","-0.12%"
"Feb 24, 2015","677.00","674.10","680.00","670.80","148.70K","1.23%"
"Feb 23, 2015","668.80","676.55","682.70","666.10","186.41K","-0.85%"
"Feb 20, 2015","674.55","685.00","689.80","672.15","141.67K","-1.01%"
"Feb 19, 2015","681.45","682.00","691.40","672.75","153.01K","0.72%"
"Feb 18, 2015","676.55","677.50","682.00","668.00","132.75K","0.92%"
"Feb 16, 2015","670.40","669.15","678.90","668.00","148.12K","0.34%"
"Feb 13, 2015","668.10","661.80","701.60","660.30","725.41K","0.92%"
"Feb 12, 2015","662.00","640.00","664.95","633.80","1.49M","4.07%"
"Feb 11, 2015","636.10","637.65","640.90","631.00","471.16K","-0.50%"
"Feb 10, 2015","639.30","631.00","641.50","624.00","209.19K","1.53%"
"Feb 09, 2015","629.65","650.00","656.00","626.10","174.85K","-3.90%"
"Feb 06, 2015","655.20","680.80","682.25","646.05","211.29K","-1.02%"
"Feb 05, 2015","661.95","676.00","676.00","658.10","96.13K","-2.35%"
"Feb 04, 2015","677.90","687.00","688.00","667.10","181.99K","-0.02%"
"Feb 03, 2015","678.05","695.50","700.00","673.35","178.36K","-2.52%"
"Feb 02, 2015","695.60","698.00","706.00","691.05","143.14K","-0.06%"
"Jan 30, 2015","696.05","696.00","702.20","690.20","140.43K","0.11%"
"Jan 29, 2015","695.30","703.00","711.45","687.00","332.97K","-0.97%"
"Jan 28, 2015","702.10","705.00","706.15","693.00","152.97K","-0.55%"
"Jan 27, 2015","705.95","685.00","709.00","683.60","255.44K","4.62%"
"Jan 23, 2015","674.75","656.00","684.45","655.00","300.10K","3.15%"
"Jan 22, 2015","654.15","644.00","656.40","641.55","217.75K","1.73%"
"Jan 21, 2015","643.00","662.00","663.20","640.00","159.67K","-2.37%"
"Jan 20, 2015","658.60","660.00","666.00","656.50","189.15K","0.18%"
"Jan 19, 2015","657.40","650.00","660.00","650.00","304.15K","1.61%"
"Jan 16, 2015","647.00","639.90","649.50","639.90","86.23K","1.47%"
"Jan 15, 2015","637.60","637.00","639.50","633.05","84.41K","1.03%"
"Jan 14, 2015","631.10","636.10","641.55","629.00","91.84K","-0.82%"
"Jan 13, 2015","636.30","629.00","644.90","629.00","102.79K","0.84%"
"Jan 12, 2015","631.00","631.25","637.00","626.05","68.07K","-0.21%"
"Jan 09, 2015","632.35","622.00","641.00","622.00","206.42K","2.33%"
"Jan 08, 2015","617.95","615.00","621.40","614.30","72.02K","0.97%"
"Jan 07, 2015","612.00","615.00","617.75","604.80","64.26K","-0.33%"
"Jan 06, 2015","614.00","631.00","633.00","610.10","100.85K","-2.96%"
"Jan 05, 2015","632.75","630.10","637.50","627.75","104.05K","0.41%"
"Jan 02, 2015","630.15","628.05","637.50","628.05","62.01K","0.30%"
"Jan 01, 2015","628.25","627.10","634.95","627.00","55.34K","0.39%"
"Dec 31, 2014","625.80","625.30","629.30","624.05","38.02K","0.04%"
