"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 03, 2019","1,857.65","1,848.85","1,857.65","1,840.60","-","-0.10%"
"Feb 24, 2019","1,859.45","1,897.95","1,900.60","1,821.55","305.87K","-1.36%"
"Feb 17, 2019","1,885.05","1,875.00","1,898.40","1,846.50","373.46K","0.53%"
"Feb 10, 2019","1,875.20","1,944.00","1,958.40","1,858.30","249.34K","-3.54%"
"Feb 03, 2019","1,943.95","1,961.05","1,993.15","1,936.20","215.25K","-0.87%"
"Jan 27, 2019","1,961.00","1,975.95","1,980.00","1,862.05","863.55K","-0.84%"
"Jan 20, 2019","1,977.60","2,007.70","2,016.25","1,942.30","302.05K","-1.52%"
"Jan 13, 2019","2,008.05","1,990.00","2,015.00","1,950.00","466.91K","1.03%"
"Jan 06, 2019","1,987.65","1,986.00","2,007.00","1,948.20","5.31M","0.84%"
"Dec 30, 2018","1,971.15","1,994.00","2,018.60","1,932.40","609.87K","-0.45%"
"Dec 23, 2018","1,980.10","1,950.00","1,989.00","1,884.75","214.96K","1.57%"
"Dec 16, 2018","1,949.45","1,919.00","1,982.40","1,915.50","1.17M","2.38%"
"Dec 09, 2018","1,904.15","1,940.00","1,961.15","1,857.00","233.01K","-2.46%"
"Dec 02, 2018","1,952.25","1,991.00","2,015.00","1,919.00","593.94K","-1.59%"
"Nov 25, 2018","1,983.70","1,876.25","1,994.25","1,870.50","1.35M","5.83%"
"Nov 18, 2018","1,874.50","1,898.00","1,907.00","1,865.00","123.36K","-0.69%"
"Nov 11, 2018","1,887.55","1,824.00","1,893.00","1,784.10","614.77K","3.89%"
"Nov 04, 2018","1,816.90","1,817.00","1,832.60","1,775.00","208.21K","-0.30%"
"Oct 28, 2018","1,822.30","1,700.00","1,834.45","1,653.55","1.26M","7.11%"
"Oct 21, 2018","1,701.40","1,685.00","1,747.90","1,646.00","514.06K","2.41%"
"Oct 14, 2018","1,661.30","1,750.00","1,776.00","1,653.00","220.32K","-3.99%"
"Oct 07, 2018","1,730.35","1,699.00","1,765.80","1,646.75","858.59K","0.89%"
"Sep 30, 2018","1,715.15","1,760.00","1,819.10","1,685.00","405.52K","-2.30%"
"Sep 23, 2018","1,755.50","1,842.00","1,847.95","1,704.45","858.70K","-4.35%"
"Sep 16, 2018","1,835.25","1,926.00","1,926.00","1,782.25","302.82K","-4.72%"
"Sep 09, 2018","1,926.25","1,921.00","1,930.00","1,856.75","2.29M","0.07%"
"Sep 02, 2018","1,924.90","1,959.70","1,965.15","1,917.60","3.09M","-0.34%"
"Aug 26, 2018","1,931.50","1,921.65","1,969.00","1,911.05","231.80K","0.67%"
"Aug 19, 2018","1,918.70","1,897.00","1,950.00","1,891.30","288.51K","1.86%"
"Aug 12, 2018","1,883.60","1,970.00","1,975.00","1,881.50","2.55M","-4.65%"
"Aug 05, 2018","1,975.40","1,991.00","1,994.20","1,952.10","1.33M","0.05%"
"Jul 29, 2018","1,974.35","2,045.00","2,051.00","1,928.15","2.06M","-3.43%"
"Jul 22, 2018","2,044.45","1,977.00","2,048.00","1,961.00","309.61K","3.51%"
"Jul 15, 2018","1,975.20","2,000.00","2,023.90","1,957.50","218.25K","0.12%"
"Jul 08, 2018","1,972.90","1,920.00","1,979.00","1,901.60","579.66K","2.98%"
"Jul 01, 2018","1,915.75","1,925.00","1,938.15","1,876.60","136.90K","0.44%"
"Jun 24, 2018","1,907.35","1,918.00","1,935.00","1,865.80","217.61K","0.26%"
"Jun 17, 2018","1,902.40","1,835.00","1,908.45","1,816.00","726.87K","3.86%"
"Jun 10, 2018","1,831.75","1,841.00","1,862.65","1,826.20","125.30K","-0.46%"
"Jun 03, 2018","1,840.20","1,852.20","1,872.95","1,820.10","773.37K","-0.17%"
"May 27, 2018","1,843.35","1,837.00","1,855.90","1,782.00","762.44K","1.28%"
"May 20, 2018","1,820.00","1,852.00","1,857.00","1,780.00","691.77K","-2.01%"
"May 13, 2018","1,857.25","1,922.00","1,941.45","1,853.15","632.76K","-3.33%"
"May 06, 2018","1,921.20","1,912.00","1,926.70","1,882.25","673.99K","0.48%"
"Apr 29, 2018","1,912.05","1,857.30","1,949.00","1,857.30","1.06M","2.92%"
"Apr 22, 2018","1,857.85","1,840.00","1,869.00","1,822.25","782.02K","1.43%"
"Apr 15, 2018","1,831.65","1,839.90","1,900.00","1,831.55","1.55M","-0.49%"
"Apr 08, 2018","1,840.60","1,830.05","1,849.70","1,804.90","755.36K","0.60%"
"Apr 01, 2018","1,829.60","1,835.00","1,852.70","1,794.00","170.09K","0.29%"
"Mar 25, 2018","1,824.40","1,770.25","1,869.85","1,770.25","1.26M","2.20%"
"Mar 18, 2018","1,785.15","1,800.00","1,837.50","1,770.00","913.87K","-0.32%"
"Mar 11, 2018","1,790.80","1,825.15","1,879.90","1,784.50","794.73K","-1.52%"
"Mar 04, 2018","1,818.45","1,814.75","1,834.40","1,752.15","916.58K","0.32%"
"Feb 25, 2018","1,812.65","1,822.00","1,852.75","1,803.10","548.89K","-0.62%"
"Feb 18, 2018","1,824.05","1,816.25","1,844.00","1,802.00","2.16M","0.44%"
"Feb 11, 2018","1,816.10","1,785.00","1,848.90","1,763.20","945.88K","2.42%"
"Feb 04, 2018","1,773.20","1,885.05","1,885.05","1,760.00","1.26M","-6.84%"
"Jan 28, 2018","1,903.30","1,908.00","1,982.00","1,895.00","1.70M","0.04%"
"Jan 21, 2018","1,902.55","1,912.00","1,924.70","1,863.95","4.44M","0.11%"
"Jan 14, 2018","1,900.45","1,781.00","1,917.00","1,779.70","5.97M","7.90%"
"Jan 07, 2018","1,761.25","1,725.20","1,764.50","1,722.00","608.35K","2.05%"
"Dec 31, 2017","1,725.95","1,712.00","1,730.80","1,681.95","1.63M","0.91%"
"Dec 24, 2017","1,710.40","1,711.00","1,720.00","1,690.00","185.35K","0.12%"
"Dec 17, 2017","1,708.35","1,729.00","1,740.00","1,681.00","370.95K","-0.84%"
"Dec 10, 2017","1,722.85","1,680.05","1,734.00","1,680.05","4.87M","2.72%"
"Dec 03, 2017","1,677.25","1,657.00","1,689.95","1,642.00","1.01M","1.08%"
"Nov 26, 2017","1,659.25","1,710.15","1,734.95","1,652.00","347.16K","-2.98%"
"Nov 19, 2017","1,710.15","1,701.20","1,724.90","1,684.35","197.89K","0.54%"
"Nov 12, 2017","1,701.00","1,709.00","1,725.00","1,650.00","534.61K","-0.40%"
"Nov 05, 2017","1,707.75","1,775.35","1,804.50","1,697.10","309.85K","-3.81%"
"Oct 29, 2017","1,775.35","1,705.00","1,789.75","1,685.50","388.59K","4.56%"
"Oct 22, 2017","1,698.00","1,747.10","1,748.45","1,638.00","759.20K","-2.83%"
"Oct 15, 2017","1,747.45","1,750.00","1,778.90","1,741.00","117.06K","-1.01%"
"Oct 08, 2017","1,765.30","1,740.10","1,773.50","1,732.00","402.93K","1.45%"
"Oct 01, 2017","1,740.00","1,750.00","1,777.20","1,733.05","421.67K","-0.04%"
