"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 03, 2019","1,723.30","1,737.00","1,739.00","1,717.80","-","-0.67%"
"Feb 24, 2019","1,734.95","1,775.00","1,788.00","1,728.00","266.71K","-1.86%"
"Feb 17, 2019","1,767.80","1,775.00","1,775.00","1,722.00","296.76K","-0.30%"
"Feb 10, 2019","1,773.05","1,818.00","1,818.00","1,748.50","298.97K","-2.44%"
"Feb 03, 2019","1,817.40","1,798.90","1,847.15","1,796.25","878.26K","1.18%"
"Jan 27, 2019","1,796.25","1,764.00","1,832.00","1,725.00","552.98K","2.47%"
"Jan 20, 2019","1,753.00","1,762.95","1,783.60","1,736.50","736.57K","0.53%"
"Jan 13, 2019","1,743.70","1,770.00","1,793.20","1,728.65","994.81K","-1.39%"
"Jan 06, 2019","1,768.35","1,790.35","1,804.20","1,755.00","532.01K","-0.67%"
"Dec 30, 2018","1,780.25","1,822.00","1,860.00","1,772.55","405.57K","-2.19%"
"Dec 23, 2018","1,820.10","1,811.30","1,834.00","1,742.00","770.97K","0.91%"
"Dec 16, 2018","1,803.60","1,861.60","1,870.50","1,796.75","2.04M","-2.87%"
"Dec 09, 2018","1,856.80","1,808.00","1,865.00","1,772.00","483.75K","1.86%"
"Dec 02, 2018","1,822.85","1,779.90","1,852.00","1,746.50","837.67K","3.95%"
"Nov 25, 2018","1,753.60","1,678.00","1,796.70","1,678.00","658.02K","4.71%"
"Nov 18, 2018","1,674.65","1,690.15","1,710.00","1,663.30","177.56K","-0.95%"
"Nov 11, 2018","1,690.75","1,675.00","1,739.00","1,637.00","1.04M","1.09%"
"Nov 04, 2018","1,672.55","1,639.70","1,678.90","1,612.00","182.17K","2.38%"
"Oct 28, 2018","1,633.60","1,561.00","1,645.90","1,522.00","395.50K","4.69%"
"Oct 21, 2018","1,560.45","1,583.00","1,594.50","1,547.35","614.56K","-1.19%"
"Oct 14, 2018","1,579.20","1,563.70","1,594.95","1,500.40","531.25K","0.67%"
"Oct 07, 2018","1,568.65","1,559.45","1,578.00","1,477.90","721.61K","0.59%"
"Sep 30, 2018","1,559.45","1,608.00","1,650.55","1,529.00","593.88K","-3.00%"
"Sep 23, 2018","1,607.65","1,629.50","1,657.25","1,568.00","602.24K","-0.86%"
"Sep 16, 2018","1,621.65","1,630.15","1,679.00","1,595.25","538.90K","-0.52%"
"Sep 09, 2018","1,630.15","1,637.00","1,648.70","1,578.60","707.82K","-0.54%"
"Sep 02, 2018","1,638.95","1,781.00","1,786.00","1,599.00","768.27K","-7.96%"
"Aug 26, 2018","1,780.60","1,788.00","1,796.35","1,750.00","208.04K","-0.06%"
"Aug 19, 2018","1,781.75","1,780.15","1,807.75","1,750.00","184.49K","0.05%"
"Aug 12, 2018","1,780.80","1,743.00","1,785.00","1,723.00","213.77K","1.84%"
"Aug 05, 2018","1,748.70","1,764.95","1,764.95","1,715.60","305.07K","-0.61%"
"Jul 29, 2018","1,759.45","1,669.50","1,764.85","1,652.20","427.29K","6.15%"
