"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 03, 2019","735.00","738.10","742.20","733.40","-","-0.83%"
"Feb 24, 2019","741.15","735.00","757.80","732.10","1.59M","1.06%"
"Feb 17, 2019","733.35","741.00","747.50","723.00","1.08M","-1.13%"
"Feb 10, 2019","741.75","760.00","768.65","733.00","1.27M","-2.38%"
"Feb 03, 2019","759.85","755.00","771.15","747.85","1.50M","0.44%"
"Jan 27, 2019","756.55","732.90","761.80","716.55","3.28M","3.61%"
"Jan 20, 2019","730.20","728.99","746.59","721.40","1.29M","0.44%"
"Jan 13, 2019","727.00","702.14","734.61","691.90","3.87M","6.92%"
"Jan 06, 2019","679.96","663.30","686.03","658.73","4.16M","3.47%"
"Dec 30, 2018","657.14","655.40","673.30","647.59","1.80M","0.48%"
"Dec 23, 2018","654.00","654.40","660.27","634.21","1.82M","1.83%"
"Dec 16, 2018","642.22","709.10","710.10","640.28","4.15M","-8.98%"
"Dec 09, 2018","705.60","678.00","713.00","660.95","1.90M","3.60%"
"Dec 02, 2018","681.05","670.50","688.40","664.50","2.49M","2.18%"
"Nov 25, 2018","666.50","623.50","675.00","600.65","4.55M","7.42%"
"Nov 18, 2018","620.45","655.00","662.00","612.20","2.89M","-4.61%"
"Nov 11, 2018","650.45","666.00","676.40","640.25","3.37M","-1.66%"
"Nov 04, 2018","661.45","663.00","679.45","657.05","1.64M","-0.09%"
"Oct 28, 2018","662.05","633.00","693.90","631.70","2.36M","4.51%"
"Oct 21, 2018","633.50","691.00","705.00","630.00","3.59M","-7.19%"
"Oct 14, 2018","682.60","690.00","721.00","678.50","3.19M","0.52%"
"Oct 07, 2018","679.05","725.05","728.50","662.60","2.85M","-5.93%"
"Sep 30, 2018","721.85","735.10","754.95","702.90","4.86M","-0.82%"
"Sep 23, 2018","727.85","709.00","738.00","705.50","2.70M","3.05%"
"Sep 16, 2018","706.30","736.40","740.00","692.00","1.42M","-3.93%"
"Sep 09, 2018","735.20","737.00","746.50","729.65","1.44M","0.28%"
