"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 05, 2017","202.93","204.25","204.25","200.55","222.33K","-0.74%"
"Oct 04, 2017","204.45","209.38","209.38","203.40","965.80K","0.54%"
"Oct 03, 2017","203.35","200.75","205.28","199.38","466.53K","1.66%"
"Sep 29, 2017","200.03","197.07","202.50","196.88","461.25K","0.69%"
"Sep 28, 2017","198.65","196.00","200.45","187.40","911.54K","0.43%"
"Sep 27, 2017","197.80","198.10","203.95","196.40","421.91K","-0.95%"
"Sep 26, 2017","199.70","199.50","201.75","192.55","852.93K","0.25%"
"Sep 25, 2017","199.20","202.50","203.97","198.60","349.38K","-2.53%"
"Sep 22, 2017","204.38","206.05","206.68","199.70","572.30K","-1.05%"
"Sep 21, 2017","206.55","207.25","209.80","205.82","1.11M","-0.17%"
"Sep 20, 2017","206.90","210.95","212.45","206.15","707.67K","-1.00%"
"Sep 19, 2017","209.00","208.00","211.25","206.32","904.82K","0.63%"
"Sep 18, 2017","207.70","210.50","210.50","207.10","558.92K","0.07%"
"Sep 15, 2017","207.55","210.45","212.38","206.65","570.06K","-1.14%"
"Sep 14, 2017","209.95","215.00","217.30","207.05","857.29K","0.90%"
"Sep 13, 2017","208.07","219.47","220.65","203.95","1.12M","-4.28%"
"Sep 12, 2017","217.38","216.00","218.30","214.97","900.13K","1.49%"
"Sep 11, 2017","214.18","214.28","217.75","213.80","566.82K","0.11%"
"Sep 08, 2017","213.95","217.65","219.07","212.75","819.25K","-0.67%"
"Sep 07, 2017","215.40","216.18","217.40","213.40","1.38M","0.58%"
"Sep 06, 2017","214.15","216.00","217.75","213.00","1.27M","-0.81%"
"Sep 05, 2017","215.90","215.57","218.50","214.45","1.20M","0.54%"
"Sep 04, 2017","214.75","224.07","224.07","213.80","2.19M","-4.17%"
"Sep 01, 2017","224.10","230.00","230.00","223.65","688.40K","-1.26%"
"Aug 31, 2017","226.97","227.90","231.30","224.07","1.46M","0.46%"
"Aug 30, 2017","225.93","220.00","227.12","219.00","1.51M","3.97%"
"Aug 29, 2017","217.30","220.10","223.20","216.05","412.72K","-1.20%"
"Aug 28, 2017","219.95","214.00","220.75","214.00","1.73M","2.76%"
"Aug 24, 2017","214.05","214.15","216.40","213.00","686.76K","0.47%"
"Aug 23, 2017","213.05","214.50","216.05","212.50","1.45M","0.72%"
"Aug 22, 2017","211.53","207.53","214.65","207.53","1.06M","2.46%"
"Aug 21, 2017","206.45","216.50","219.00","205.20","900.37K","-3.26%"
"Aug 18, 2017","213.40","212.75","218.00","212.20","2.00M","0.32%"
"Aug 17, 2017","212.72","214.50","214.50","211.57","479.56K","0.86%"
"Aug 16, 2017","210.90","210.57","213.95","210.32","631.94K","0.61%"
"Aug 14, 2017","209.62","207.50","212.03","205.35","401.33K","1.68%"
"Aug 11, 2017","206.15","203.00","207.68","202.00","790.34K","0.41%"
"Aug 10, 2017","205.30","205.75","210.50","201.88","1.58M","-0.52%"
"Aug 09, 2017","206.38","203.50","212.80","202.18","1.02M","0.15%"
"Aug 08, 2017","206.07","215.25","215.25","204.20","528.95K","-4.44%"
"Aug 07, 2017","215.65","210.00","216.72","207.35","1.56M","3.23%"
"Aug 04, 2017","208.90","195.93","212.78","195.93","3.57M","7.99%"
"Aug 03, 2017","193.45","185.32","197.28","185.32","3.11M","4.60%"
"Aug 02, 2017","184.95","186.55","186.55","183.12","933.17K","-0.04%"
"Aug 01, 2017","185.03","187.45","187.68","184.72","650.72K","0.73%"
"Jul 31, 2017","183.68","184.50","186.80","183.00","481.22K","0.00%"
"Jul 28, 2017","183.68","184.72","185.00","182.25","500.84K","-0.26%"
"Jul 27, 2017","184.15","186.90","187.65","183.53","505.50K","-1.47%"
"Jul 26, 2017","186.90","187.50","188.00","186.10","153.97K","-0.12%"
"Jul 25, 2017","187.12","190.75","190.75","186.80","570.12K","-0.73%"
"Jul 24, 2017","188.50","191.00","191.43","188.05","1.54M","-0.89%"
"Jul 21, 2017","190.20","187.72","191.50","186.90","1.18M","1.59%"
"Jul 20, 2017","187.22","187.72","188.88","186.25","293.48K","-0.21%"
"Jul 19, 2017","187.62","188.00","189.00","186.00","638.81K","0.85%"
"Jul 18, 2017","186.03","186.50","189.03","185.25","1.16M","-0.39%"
"Jul 17, 2017","186.75","187.03","188.38","184.53","543.49K","0.11%"
"Jul 14, 2017","186.55","191.03","192.82","185.72","2.22M","-2.01%"
"Jul 13, 2017","190.38","197.50","197.88","189.05","938.61K","-3.04%"
"Jul 12, 2017","196.35","195.65","199.15","194.97","581.64K","1.45%"
"Jul 11, 2017","193.55","192.55","194.28","190.50","649.59K","1.18%"
"Jul 10, 2017","191.30","194.00","194.00","190.68","1.78M","0.18%"
"Jul 07, 2017","190.95","192.45","192.45","188.65","241.25K","0.12%"
"Jul 06, 2017","190.72","193.20","193.20","190.25","240.08K","-1.08%"
"Jul 05, 2017","192.80","191.07","193.43","190.15","296.01K","0.91%"
"Jul 04, 2017","191.07","194.35","196.18","190.25","447.07K","-1.18%"
"Jul 03, 2017","193.35","194.82","194.82","191.05","315.94K","0.47%"
"Jun 30, 2017","192.45","193.43","194.82","190.90","263.23K","-0.51%"
"Jun 29, 2017","193.43","194.00","195.90","191.05","361.62K","-0.22%"
"Jun 28, 2017","193.85","193.50","199.75","193.15","355.70K","-0.63%"
"Jun 27, 2017","195.07","192.00","195.50","188.25","441.31K","1.78%"
"Jun 23, 2017","191.65","197.25","197.32","189.22","1.77M","-2.61%"
"Jun 22, 2017","196.78","203.50","204.95","196.22","1.01M","-3.61%"
"Jun 21, 2017","204.15","206.00","206.35","203.62","266.67K","-0.71%"
"Jun 20, 2017","205.62","203.70","207.15","203.70","216.19K","1.13%"
"Jun 19, 2017","203.32","204.00","204.50","202.05","301.36K","0.51%"
"Jun 16, 2017","202.28","203.90","209.25","201.50","718.05K","-0.63%"
"Jun 15, 2017","203.57","209.00","211.68","202.25","497.02K","-3.12%"
"Jun 14, 2017","210.12","209.00","212.18","208.57","460.16K","0.22%"
"Jun 13, 2017","209.65","212.03","212.50","209.05","318.69K","-0.76%"
"Jun 12, 2017","211.25","210.03","212.28","209.15","1.02M","0.61%"
"Jun 09, 2017","209.97","208.62","211.82","207.82","450.40K","0.25%"
"Jun 08, 2017","209.45","215.20","215.20","208.60","306.52K","-1.72%"
"Jun 07, 2017","213.12","212.25","214.47","211.15","1.27M","0.46%"
"Jun 06, 2017","212.15","211.50","214.80","210.10","661.06K","0.94%"
"Jun 05, 2017","210.18","207.75","211.25","207.75","497.14K","1.41%"
"Jun 02, 2017","207.25","207.75","209.72","205.65","429.01K","0.11%"
"Jun 01, 2017","207.03","214.22","214.25","205.43","976.30K","-4.12%"
"May 31, 2017","215.93","212.00","219.22","210.60","7.51M","2.85%"
"May 30, 2017","209.95","209.50","214.30","209.50","412.98K","0.41%"
"May 29, 2017","209.10","213.00","216.50","207.82","796.55K","-1.91%"
"May 26, 2017","213.18","216.00","216.70","208.15","1.17M","-2.81%"
"May 25, 2017","219.35","216.10","221.90","211.78","729.99K","1.87%"
"May 24, 2017","215.32","214.90","218.90","210.90","350.32K","1.55%"
"May 23, 2017","212.03","213.03","215.47","209.35","281.98K","-0.32%"
"May 22, 2017","212.72","220.00","220.00","212.25","272.27K","-2.25%"
"May 19, 2017","217.62","220.50","223.38","216.80","252.47K","-1.04%"
"May 18, 2017","219.90","222.12","223.00","219.60","130.74K","-0.97%"
"May 17, 2017","222.05","223.47","224.75","221.20","253.80K","-0.52%"
"May 16, 2017","223.22","223.00","225.32","221.50","458.60K","1.09%"
"May 15, 2017","220.82","218.00","221.80","216.93","480.69K","1.69%"
"May 12, 2017","217.15","216.50","219.00","214.10","447.99K","0.36%"
"May 11, 2017","216.38","222.00","222.05","216.00","367.77K","-1.92%"
"May 10, 2017","220.62","221.78","222.25","217.80","590.36K","-0.01%"
"May 09, 2017","220.65","215.82","221.50","215.12","1.70M","3.02%"
"May 08, 2017","214.18","216.57","219.35","213.62","595.96K","-1.10%"
"May 05, 2017","216.57","221.50","222.32","215.07","308.70K","-0.67%"
"May 04, 2017","218.03","220.95","222.50","217.20","234.55K","-1.20%"
"May 03, 2017","220.68","222.50","224.95","218.62","655.60K","-0.38%"
"May 02, 2017","221.53","220.00","224.05","220.00","367.85K","0.73%"
"Apr 28, 2017","219.93","223.50","224.00","216.53","420.20K","-0.73%"
"Apr 27, 2017","221.55","217.25","222.25","215.50","489.51K","2.28%"
"Apr 26, 2017","216.62","219.80","220.18","213.62","327.34K","-0.72%"
"Apr 25, 2017","218.20","211.00","218.95","211.00","530.79K","3.45%"
"Apr 24, 2017","210.93","213.00","213.30","208.20","297.49K","-0.64%"
"Apr 21, 2017","212.28","214.00","216.82","211.45","321.38K","-0.69%"
"Apr 20, 2017","213.75","217.50","219.12","212.25","425.13K","-1.76%"
"Apr 19, 2017","217.57","214.50","218.68","213.12","432.39K","0.84%"
"Apr 18, 2017","215.75","213.53","219.40","213.47","6.55M","1.65%"
"Apr 17, 2017","212.25","213.50","215.80","209.25","724.21K","0.50%"
"Apr 13, 2017","211.20","205.00","214.35","204.15","1.24M","3.30%"
"Apr 12, 2017","204.45","207.50","207.50","202.65","611.78K","-0.07%"
"Apr 11, 2017","204.60","207.47","207.47","203.93","476.75K","-0.54%"
"Apr 10, 2017","205.72","202.50","206.90","201.47","1.80M","3.59%"
"Apr 07, 2017","198.60","193.85","199.90","192.68","2.02M","3.07%"
"Apr 06, 2017","192.68","190.78","193.45","190.00","243.69K","1.04%"
"Apr 05, 2017","190.70","191.50","192.38","190.10","445.20K","0.03%"
"Apr 03, 2017","190.65","193.60","193.60","189.50","226.42K","-1.41%"
"Mar 31, 2017","193.38","189.15","195.60","188.55","1.27M","3.44%"
"Mar 30, 2017","186.95","186.50","188.62","185.10","1.12M","0.97%"
"Mar 29, 2017","185.15","184.95","185.95","183.25","1.18M","0.16%"
"Mar 28, 2017","184.85","185.25","186.05","183.30","190.67K","-0.40%"
"Mar 27, 2017","185.60","186.10","187.57","184.65","321.64K","-0.40%"
"Mar 24, 2017","186.35","188.00","188.00","185.88","1.16M","-0.99%"
"Mar 23, 2017","188.22","189.50","191.93","187.57","557.42K","1.07%"
"Mar 22, 2017","186.22","186.00","187.97","183.68","564.66K","0.17%"
"Mar 21, 2017","185.90","186.00","187.18","185.30","116.18K","0.22%"
"Mar 20, 2017","185.50","187.95","188.00","184.80","567.56K","-1.29%"
"Mar 17, 2017","187.93","188.50","189.50","187.40","362.95K","-0.04%"
"Mar 16, 2017","188.00","186.75","188.50","185.50","640.20K","1.74%"
"Mar 15, 2017","184.78","188.75","188.75","184.32","308.92K","-1.20%"
"Mar 14, 2017","187.03","188.00","189.05","186.32","325.77K","0.42%"
