"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 03, 2019","277.85","278.85","279.60","276.25","-","0.02%"
"Feb 24, 2019","277.80","275.00","278.75","273.30","2.69M","1.28%"
"Feb 17, 2019","274.30","280.50","282.15","273.25","2.66M","-1.90%"
"Feb 10, 2019","279.60","278.30","283.55","268.50","2.81M","1.36%"
"Feb 03, 2019","275.85","281.70","281.70","272.85","2.24M","-1.76%"
"Jan 27, 2019","280.80","279.30","284.90","273.70","4.22M","0.56%"
"Jan 20, 2019","279.25","291.00","294.30","275.00","4.91M","-4.07%"
"Jan 13, 2019","291.10","295.40","297.35","290.05","2.47M","-1.46%"
"Jan 06, 2019","295.40","283.35","296.00","281.20","3.40M","5.22%"
"Dec 30, 2018","280.75","283.50","284.00","277.75","2.23M","-0.43%"
"Dec 23, 2018","281.95","278.00","284.00","274.75","1.74M","1.97%"
"Dec 16, 2018","276.50","275.75","284.25","275.60","2.45M","0.31%"
"Dec 09, 2018","275.65","273.50","279.30","268.20","4.35M","0.57%"
"Dec 02, 2018","274.10","287.25","289.40","271.30","4.16M","-4.24%"
"Nov 25, 2018","286.25","281.25","290.05","280.80","2.26M","2.07%"
"Nov 18, 2018","280.45","277.50","286.35","276.50","2.68M","1.52%"
"Nov 11, 2018","276.25","278.45","279.20","273.25","3.94M","-0.36%"
"Nov 04, 2018","277.25","286.40","286.40","276.00","1.47M","-1.81%"
"Oct 28, 2018","282.35","282.00","285.00","273.15","2.92M","0.61%"
"Oct 21, 2018","280.65","292.70","292.95","276.25","3.67M","-2.70%"
"Oct 14, 2018","288.45","278.00","291.95","276.30","4.77M","5.01%"
"Oct 07, 2018","274.70","279.30","279.30","263.60","3.03M","-0.88%"
"Sep 30, 2018","277.15","300.65","302.95","275.95","2.86M","-6.59%"
"Sep 23, 2018","296.70","305.00","306.25","289.50","5.61M","-2.32%"
"Sep 16, 2018","303.75","305.90","306.25","298.10","2.87M","-1.04%"
"Sep 09, 2018","306.95","311.00","312.00","295.65","5.43M","-1.11%"
"Sep 02, 2018","310.40","322.35","322.70","307.00","3.01M","-2.74%"
"Aug 26, 2018","319.15","312.80","322.60","310.00","3.87M","2.84%"
"Aug 19, 2018","310.35","314.95","317.00","306.90","2.74M","-1.08%"
"Aug 12, 2018","313.75","304.80","315.20","303.60","3.89M","2.97%"
"Aug 05, 2018","304.70","304.20","306.90","299.85","3.90M","0.31%"
"Jul 29, 2018","303.75","302.70","305.50","295.70","3.69M","0.51%"
"Jul 22, 2018","302.20","276.00","307.00","276.00","9.25M","10.51%"
"Jul 15, 2018","273.45","271.00","274.80","266.20","3.09M","1.13%"
"Jul 08, 2018","270.40","275.00","279.90","269.75","2.75M","-0.70%"
"Jul 01, 2018","272.30","268.00","274.35","260.35","5.45M","2.35%"
"Jun 24, 2018","266.05","265.15","266.75","258.90","2.67M","0.34%"
"Jun 17, 2018","265.15","264.50","267.30","260.15","1.78M","0.25%"
"Jun 10, 2018","264.50","267.85","274.00","263.80","2.80M","-1.25%"
"Jun 03, 2018","267.85","270.00","272.20","266.80","6.24M","-0.70%"
"May 27, 2018","269.75","274.40","277.70","269.10","1.59M","-0.81%"
"May 20, 2018","271.95","284.00","284.00","268.70","1.80M","-3.62%"
"May 13, 2018","282.15","282.05","288.85","276.10","5.06M","-0.62%"
"May 06, 2018","283.90","278.00","285.85","276.10","1.69M","2.31%"
"Apr 29, 2018","277.50","280.00","289.55","276.00","2.25M","-0.63%"
"Apr 22, 2018","279.25","276.25","281.00","272.85","2.81M","1.20%"
"Apr 15, 2018","275.95","261.45","279.90","260.75","3.99M","5.81%"
"Apr 08, 2018","260.80","262.00","268.20","260.00","2.61M","0.08%"
"Apr 01, 2018","260.60","258.50","261.90","255.50","1.74M","1.84%"
"Mar 25, 2018","255.90","251.30","265.75","251.30","2.39M","-0.16%"
"Mar 18, 2018","256.30","260.65","262.20","255.00","4.60M","-1.67%"
"Mar 11, 2018","260.65","263.00","271.70","258.85","5.31M","0.48%"
"Mar 04, 2018","259.40","263.50","263.60","253.40","2.70M","-1.59%"
"Feb 25, 2018","263.60","269.00","269.40","262.95","1.63M","-2.03%"
"Feb 18, 2018","269.05","266.40","270.00","262.10","3.43M","1.01%"
"Feb 11, 2018","266.35","271.40","273.85","265.00","1.75M","-1.82%"
"Feb 04, 2018","271.30","272.40","281.80","265.00","5.91M","-1.45%"
"Jan 28, 2018","275.30","281.00","290.15","267.65","12.27M","-1.98%"
"Jan 21, 2018","280.85","275.00","282.80","271.85","4.50M","2.56%"
"Jan 14, 2018","273.85","267.60","277.40","259.60","5.85M","2.37%"
"Jan 07, 2018","267.50","263.05","273.80","263.05","4.50M","1.75%"
"Dec 31, 2017","262.90","263.30","266.95","260.20","3.99M","-0.08%"
"Dec 24, 2017","263.10","263.00","265.45","260.10","1.30M","-0.09%"
"Dec 17, 2017","263.35","266.00","266.00","259.05","1.91M","-0.53%"
"Dec 10, 2017","264.75","264.00","267.40","257.60","9.83M","1.17%"
"Dec 03, 2017","261.70","255.50","262.55","250.50","4.57M","2.51%"
"Nov 26, 2017","255.30","260.65","260.70","255.00","1.72M","-1.94%"
"Nov 19, 2017","260.35","258.25","261.30","255.75","2.11M","1.09%"
"Nov 12, 2017","257.55","262.00","263.45","250.35","3.89M","-1.45%"
"Nov 05, 2017","261.35","267.75","267.75","259.25","3.59M","-1.53%"
"Oct 29, 2017","265.40","270.00","271.15","263.40","2.97M","-1.47%"
"Oct 22, 2017","269.35","269.75","276.10","265.90","3.05M","-0.09%"
"Oct 15, 2017","269.60","265.40","271.25","265.40","833.84K","1.41%"
"Oct 08, 2017","265.85","269.00","269.05","263.95","2.76M","-0.08%"
"Oct 01, 2017","266.05","259.25","269.10","258.10","2.25M","3.02%"
