"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 13, 2015","85.66","88.83","89.65","85.22","1.48M","-2.43%"
"Aug 12, 2015","87.79","89.00","91.30","87.36","1.63M","-2.12%"
"Aug 11, 2015","89.69","91.53","92.05","89.01","926.71K","-2.01%"
"Aug 10, 2015","91.53","92.00","93.45","90.90","949.15K","-0.76%"
"Aug 07, 2015","92.23","90.00","93.00","89.85","1.26M","2.28%"
"Aug 06, 2015","90.17","88.62","91.20","87.20","3.00M","1.76%"
"Aug 05, 2015","88.61","89.10","91.35","88.41","1.51M","0.60%"
"Aug 04, 2015","88.08","83.39","91.75","82.71","2.51M","5.60%"
"Aug 03, 2015","83.41","83.10","84.21","82.21","696.57K","-0.42%"
"Jul 31, 2015","83.76","85.00","85.35","82.86","1.38M","-1.16%"
"Jul 30, 2015","84.74","80.50","85.28","80.22","1.49M","4.30%"
"Jul 29, 2015","81.25","81.30","81.79","80.20","1.03M","0.17%"
"Jul 28, 2015","81.11","81.31","82.47","80.10","729.40K","-0.49%"
"Jul 27, 2015","81.51","85.00","85.00","81.20","687.15K","-3.54%"
"Jul 24, 2015","84.50","85.95","86.85","84.11","565.31K","-1.54%"
"Jul 23, 2015","85.82","86.03","86.75","85.30","644.05K","-0.24%"
"Jul 22, 2015","86.03","85.48","86.28","83.00","781.76K","2.89%"
"Jul 21, 2015","83.61","85.34","85.35","83.10","603.64K","-1.89%"
"Jul 20, 2015","85.22","85.80","86.59","85.10","402.46K","-0.76%"
"Jul 17, 2015","85.87","86.42","86.69","85.41","628.43K","-1.05%"
"Jul 16, 2015","86.78","82.94","87.22","82.56","1.35M","5.15%"
"Jul 15, 2015","82.53","84.00","84.12","82.30","854.16K","-0.91%"
"Jul 14, 2015","83.29","84.00","84.48","82.83","866.60K","-0.32%"
"Jul 13, 2015","83.56","83.10","84.08","82.17","918.39K","0.55%"
"Jul 10, 2015","83.10","84.50","84.97","81.90","1.07M","-1.20%"
"Jul 09, 2015","84.11","85.00","85.90","83.62","607.06K","-0.94%"
"Jul 08, 2015","84.91","87.50","87.50","84.38","1.13M","-3.13%"
"Jul 07, 2015","87.65","88.20","88.91","87.00","795.52K","-0.49%"
"Jul 06, 2015","88.08","86.70","88.50","84.69","936.32K","1.43%"
"Jul 03, 2015","86.84","88.61","89.45","86.62","624.36K","-2.01%"
"Jul 02, 2015","88.62","89.33","90.33","88.40","607.24K","-0.55%"
"Jul 01, 2015","89.11","87.33","89.38","87.33","578.98K","2.19%"
"Jun 30, 2015","87.20","86.10","87.85","86.10","686.62K","0.32%"
"Jun 29, 2015","86.92","88.00","88.00","86.00","679.61K","-2.30%"
"Jun 26, 2015","88.97","90.00","90.55","88.31","741.35K","-1.60%"
"Jun 25, 2015","90.42","89.19","91.00","88.22","607.59K","1.15%"
"Jun 24, 2015","89.39","91.40","91.54","89.05","749.12K","-1.74%"
"Jun 23, 2015","90.97","90.45","91.35","90.27","439.86K","0.44%"
"Jun 22, 2015","90.57","91.00","91.50","90.20","451.96K","0.08%"
"Jun 19, 2015","90.50","88.34","91.08","88.34","800.95K","2.55%"
"Jun 18, 2015","88.25","86.00","89.08","85.66","1.08M","1.79%"
"Jun 17, 2015","86.70","84.83","88.59","83.80","1.55M","3.29%"
"Jun 16, 2015","83.94","84.09","84.50","83.16","600.78K","-0.52%"
"Jun 15, 2015","84.38","84.10","85.84","83.40","1.03M","0.13%"
"Jun 12, 2015","84.27","87.20","87.64","83.80","712.57K","-3.65%"
"Jun 11, 2015","87.46","89.36","90.67","87.00","599.83K","-1.83%"
"Jun 10, 2015","89.09","87.50","89.85","87.37","453.02K","1.58%"
"Jun 09, 2015","87.70","86.90","88.07","86.11","429.30K","1.08%"
"Jun 08, 2015","86.76","88.20","88.68","86.44","466.69K","-1.08%"
"Jun 05, 2015","87.71","86.90","88.52","86.55","614.63K","0.08%"
"Jun 04, 2015","87.64","87.50","88.80","86.80","390.85K","-0.13%"
"Jun 03, 2015","87.75","87.90","88.52","86.44","1.01M","-0.15%"
"Jun 02, 2015","87.88","91.03","91.28","87.12","559.41K","-3.43%"
"Jun 01, 2015","91.00","91.60","91.93","90.83","364.21K","-0.64%"
"May 29, 2015","91.59","91.20","93.30","90.66","864.44K","0.22%"
"May 28, 2015","91.39","92.00","92.27","90.65","539.62K","-0.39%"
"May 27, 2015","91.75","91.35","92.20","90.56","489.56K","0.58%"
"May 26, 2015","91.22","91.00","91.83","87.89","762.67K","0.68%"
"May 25, 2015","90.60","92.52","92.70","89.97","593.80K","-1.58%"
"May 22, 2015","92.05","92.50","92.75","91.59","429.12K","-0.28%"
"May 21, 2015","92.31","92.70","92.80","90.16","1.63M","0.17%"
"May 20, 2015","92.15","92.30","93.16","91.06","596.95K","-0.08%"
"May 19, 2015","92.22","91.50","92.95","90.41","763.08K","1.31%"
"May 18, 2015","91.03","87.08","91.30","85.16","1.51M","3.97%"
"May 15, 2015","87.55","90.44","90.44","87.00","1.73M","-3.27%"
"May 14, 2015","90.51","89.10","91.17","88.19","692.85K","1.96%"
"May 13, 2015","88.77","88.00","89.48","87.25","592.76K","0.84%"
"May 12, 2015","88.03","90.41","90.58","87.60","596.88K","-2.58%"
"May 11, 2015","90.36","90.00","91.80","89.86","726.05K","1.46%"
"May 08, 2015","89.06","89.45","90.57","88.53","817.83K","0.34%"
"May 07, 2015","88.76","93.40","93.40","87.72","1.46M","-4.40%"
"May 06, 2015","92.85","97.30","98.60","92.50","1.86M","-4.58%"
"May 05, 2015","97.31","94.00","97.90","93.80","1.65M","3.55%"
"May 04, 2015","93.97","94.90","94.90","92.81","652.13K","0.79%"
"Apr 30, 2015","93.23","95.00","95.17","92.51","1.07M","-2.66%"
"Apr 29, 2015","95.78","94.40","96.20","93.80","2.11M","1.35%"
"Apr 28, 2015","94.50","93.52","95.19","93.25","794.80K","0.75%"
