"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 03, 2019","1,235.50","1,222.10","1,236.90","1,219.70","-","0.73%"
"Feb 24, 2019","1,226.60","1,243.70","1,251.40","1,209.50","1.02M","-1.16%"
"Feb 17, 2019","1,241.05","1,282.70","1,297.40","1,234.00","4.98M","-3.33%"
"Feb 10, 2019","1,283.75","1,300.00","1,314.00","1,270.45","433.31K","-0.91%"
"Feb 03, 2019","1,295.55","1,258.00","1,308.00","1,242.75","477.20K","2.98%"
"Jan 27, 2019","1,258.10","1,265.65","1,284.00","1,213.00","717.41K","-0.56%"
"Jan 20, 2019","1,265.15","1,241.00","1,307.30","1,224.05","1.42M","2.25%"
"Jan 13, 2019","1,237.35","1,224.00","1,241.10","1,198.65","5.86M","1.32%"
"Jan 06, 2019","1,221.25","1,251.90","1,253.20","1,215.00","698.51K","-2.04%"
"Dec 30, 2018","1,246.70","1,242.00","1,259.85","1,228.10","591.70K","0.16%"
"Dec 23, 2018","1,244.65","1,234.90","1,263.00","1,211.00","445.65K","1.41%"
"Dec 16, 2018","1,227.40","1,259.00","1,265.95","1,209.30","1.15M","-2.22%"
"Dec 09, 2018","1,255.25","1,245.00","1,288.75","1,172.35","2.35M","-2.11%"
"Dec 02, 2018","1,282.25","1,248.00","1,345.35","1,172.90","2.14M","4.05%"
"Nov 25, 2018","1,232.35","1,179.00","1,240.00","1,153.25","403.29K","5.20%"
"Nov 18, 2018","1,171.40","1,173.00","1,188.20","1,162.40","728.98K","0.33%"
"Nov 11, 2018","1,167.50","1,149.00","1,173.65","1,123.00","1.07M","2.61%"
"Nov 04, 2018","1,137.85","1,136.00","1,141.20","1,116.00","526.55K","0.40%"
"Oct 28, 2018","1,133.30","1,159.95","1,160.80","1,099.00","2.13M","-2.22%"
"Oct 21, 2018","1,159.05","1,212.00","1,218.95","1,144.00","1.07M","-3.38%"
"Oct 14, 2018","1,199.55","1,172.00","1,206.00","1,156.85","532.85K","2.58%"
"Oct 07, 2018","1,169.40","1,050.50","1,174.50","1,044.70","1.65M","11.02%"
"Sep 30, 2018","1,053.35","1,095.00","1,140.00","1,002.30","1.16M","-7.88%"
"Sep 23, 2018","1,143.50","1,180.00","1,191.00","1,121.35","921.00K","-3.06%"
"Sep 16, 2018","1,179.65","1,230.00","1,246.00","1,146.65","467.93K","-4.67%"
"Sep 09, 2018","1,237.50","1,248.00","1,248.00","1,199.15","327.08K","-0.84%"
"Sep 02, 2018","1,247.95","1,294.90","1,294.90","1,227.60","455.03K","-2.91%"
"Aug 26, 2018","1,285.35","1,256.50","1,295.00","1,256.50","402.79K","2.43%"
"Aug 19, 2018","1,254.80","1,262.95","1,279.50","1,238.15","570.22K","-0.65%"
"Aug 12, 2018","1,262.95","1,283.00","1,299.90","1,242.25","596.51K","-1.85%"
"Aug 05, 2018","1,286.80","1,310.00","1,312.50","1,270.75","399.36K","-1.71%"
"Jul 29, 2018","1,309.20","1,310.95","1,326.00","1,276.10","409.88K","-0.14%"
"Jul 22, 2018","1,311.00","1,333.45","1,351.35","1,294.60","400.95K","-1.68%"
"Jul 15, 2018","1,333.45","1,414.95","1,424.00","1,328.10","645.65K","-5.08%"
"Jul 08, 2018","1,404.85","1,372.05","1,411.35","1,367.65","230.98K","2.50%"
"Jul 01, 2018","1,370.65","1,358.70","1,379.55","1,329.00","336.54K","2.15%"
"Jun 24, 2018","1,341.80","1,336.00","1,359.50","1,312.25","386.56K","1.63%"
"Jun 17, 2018","1,320.25","1,345.00","1,345.00","1,300.00","233.89K","-1.51%"
"Jun 10, 2018","1,340.45","1,325.00","1,343.85","1,314.05","176.59K","1.64%"
"Jun 03, 2018","1,318.80","1,329.40","1,334.75","1,293.20","1.50M","0.00%"
"May 27, 2018","1,318.80","1,310.00","1,395.95","1,270.60","1.52M","1.58%"
"May 20, 2018","1,298.25","1,295.00","1,306.75","1,242.65","381.09K","0.31%"
"May 13, 2018","1,294.25","1,262.30","1,301.45","1,259.35","470.85K","2.28%"
"May 06, 2018","1,265.45","1,237.05","1,270.45","1,226.00","317.05K","2.75%"
"Apr 29, 2018","1,231.55","1,203.00","1,287.75","1,193.65","776.12K","3.62%"
"Apr 22, 2018","1,188.55","1,155.00","1,206.20","1,151.50","228.61K","2.95%"
