"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 03, 2019","1,295.25","1,303.05","1,303.05","1,283.85","-","-1.02%"
"Feb 24, 2019","1,308.65","1,283.45","1,312.15","1,253.25","739.89K","2.28%"
"Feb 17, 2019","1,279.45","1,243.25","1,288.80","1,236.00","959.12K","2.91%"
"Feb 10, 2019","1,243.25","1,260.00","1,264.05","1,202.30","1.11M","-1.50%"
"Feb 03, 2019","1,262.20","1,325.00","1,326.05","1,258.95","732.07K","-4.71%"
"Jan 27, 2019","1,324.60","1,301.00","1,337.45","1,268.00","1.17M","3.04%"
"Jan 20, 2019","1,285.55","1,275.00","1,336.45","1,275.00","1.08M","-2.48%"
"Jan 13, 2019","1,318.25","1,369.00","1,369.00","1,313.00","736.72K","-3.79%"
"Jan 06, 2019","1,370.20","1,400.00","1,408.15","1,361.80","885.87K","-1.37%"
"Dec 30, 2018","1,389.30","1,444.00","1,450.00","1,373.85","590.08K","-3.46%"
"Dec 23, 2018","1,439.05","1,423.50","1,446.85","1,385.00","519.14K","1.31%"
"Dec 16, 2018","1,420.40","1,395.00","1,459.10","1,395.00","794.91K","0.63%"
"Dec 09, 2018","1,411.55","1,383.90","1,428.75","1,344.50","1.04M","0.94%"
"Dec 02, 2018","1,398.45","1,435.00","1,438.95","1,371.75","461.86K","-2.18%"
"Nov 25, 2018","1,429.65","1,410.30","1,435.00","1,399.25","1.14M","1.44%"
"Nov 18, 2018","1,409.35","1,402.00","1,422.00","1,393.70","473.89K","0.96%"
"Nov 11, 2018","1,396.00","1,369.90","1,412.85","1,358.80","978.33K","2.14%"
"Nov 04, 2018","1,366.70","1,359.00","1,377.65","1,344.00","457.55K","0.70%"
"Oct 28, 2018","1,357.20","1,210.00","1,382.00","1,199.00","1.81M","13.29%"
"Oct 21, 2018","1,197.95","1,212.00","1,222.00","1,183.40","472.79K","-0.84%"
"Oct 14, 2018","1,208.15","1,225.60","1,240.00","1,186.00","488.31K","-2.17%"
"Oct 07, 2018","1,234.95","1,231.25","1,266.00","1,203.50","1.32M","0.46%"
"Sep 30, 2018","1,229.30","1,272.10","1,293.45","1,218.00","1.35M","-2.95%"
"Sep 23, 2018","1,266.65","1,330.00","1,337.70","1,250.00","1.85M","-4.89%"
"Sep 16, 2018","1,331.75","1,356.00","1,356.00","1,308.70","507.10K","-2.00%"
"Sep 09, 2018","1,358.90","1,351.35","1,365.00","1,320.55","491.61K","0.75%"
"Sep 02, 2018","1,348.75","1,375.00","1,389.00","1,340.00","756.89K","-1.49%"
"Aug 26, 2018","1,369.10","1,350.35","1,373.90","1,345.60","1.12M","1.96%"
"Aug 19, 2018","1,342.80","1,300.00","1,363.90","1,281.90","2.29M","8.26%"
"Aug 12, 2018","1,240.30","1,265.90","1,278.45","1,226.05","590.78K","-1.94%"
"Aug 05, 2018","1,264.90","1,290.05","1,308.00","1,261.00","475.79K","-2.05%"
"Jul 29, 2018","1,291.35","1,319.00","1,320.00","1,280.10","1.19M","-1.53%"
"Jul 22, 2018","1,311.40","1,272.00","1,346.80","1,262.40","1.06M","3.31%"
"Jul 15, 2018","1,269.35","1,298.00","1,307.00","1,252.20","648.91K","-1.91%"
"Jul 08, 2018","1,294.10","1,270.30","1,319.00","1,264.00","752.83K","2.17%"
"Jul 01, 2018","1,266.65","1,277.55","1,278.00","1,243.50","680.39K","-0.37%"
"Jun 24, 2018","1,271.30","1,307.40","1,307.60","1,205.60","740.42K","-1.87%"
"Jun 17, 2018","1,295.50","1,330.00","1,336.70","1,282.10","1.27M","-2.50%"
"Jun 10, 2018","1,328.70","1,340.00","1,369.80","1,323.50","399.43K","-1.11%"
"Jun 03, 2018","1,343.60","1,378.00","1,385.00","1,328.60","965.63K","-2.02%"
"May 27, 2018","1,371.30","1,347.05","1,423.90","1,345.05","1.44M","2.05%"
"May 20, 2018","1,343.80","1,316.00","1,349.80","1,311.00","432.36K","2.11%"
"May 13, 2018","1,316.05","1,386.70","1,403.30","1,311.95","737.40K","-5.12%"
"May 06, 2018","1,387.05","1,369.00","1,394.45","1,356.25","439.05K","1.23%"
"Apr 29, 2018","1,370.25","1,380.20","1,424.50","1,364.00","428.06K","-0.48%"
"Apr 22, 2018","1,376.80","1,370.00","1,383.40","1,330.20","504.15K","0.96%"
"Apr 15, 2018","1,363.70","1,343.30","1,387.90","1,343.30","892.10K","0.62%"
"Apr 08, 2018","1,355.30","1,316.00","1,364.05","1,315.30","595.30K","3.37%"
"Apr 01, 2018","1,311.10","1,311.20","1,339.00","1,291.80","1.02M","-0.06%"
"Mar 25, 2018","1,311.90","1,267.00","1,322.50","1,266.95","398.84K","3.48%"
"Mar 18, 2018","1,267.75","1,284.00","1,320.00","1,262.60","700.08K","0.01%"
"Mar 11, 2018","1,267.60","1,300.30","1,322.65","1,260.35","1.32M","-1.75%"
"Mar 04, 2018","1,290.15","1,314.00","1,319.00","1,259.70","589.41K","-1.76%"
"Feb 25, 2018","1,313.20","1,303.50","1,355.50","1,300.00","690.02K","0.83%"
"Feb 18, 2018","1,302.35","1,327.95","1,330.00","1,275.85","606.12K","-1.93%"
"Feb 11, 2018","1,327.95","1,333.00","1,370.70","1,320.50","573.14K","-0.11%"
"Feb 04, 2018","1,329.35","1,398.60","1,399.90","1,300.10","2.27M","-6.01%"
"Jan 28, 2018","1,414.40","1,415.20","1,469.60","1,406.50","2.84M","0.10%"
"Jan 21, 2018","1,412.95","1,370.55","1,425.00","1,348.00","1.69M","2.99%"
"Jan 14, 2018","1,371.95","1,332.25","1,384.35","1,318.05","2.89M","3.22%"
"Jan 07, 2018","1,329.20","1,312.00","1,345.50","1,310.00","590.87K","1.12%"
"Dec 31, 2017","1,314.50","1,264.90","1,328.80","1,243.15","1.15M","4.58%"
"Dec 24, 2017","1,256.95","1,267.55","1,275.00","1,248.00","441.63K","-0.77%"
"Dec 17, 2017","1,266.65","1,199.00","1,270.00","1,177.45","5.27M","5.26%"
"Dec 10, 2017","1,203.30","1,220.00","1,228.80","1,176.00","3.09M","-1.31%"
"Dec 03, 2017","1,219.30","1,213.00","1,228.75","1,182.00","976.44K","0.55%"
"Nov 26, 2017","1,212.60","1,217.55","1,235.00","1,208.55","494.80K","-0.30%"
"Nov 19, 2017","1,216.30","1,240.00","1,248.45","1,211.35","939.20K","-0.41%"
"Nov 12, 2017","1,221.25","1,240.00","1,260.00","1,202.00","966.25K","-3.39%"
"Nov 05, 2017","1,264.05","1,230.00","1,274.00","1,203.25","802.52K","2.35%"
"Oct 29, 2017","1,235.00","1,228.00","1,246.95","1,204.00","551.81K","0.94%"
"Oct 22, 2017","1,223.50","1,136.10","1,243.35","1,124.50","2.30M","7.23%"
"Oct 15, 2017","1,141.00","1,140.00","1,155.95","1,137.60","378.40K","0.22%"
"Oct 08, 2017","1,138.50","1,140.00","1,157.90","1,126.80","927.90K","-0.35%"
"Oct 01, 2017","1,142.45","1,150.20","1,156.00","1,128.25","424.01K","0.11%"
"Sep 24, 2017","1,141.20","1,188.60","1,188.60","1,129.25","1.40M","-3.69%"
"Sep 17, 2017","1,184.90","1,213.05","1,249.95","1,176.80","1.04M","-2.27%"
"Sep 10, 2017","1,212.45","1,178.15","1,233.00","1,178.15","1.04M","3.42%"
"Sep 03, 2017","1,172.30","1,139.70","1,182.00","1,116.45","739.17K","2.86%"
"Aug 27, 2017","1,139.70","1,133.00","1,154.40","1,125.05","716.77K","0.74%"
"Aug 20, 2017","1,131.30","1,131.05","1,138.45","1,114.55","502.95K","0.03%"
"Aug 13, 2017","1,131.00","1,145.00","1,156.15","1,120.00","974.58K","-0.16%"
"Aug 06, 2017","1,132.80","1,179.00","1,185.65","1,127.05","829.66K","-3.73%"
"Jul 30, 2017","1,176.70","1,189.55","1,206.00","1,167.95","1.18M","1.52%"
"Jul 23, 2017","1,159.10","1,182.00","1,193.00","1,153.25","991.94K","-1.70%"
"Jul 16, 2017","1,179.15","1,174.00","1,193.40","1,163.45","1.08M","0.60%"
"Jul 09, 2017","1,172.10","1,136.67","1,185.00","1,134.57","2.39M","3.08%"
"Jul 02, 2017","1,137.10","1,126.67","1,145.97","1,114.00","1.42M","1.06%"
"Jun 25, 2017","1,125.20","1,148.70","1,158.80","1,107.57","2.31M","-2.05%"
"Jun 18, 2017","1,148.70","1,156.67","1,187.60","1,146.67","36.56M","-0.21%"
"Jun 11, 2017","1,151.17","1,184.67","1,186.00","1,141.20","1.22M","-2.81%"
"Jun 04, 2017","1,184.47","1,193.33","1,206.33","1,174.67","1.39M","-0.42%"
"May 28, 2017","1,189.47","1,191.73","1,222.67","1,165.33","2.30M","-0.17%"
"May 21, 2017","1,191.50","1,155.03","1,199.43","1,120.00","1.21M","3.66%"
"May 14, 2017","1,149.40","1,165.83","1,176.00","1,132.97","2.55M","-0.89%"
"May 07, 2017","1,159.67","1,150.00","1,176.67","1,136.07","1.05M","0.85%"
"Apr 30, 2017","1,149.90","1,165.33","1,178.00","1,136.00","793.57K","-1.33%"
"Apr 23, 2017","1,165.37","1,125.40","1,180.67","1,125.40","1.53M","3.58%"
"Apr 16, 2017","1,125.10","1,120.70","1,133.97","1,108.00","528.35K","0.57%"
"Apr 09, 2017","1,118.67","1,123.40","1,142.43","1,108.67","714.09K","-0.50%"
"Apr 02, 2017","1,124.33","1,052.00","1,146.30","1,052.00","1.94M","6.90%"
"Mar 26, 2017","1,051.73","1,033.97","1,062.00","1,024.57","1.55M","1.69%"
"Mar 19, 2017","1,034.23","1,033.80","1,043.33","1,013.93","1.64M","0.04%"
"Mar 12, 2017","1,033.80","1,008.00","1,049.60","1,008.00","1.53M","3.94%"
"Mar 05, 2017","994.63","978.67","997.33","976.50","718.43K","1.56%"
"Feb 26, 2017","979.37","996.00","999.33","973.50","708.77K","-1.14%"
"Feb 19, 2017","990.70","986.67","1,003.17","980.00","571.41K","0.54%"
"Feb 12, 2017","985.33","1,003.33","1,005.43","974.67","670.83K","-1.54%"
