"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 03, 2019","782.60","790.00","790.00","778.60","-","-0.40%"
"Feb 24, 2019","785.75","778.75","789.85","761.80","387.26K","1.15%"
"Feb 17, 2019","776.85","782.00","785.30","754.00","332.81K","0.14%"
"Feb 10, 2019","775.80","821.00","828.25","769.85","486.31K","-6.58%"
"Feb 03, 2019","830.40","880.00","887.70","805.40","964.82K","-5.66%"
"Jan 27, 2019","880.20","850.00","886.20","845.00","777.66K","1.99%"
"Jan 20, 2019","863.00","856.00","879.10","851.50","281.89K","0.40%"
"Jan 13, 2019","859.60","839.00","874.60","829.00","302.03K","2.60%"
"Jan 06, 2019","837.85","834.00","847.95","815.00","243.71K","1.09%"
"Dec 30, 2018","828.80","845.00","856.00","818.60","556.05K","-1.22%"
"Dec 23, 2018","839.05","861.00","875.45","817.35","408.33K","-2.13%"
"Dec 16, 2018","857.35","841.00","867.55","837.60","384.24K","1.73%"
"Dec 09, 2018","842.80","840.00","857.55","803.00","927.24K","0.35%"
"Dec 02, 2018","839.90","885.00","905.90","832.20","535.61K","-5.04%"
"Nov 25, 2018","884.50","849.00","893.00","830.00","888.97K","3.96%"
"Nov 18, 2018","850.80","865.55","874.80","843.15","962.28K","-1.47%"
"Nov 11, 2018","863.45","856.00","876.00","831.20","381.23K","1.08%"
"Nov 04, 2018","854.20","851.00","861.00","838.55","191.51K","0.57%"
"Oct 28, 2018","849.40","856.00","914.00","845.00","1.25M","-0.56%"
"Oct 21, 2018","854.15","882.00","894.70","839.20","456.49K","-2.67%"
"Oct 14, 2018","877.60","850.00","910.00","850.00","940.33K","3.81%"
"Oct 07, 2018","845.35","838.00","884.45","818.90","586.03K","0.76%"
"Sep 30, 2018","839.00","909.90","914.20","830.05","606.49K","-6.85%"
"Sep 23, 2018","900.70","899.95","920.00","851.45","998.17K","1.23%"
"Sep 16, 2018","889.75","964.00","977.95","851.00","971.44K","-7.93%"
"Sep 09, 2018","966.40","965.10","986.00","922.00","1.12M","1.02%"
"Sep 02, 2018","956.65","934.00","961.10","896.80","1.50M","2.58%"
"Aug 26, 2018","932.55","915.00","939.80","880.10","1.17M","2.80%"
"Aug 19, 2018","907.15","885.70","916.85","865.50","1.27M","3.16%"
"Aug 12, 2018","879.35","805.00","882.00","802.00","881.04K","8.82%"
"Aug 05, 2018","808.05","892.00","897.00","805.10","2.32M","-8.82%"
"Jul 29, 2018","886.25","816.50","894.00","810.80","1.50M","8.69%"
"Jul 22, 2018","815.40","802.00","825.95","793.15","1.21M","1.89%"
"Jul 15, 2018","800.30","865.05","869.95","788.90","1.70M","-7.50%"
"Jul 08, 2018","865.20","920.00","929.65","862.50","862.46K","-5.53%"
"Jul 01, 2018","915.80","904.85","945.85","880.45","1.04M","1.34%"
"Jun 24, 2018","903.70","907.00","921.35","878.40","1.25M","-0.13%"
"Jun 17, 2018","904.90","911.00","920.60","882.00","1.07M","-0.60%"
"Jun 10, 2018","910.40","814.45","923.10","805.25","2.65M","12.28%"
"Jun 03, 2018","810.80","763.50","824.00","746.00","707.79K","6.25%"
"May 27, 2018","763.10","749.85","798.00","748.95","431.52K","2.16%"
