"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 03, 2019","275.50","271.20","276.35","271.20","-","0.93%"
"Feb 24, 2019","272.95","271.00","274.40","263.25","4.28M","0.81%"
"Feb 17, 2019","270.75","263.05","271.80","258.80","4.07M","2.97%"
"Feb 10, 2019","262.95","286.00","286.00","261.30","5.17M","-7.75%"
"Feb 03, 2019","285.05","283.40","294.00","278.00","5.20M","0.26%"
"Jan 27, 2019","284.30","286.40","302.35","276.60","9.09M","-0.33%"
"Jan 20, 2019","285.25","295.15","296.75","283.25","3.82M","-3.37%"
"Jan 13, 2019","295.20","301.60","306.40","294.20","7.47M","-2.43%"
"Jan 06, 2019","302.55","301.00","307.20","294.65","6.49M","1.70%"
"Dec 30, 2018","297.50","296.50","302.20","290.20","9.74M","1.04%"
"Dec 23, 2018","294.45","292.50","297.50","287.20","5.72M","0.96%"
"Dec 16, 2018","291.65","289.60","301.95","287.00","10.66M","0.86%"
"Dec 09, 2018","289.15","261.10","294.05","261.10","5.38M","4.99%"
"Dec 02, 2018","275.40","287.40","287.90","272.25","3.68M","-3.15%"
"Nov 25, 2018","284.35","283.50","292.45","279.75","5.21M","0.62%"
"Nov 18, 2018","282.60","292.00","293.40","281.50","3.93M","-2.65%"
"Nov 11, 2018","290.30","284.00","291.05","273.50","12.61M","2.58%"
"Nov 04, 2018","283.00","286.00","299.90","282.55","9.33M","-0.86%"
"Oct 28, 2018","285.45","248.95","292.65","248.30","9.68M","15.05%"
"Oct 21, 2018","248.10","264.55","266.50","247.65","8.47M","-4.89%"
"Oct 14, 2018","260.85","263.35","275.00","258.10","5.54M","-0.95%"
"Oct 07, 2018","263.35","259.15","279.40","258.55","13.25M","2.15%"
"Sep 30, 2018","257.80","265.50","278.30","255.95","6.16M","-2.72%"
"Sep 23, 2018","265.00","272.25","273.85","261.00","12.23M","-1.87%"
"Sep 16, 2018","270.05","289.50","289.50","253.60","7.66M","-7.01%"
"Sep 09, 2018","290.40","291.00","293.30","280.15","6.03M","-0.50%"
"Sep 02, 2018","291.85","312.00","312.20","290.00","5.41M","-5.50%"
"Aug 26, 2018","308.85","303.25","312.00","303.25","6.51M","2.85%"
"Aug 19, 2018","300.30","304.00","308.50","298.35","4.17M","-0.56%"
"Aug 12, 2018","302.00","296.40","302.65","290.50","6.66M","-0.80%"
"Aug 05, 2018","304.45","300.50","325.85","300.50","13.15M","1.96%"
"Jul 29, 2018","298.60","288.00","302.30","287.60","9.96M","4.19%"
"Jul 22, 2018","286.60","261.50","296.80","260.70","6.26M","9.83%"
"Jul 15, 2018","260.95","257.00","263.20","250.35","3.89M","1.30%"
"Jul 08, 2018","257.60","258.00","265.60","256.10","5.36M","0.06%"
"Jul 01, 2018","257.45","259.90","261.60","254.00","3.25M","-0.71%"
"Jun 24, 2018","259.30","273.00","275.00","255.85","3.57M","-5.11%"
"Jun 17, 2018","273.25","277.50","279.70","265.80","4.00M","-1.55%"
"Jun 10, 2018","277.55","273.70","289.35","272.55","5.73M","1.78%"
"Jun 03, 2018","272.70","268.85","273.20","261.00","4.45M","2.23%"
"May 27, 2018","266.75","267.50","274.00","260.00","4.69M","-0.09%"
"May 20, 2018","267.00","242.70","269.70","240.25","13.85M","11.62%"
"May 13, 2018","239.20","250.00","257.20","237.85","9.25M","-4.66%"
"May 06, 2018","250.90","242.00","252.45","242.00","9.76M","3.70%"
"Apr 29, 2018","241.95","245.00","249.50","238.80","4.25M","-0.29%"
"Apr 22, 2018","242.65","242.50","245.75","232.00","6.52M","0.52%"
"Apr 15, 2018","241.40","249.00","252.55","239.50","4.17M","-3.90%"
