"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 03, 2019","451.50","449.00","453.65","445.55","-","0.73%"
"Feb 24, 2019","448.25","431.40","451.20","423.20","2.37M","4.15%"
"Feb 17, 2019","430.40","425.00","436.80","413.00","1.74M","1.68%"
"Feb 10, 2019","423.30","434.00","454.40","416.85","4.77M","-1.76%"
"Feb 03, 2019","430.90","422.20","444.65","403.30","3.02M","1.81%"
"Jan 27, 2019","423.25","426.00","430.95","406.10","2.60M","0.25%"
"Jan 20, 2019","422.20","390.90","438.00","390.75","10.87M","8.05%"
"Jan 13, 2019","390.75","446.00","457.15","375.40","8.33M","-11.83%"
"Jan 06, 2019","443.20","436.00","453.60","428.50","2.35M","2.40%"
"Dec 30, 2018","432.80","429.80","443.55","425.65","3.19M","1.93%"
"Dec 23, 2018","424.60","428.95","434.40","410.30","3.01M","-0.04%"
"Dec 16, 2018","424.75","422.70","434.90","419.25","3.89M","1.19%"
"Dec 09, 2018","419.75","405.80","433.35","391.10","7.90M","2.05%"
"Dec 02, 2018","411.30","467.00","467.00","402.10","18.24M","-16.45%"
"Nov 25, 2018","492.30","526.30","528.00","474.65","8.70M","-6.37%"
"Nov 18, 2018","525.80","528.00","535.00","520.25","845.27K","1.19%"
"Nov 11, 2018","519.60","598.65","600.70","509.00","4.18M","-12.80%"
"Nov 04, 2018","595.90","574.00","603.75","565.00","653.85K","4.29%"
"Oct 28, 2018","571.40","555.00","585.00","554.90","1.06M","3.21%"
"Oct 21, 2018","553.65","610.00","616.50","550.30","1.62M","-9.00%"
"Oct 14, 2018","608.40","590.60","610.00","588.80","895.34K","3.01%"
"Oct 07, 2018","590.65","591.00","619.25","582.65","1.59M","-1.27%"
"Sep 30, 2018","598.25","624.00","640.45","591.00","2.04M","-4.03%"
"Sep 23, 2018","623.35","636.00","650.00","616.30","3.13M","-1.91%"
"Sep 16, 2018","635.50","663.50","668.65","607.65","2.06M","-4.45%"
"Sep 09, 2018","665.10","658.80","670.95","620.00","2.49M","0.14%"
"Sep 02, 2018","664.20","659.65","678.80","640.95","3.43M","1.84%"
"Aug 26, 2018","652.20","633.00","658.90","616.40","2.23M","3.58%"
"Aug 19, 2018","629.65","627.00","645.00","618.65","2.04M","1.02%"
"Aug 12, 2018","623.30","558.00","633.25","553.75","4.71M","12.59%"
"Aug 05, 2018","553.60","587.00","593.00","549.20","1.92M","-5.34%"
"Jul 29, 2018","584.85","557.50","589.20","552.55","2.46M","5.01%"
