"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 03, 2019","514.50","506.95","515.55","505.70","-","1.45%"
"Feb 24, 2019","507.15","504.00","511.95","491.70","3.03M","1.04%"
"Feb 17, 2019","501.95","468.50","503.70","464.60","3.88M","7.38%"
"Feb 10, 2019","467.45","472.65","496.95","460.50","4.56M","-0.45%"
"Feb 03, 2019","469.55","474.00","491.00","452.30","3.23M","-0.81%"
"Jan 27, 2019","473.40","453.00","481.60","442.10","2.59M","4.58%"
"Jan 20, 2019","452.65","472.20","477.40","451.35","2.55M","-3.79%"
"Jan 13, 2019","470.50","474.95","479.85","466.60","2.35M","-0.88%"
"Jan 06, 2019","474.70","495.30","500.90","472.50","3.37M","-2.67%"
"Dec 30, 2018","487.70","518.50","525.20","479.30","3.87M","-5.06%"
"Dec 23, 2018","513.70","519.90","520.70","505.15","1.70M","-1.23%"
"Dec 16, 2018","520.10","515.90","532.00","515.90","1.93M","1.31%"
"Dec 09, 2018","513.40","500.80","528.00","486.90","3.49M","1.08%"
"Dec 02, 2018","507.90","541.00","552.50","501.00","4.19M","-4.21%"
"Nov 25, 2018","530.25","543.20","544.95","513.25","4.57M","-1.80%"
"Nov 18, 2018","539.95","576.20","583.50","539.00","2.16M","-5.95%"
"Nov 11, 2018","574.10","573.95","610.00","570.10","5.78M","0.14%"
"Nov 04, 2018","573.30","573.00","587.00","567.45","1.19M","-0.08%"
"Oct 28, 2018","573.75","556.40","582.00","530.10","4.66M","4.11%"
"Oct 21, 2018","551.10","557.00","562.00","535.30","2.09M","-0.45%"
"Oct 14, 2018","553.60","579.50","583.95","545.40","2.30M","-3.71%"
"Oct 07, 2018","574.95","567.95","586.60","544.55","3.38M","0.95%"
"Sep 30, 2018","569.55","583.00","594.45","557.90","2.43M","-1.86%"
"Sep 23, 2018","580.35","618.25","625.75","574.50","3.65M","-7.08%"
"Sep 16, 2018","624.55","611.00","646.70","585.00","3.28M","1.50%"
"Sep 09, 2018","615.35","620.00","625.90","583.35","2.05M","-0.59%"
"Sep 02, 2018","619.00","602.00","621.00","581.25","2.74M","2.88%"
"Aug 26, 2018","601.65","581.00","614.30","578.25","3.64M","4.55%"
"Aug 19, 2018","575.45","584.25","603.50","568.00","2.49M","-0.89%"
"Aug 12, 2018","580.60","574.95","587.00","562.45","3.82M","0.88%"
"Aug 05, 2018","575.55","559.50","587.00","551.00","2.65M","3.68%"
"Jul 29, 2018","555.10","551.00","567.50","540.55","2.42M","1.03%"
"Jul 22, 2018","549.45","505.25","553.60","498.70","2.35M","9.14%"
"Jul 15, 2018","503.45","558.30","559.35","493.50","5.08M","-9.80%"
"Jul 08, 2018","558.15","564.25","570.80","553.05","2.57M","0.72%"
"Jul 01, 2018","554.15","575.20","586.50","547.05","3.62M","-2.41%"
"Jun 24, 2018","567.85","560.00","569.85","538.35","2.91M","1.32%"
"Jun 17, 2018","560.45","564.00","569.00","547.45","3.97M","-0.97%"
"Jun 10, 2018","565.95","599.55","605.40","561.75","2.61M","-5.60%"
"Jun 03, 2018","599.50","564.00","607.55","560.60","2.66M","6.99%"
"May 27, 2018","560.35","572.90","590.00","556.55","2.19M","-1.21%"
"May 20, 2018","567.20","595.50","600.50","536.60","3.49M","-4.11%"
"May 13, 2018","591.50","606.55","636.30","590.25","4.53M","-2.50%"
"May 06, 2018","606.65","585.55","610.50","581.55","1.77M","4.36%"
"Apr 29, 2018","581.30","589.00","599.60","568.50","1.17M","-1.42%"
"Apr 22, 2018","589.65","608.00","610.40","578.00","1.53M","-2.75%"
"Apr 15, 2018","606.35","592.80","623.90","585.60","2.11M","1.86%"
"Apr 08, 2018","595.30","588.75","610.00","584.00","2.34M","1.53%"
"Apr 01, 2018","586.35","574.95","589.90","558.00","3.59M","2.71%"
"Mar 25, 2018","570.90","567.35","598.85","561.35","1.87M","0.76%"
"Mar 18, 2018","566.60","602.00","602.25","554.10","5.14M","-5.65%"
"Mar 11, 2018","600.50","615.00","632.20","594.45","5.30M","-0.84%"
"Mar 04, 2018","605.60","668.55","673.50","601.00","4.26M","-10.32%"
"Feb 25, 2018","675.30","678.70","692.00","660.45","2.21M","-0.37%"
"Feb 18, 2018","677.80","690.80","692.00","633.00","4.58M","-1.53%"
"Feb 11, 2018","688.30","718.00","720.60","683.85","3.58M","0.68%"
"Feb 04, 2018","683.65","664.00","688.35","634.40","3.59M","2.08%"
"Jan 28, 2018","669.70","692.91","747.25","666.00","2.97M","-3.22%"
"Jan 21, 2018","692.01","677.88","708.07","673.02","1.47M","2.31%"
"Jan 14, 2018","676.40","696.51","713.20","668.34","1.56M","-2.52%"
"Jan 07, 2018","693.86","697.55","702.00","683.91","1.83M","0.10%"
"Dec 31, 2017","693.18","659.17","698.31","643.91","1.97M","5.17%"
