"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 03, 2019","69.00","67.55","69.40","67.40","-","2.91%"
"Feb 24, 2019","67.05","67.10","67.90","64.10","2.14M","-0.07%"
"Feb 17, 2019","67.10","69.40","69.50","64.65","1.55M","-3.10%"
"Feb 10, 2019","69.25","68.10","70.20","64.55","3.77M","0.87%"
"Feb 03, 2019","68.65","71.55","71.60","68.10","1.47M","-3.92%"
"Jan 27, 2019","71.45","74.10","74.10","67.75","5.74M","-3.38%"
"Jan 20, 2019","73.95","76.00","77.90","73.45","4.03M","-2.70%"
"Jan 13, 2019","76.00","74.95","76.85","73.60","7.29M","1.33%"
"Jan 06, 2019","75.00","75.35","75.70","73.80","1.70M","-0.20%"
"Dec 30, 2018","75.15","77.05","77.90","73.80","2.09M","-2.59%"
"Dec 23, 2018","77.15","76.15","78.50","74.95","3.68M","0.85%"
"Dec 16, 2018","76.50","79.90","80.65","76.10","3.11M","-3.59%"
"Dec 09, 2018","79.35","78.30","81.30","75.95","2.29M","0.06%"
"Dec 02, 2018","79.30","76.90","83.75","76.80","4.51M","4.00%"
"Nov 25, 2018","76.25","75.05","76.65","73.40","2.33M","1.80%"
"Nov 18, 2018","74.90","76.80","78.90","74.50","1.98M","-2.28%"
"Nov 11, 2018","76.65","75.30","79.95","73.05","2.50M","1.12%"
"Nov 04, 2018","75.80","75.25","77.05","73.35","1.12M","-0.07%"
"Oct 28, 2018","75.85","69.50","86.15","68.50","8.83M","10.01%"
"Oct 21, 2018","68.95","70.80","71.45","67.60","1.55M","-1.78%"
"Oct 14, 2018","70.20","70.00","74.60","68.90","2.67M","1.96%"
"Oct 07, 2018","68.85","63.00","72.15","59.90","8.01M","9.29%"
"Sep 30, 2018","63.00","66.00","69.30","62.35","1.83M","-4.47%"
"Sep 23, 2018","65.95","73.50","73.50","65.55","2.67M","-9.41%"
"Sep 16, 2018","72.80","76.40","78.95","68.05","2.46M","-4.34%"
"Sep 09, 2018","76.10","75.25","76.85","72.95","1.56M","1.13%"
"Sep 02, 2018","75.25","77.00","78.90","72.70","2.07M","-1.76%"
"Aug 26, 2018","76.60","72.00","77.40","71.95","3.31M","6.83%"
"Aug 19, 2018","71.70","68.95","73.55","68.70","1.10M","4.44%"
"Aug 12, 2018","68.65","69.25","70.15","67.00","736.73K","-1.08%"
"Aug 05, 2018","69.40","72.50","72.80","69.10","993.57K","-3.94%"
"Jul 29, 2018","72.25","72.00","74.90","71.00","1.38M","0.56%"
"Jul 22, 2018","71.85","68.00","72.40","66.65","2.30M","5.90%"
"Jul 15, 2018","67.85","70.00","71.60","67.15","880.99K","-3.07%"
"Jul 08, 2018","70.00","71.60","74.00","69.15","2.98M","-2.37%"
"Jul 01, 2018","71.70","73.15","73.80","71.05","1.92M","-1.85%"
"Jun 24, 2018","73.05","76.70","77.25","71.00","1.52M","-4.01%"
