"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 19, 2016","273.68","270.70","274.75","269.07","2.16M","1.12%"
"Feb 18, 2016","270.65","264.05","271.90","264.05","1.78M","2.72%"
"Feb 17, 2016","263.48","261.50","264.98","258.62","2.16M","0.07%"
"Feb 16, 2016","263.30","263.50","265.25","260.57","1.38M","0.16%"
"Feb 15, 2016","262.88","261.45","263.80","259.07","1.96M","1.64%"
"Feb 12, 2016","258.65","262.40","264.73","254.12","3.60M","0.02%"
"Feb 11, 2016","258.60","265.60","266.15","256.55","1.98M","-2.64%"
"Feb 10, 2016","265.60","268.12","268.32","264.00","1.93M","-0.94%"
"Feb 09, 2016","268.12","269.95","269.95","267.00","1.60M","-1.61%"
"Feb 08, 2016","272.50","279.02","280.10","271.65","1.64M","-2.31%"
"Feb 05, 2016","278.95","280.00","282.90","277.70","2.15M","-0.37%"
"Feb 04, 2016","279.98","280.15","280.82","276.85","2.10M","0.39%"
"Feb 03, 2016","278.90","283.25","283.25","277.02","1.21M","-1.66%"
"Feb 02, 2016","283.62","285.05","285.77","282.10","2.57M","-0.16%"
"Feb 01, 2016","284.07","282.80","286.95","278.65","3.01M","0.95%"
"Jan 29, 2016","281.40","274.30","282.85","274.30","2.90M","2.84%"
"Jan 28, 2016","273.62","276.60","276.85","272.20","2.42M","-0.96%"
"Jan 27, 2016","276.27","275.00","277.48","271.77","4.19M","1.01%"
"Jan 25, 2016","273.52","273.95","274.90","271.90","1.59M","-0.56%"
"Jan 22, 2016","275.05","277.85","277.85","273.55","1.67M","-0.13%"
"Jan 21, 2016","275.40","270.77","277.50","270.77","3.49M","1.52%"
"Jan 20, 2016","271.27","269.52","275.95","266.60","2.34M","0.10%"
"Jan 19, 2016","271.00","274.00","276.00","269.00","1.91M","-0.94%"
"Jan 18, 2016","273.57","268.50","275.40","265.38","3.39M","0.74%"
"Jan 15, 2016","271.55","273.30","274.43","268.50","1.25M","-0.39%"
